Year,y,net_0,net_1,net_2
2001,66.02666666666664,2.9260198635452457,-5.707337381899084,10.922285879852362
2002,98.42666666666666,2.9870614741672745,-18.130520290253965,24.936542184560043
2003,-176.57333333333332,2.957981383093816,-33.503836557552646,-6.1697493272129345
2004,-102.77333333333334,2.6497181168388626,-17.76552820364727,-19.39224815502416
2005,-116.67333333333333,2.658821900023094,12.568615090356532,-7.255037428620865
2006,-109.07333333333328,2.9280600850477487,-23.52785291499503,11.38473338394652
2007,132.02666666666664,2.8417563274395894,-16.58523233192724,1.3266506328154433
2008,115.0266666666666,3.0720474978877625,-35.59694150857098,19.007456727645057
2009,28.426666666666637,2.893449024781331,-27.992724430509256,0.3098313368290697
2010,13.426666666666689,3.129075377695122,-31.21522650545508,18.081806007682175
2011,-55.57333333333332,3.313594677173562,-6.9518071447304965,48.45551420913822
2012,82.82666666666667,2.693324172385907,0.1284939099565359,-6.833280353963959
2013,32.22666666666666,2.9425139651419574,-11.385309440969909,17.174714934756903
2014,-29.07333333333333,3.102703498207676,-14.930449615095302,37.34523871769625
2015,21.326666666666565,2.5881787301569776,-7.01696432571875,-27.377567352861153
