Date,AHT,ALT,ARH,WS,RAINFALL
1-5-1970,28.4,23.4,91.5,0.67,14.3
2-5-1970,29.1,23.2,93.75,0.33,2
3-5-1970,31,23.4,85.25,4.43,5.4
4-5-1970,33.3,23.5,89.5,5.27,40.2
5-5-1970,28.8,22.6,90.75,3.17,11.5
6-5-1970,28.3,23.4,93.25,3.5,0.9
7-5-1970,31.9,23.3,84.25,5.3,1.8
8-5-1970,30.7,24.8,90,7.73,1.5
9-5-1970,31.7,23.5,82.75,3.67,2.3
10-5-1970,31.9,24.2,92.25,4.77,0
11-5-1970,32,24.3,81.75,2.0,0.5
12-5-1970,32.9,24.8,82,2.0,0
13-5-1970,31.9,23.7,85.75,3.17,3.8
14-5-1970,28.9,23.6,91.5,2.77,15.6
15-5-1970,32.1,23.1,86.25,0.83,0.5
16-5-1970,32.6,24.2,81,2.9,0
17-5-1970,32.3,24.4,83.75,4.97,0
18-5-1970,29.1,23.8,87.75,2.03,0
19-5-1970,30,24.3,91.25,3.77,0
20-5-1970,32.3,23.1,81,3.1,0.2
21-5-1970,31.4,25.4,85.25,5.3,0
22-5-1970,32.2,23.6,88,1.67,0
23-5-1970,30,22,92,6.67,15.1
24-5-1970,29.4,22.2,92.25,2.77,17
25-5-1970,30.4,23.3,95.5,0.67,12.5
26-5-1970,30.8,22.6,85,4.53,28.4
27-5-1970,30.3,23.2,90.5,4.67,0
28-5-1970,31.2,23.1,86.75,4.67,0
29-5-1970,32,22.2,84,2.57,11
30-5-1970,32.7,23.3,80.75,2.57,0
31-5-1970,32.6,24,80.75,5.6,0
1-5-1971,28.8,22.7,92,1.1,28.8
2-5-1971,31.9,22.3,81,3.17,15.8
3-5-1971,28.9,22.8,87,3.67,4.5
4-5-1971,30.4,23.3,85,7.27,0.9
5-5-1971,28,22.1,91.5,1.77,57.6
6-5-1971,30.3,22.5,85,5.0,0.2
7-5-1971,30,22.9,85,5.0,0.4
8-5-1971,27.8,22.9,92.25,5.2,24.6
9-5-1971,31.4,22.8,85.25,3.53,0
10-5-1971,29.8,23.4,91.75,2.33,40
11-5-1971,26.1,24.1,94.5,5.43,14.6
12-5-1971,30.2,23.1,90.5,2.6,46
13-5-1971,30.3,22.5,89.25,5.9,16
14-5-1971,31.1,23.1,86.75,1.25,0.3
15-5-1971,31.8,23.9,82.75,4.1,0
16-5-1971,30.9,22.6,87.25,7.27,3.1
17-5-1971,30.3,22.2,88.5,2.67,1.8
18-5-1971,32,23.1,80,6.93,0
19-5-1971,32.2,23.5,80.25,4.5,0
20-5-1971,32.7,24.4,83.75,4.37,0
21-5-1971,31.7,24.6,85.25,2.57,0
22-5-1971,26.8,22.8,91.25,3.63,10.1
23-5-1971,28.6,22.5,89.5,2.57,28.6
