Year,y,net_0,net_1,net_2,net_3,net_4
2001,231.6,225.8538976172919,251.79664629045627,257.0915655458621,240.5405711040668,228.4113038299812
2002,262.9,226.09742534804798,251.58634209215958,259.87003383815886,240.96937361760817,229.1825075113007
2003,219.6,224.70505674263143,253.15168477885803,259.6283444970702,240.86288908041604,228.62704043676152
2004,422.9,224.6976461701678,253.87005408148374,259.01737669401314,239.67952828146537,229.24171454805216
2005,225.5,226.12681564640508,253.37742268535888,259.096769027167,238.2892583779273,228.33645177770592
2006,382.1,225.76504652015666,252.0990146106577,258.9532128912671,242.36486959086875,227.83106174677255
2007,165.3,226.93592389704492,253.69031246101264,257.23891556502235,238.96229757590078,229.23135637579736
2008,264.1,225.23889313660214,252.1082625692271,258.18195970580894,245.32832810047384,227.9335752579305
2009,114.0,224.44466732047542,251.9107979958674,260.1359481073057,241.05872743952762,228.18833231721922
2010,165.1,224.67489560637404,253.42232934929183,259.47482023914426,239.87279954591563,228.24700689164519
2011,222.4,227.01538813386142,253.28406113466497,257.61576736111925,243.3253435909359,226.60356615818844
2012,167.8,226.50190631905133,251.68224242985244,256.64728262869016,237.93374622304304,229.24446985870378
2013,238.4,226.73761501639686,253.86787322665958,257.9783674112487,242.6766535889344,227.35576490511912
2014,411.3,225.64527708670926,253.04646805435277,258.5943224091833,240.96407098712845,228.65371087675578
2015,280.8,223.3657158127559,252.48776797009418,260.7673091244995,240.2147269288541,229.77060265649902
