Year,y,net_0,net_1,net_2,net_3,net_4
2001,55.0,241.17949185752775,176.18479687722157,178.09500069657108,204.62175265269022,178.00075327183666
2002,81.2,241.87622941094554,177.66650699202552,175.99290349155584,204.89754423062647,178.35994034111368
2003,119.6,241.28235241709774,175.95006973165843,178.57700199003472,206.19769650243384,178.599395190271
2004,13.3,241.67034416206178,177.5811978496002,177.62343065844027,206.34590866804479,178.3790847508068
2005,211.6,241.19449713135424,176.91487164394655,176.24289219584614,203.27089904576601,179.17786408202068
2006,294.0,241.66513448557424,177.55935943655848,179.11777978781893,204.71498826035008,178.32560246650658
2007,226.2,240.65888263619783,175.0256398299949,177.63408393527928,204.240888457636,178.04567234249822
2008,280.8,241.07735591241953,176.3330120831965,179.5808677856174,204.4401115901175,177.78269407657865
2009,132.3,241.00281883908664,176.24614247537477,178.00850771789095,203.67714446499414,178.544287137294
2010,140.6,240.7718938318072,176.68859252265767,176.52019963041377,203.6059226353733,177.98063357315255
2011,272.8,240.61059835950445,177.22120907346698,176.06325543957334,204.4053580744993,178.73394142947143
2012,284.5,240.42234344944768,176.3487651679168,176.7300360823927,203.22494533987026,178.75605201561214
2013,312.2,241.308622970146,175.08522946989473,178.27737070785065,203.7439455431076,178.18066698672334
2014,196.0,241.32944747100714,178.33739930479777,177.8025304636581,204.37357239185357,178.06307397897905
2015,90.7,240.80564262888396,177.18349414857906,176.69823190882326,204.940240880974,178.97545948608186
