Year,y,net_0,net_1,net_2,net_3,net_4
2001,188.2,335.25975872167834,320.9564163601649,306.34254525639426,300.1020810017409,285.2003116244982
2002,376.7,337.3659354006723,318.60187839493307,304.98348593649905,301.1829342790063,282.24348595203395
2003,390.1,334.38854169925486,319.5866186832462,305.72098208671963,300.66412272937686,281.8122794880449
2004,227.2,335.50053763737776,321.02309221403743,304.94736241979064,300.51285654406865,281.5471153651838
2005,404.8,334.38249853066236,322.0319713814554,306.2870937524415,300.19457293819124,284.0308958924031
2006,252.1,338.67324907528183,319.09491317676213,304.3356761015777,301.9017634995019,282.105519782069
2007,343.1,331.67807235062526,319.94108774100636,307.0470370946956,300.94517501103877,283.7429104751819
2008,345.4,336.3955013098606,319.87556407185537,305.1859003544765,301.69634135506493,285.4968282687701
2009,222.1,338.8282293882577,319.5494148580126,304.64033388121146,302.9557851253652,282.236334151218
2010,303.4,330.78529255964736,321.4024962131,307.0175505490115,301.23541716708246,284.3525750245233
2011,515.9,333.5269462268671,322.9980432843576,304.75224925972805,301.63830312131597,284.3563241273644
2012,195.6,336.6577480394401,318.1822701772215,305.44854708558375,301.4145885056037,283.83175225417375
2013,420.6,334.9292892759293,320.93744880061297,304.8202678821748,300.6445701733254,283.785662420352
2014,255.0,337.2582010204134,320.18938900981084,304.3909092403837,300.4687102017339,282.77000161298474
2015,165.5,338.94232725562915,317.5688481401646,304.5422051229402,300.1853117197757,280.74923436253073
