Year,y,net_0,net_1,net_2,net_3,net_4
2001,216.8,331.0516498149834,280.0881102075198,296.64592326358667,346.3251375935261,323.237437710573
2002,195.3,332.56799138785885,280.2309663623348,294.3858354692885,349.2575485874214,323.05138447766797
2003,209.2,330.1747812681059,277.2562125140078,298.0911641846678,348.3024654249081,322.4428417529692
2004,424.2,331.106911179095,279.8203003524398,297.6586751901407,347.83788421256264,322.5912537489154
2005,334.0,329.550867528631,278.5225302822626,295.15307342080433,347.8969479952144,322.431532640994
2006,265.3,332.1120383003192,277.93217934390043,299.42987069610456,351.52830803057594,323.88349965086394
2007,336.0,331.56091917061184,279.05485026805155,296.09836431034785,348.20827272111717,322.3091719524486
2008,553.0,332.4338762170338,276.80743214086584,298.6716950888136,348.88019530055635,323.9581777275318
2009,232.5,331.4974496278744,278.59338272242627,298.4527401633069,348.54299086049565,322.85666662053313
2010,206.4,331.0104771205347,277.0767672901193,294.8035697846731,348.1720525534247,321.9782681624802
2011,323.3,330.00899716289854,275.09617585742694,299.92627468838214,350.1583540141274,323.67003418732037
2012,277.4,332.40569808815064,280.3317121984532,294.5508367607474,349.5039318437524,324.616146123775
2013,427.4,329.758835228204,277.94236966152397,296.1403112239543,348.3156699592115,323.3717413505467
2014,527.7,331.51410724060906,275.78520881239217,299.47241216984685,350.9325905924689,322.9262003202484
2015,373.7,332.2492709550991,279.08799086723246,297.2719742377023,346.7585056748628,322.31301985943355
