Year,y,net_0,net_1,net_2,net_3,net_4
2001,348.4,279.3100455895985,260.10451487800407,286.37063684737916,266.6535246245162,289.1043050554843
2002,380.8,277.6925618119349,257.4095701561938,286.99982629454774,266.83298467200996,288.87261605599014
2003,105.8,278.0756885539432,259.5311175967401,284.74304167246027,266.8853787486767,289.1273101469072
2004,179.6,278.3871588585765,258.56665114741867,286.5946959554463,266.7235043351627,289.08939133189455
2005,165.7,280.100613537837,259.1370013826442,285.19314307196925,266.77439429817974,289.0492310269677
2006,173.3,278.4975358756213,257.5197267641063,284.51376738588993,267.1376643592211,289.10271806972037
2007,414.4,281.3651968909813,260.591366979483,284.31635642073576,267.2104740892416,289.1334546371759
2008,397.4,280.6541126609962,259.29062820558465,283.18617561997314,266.96175438876384,289.2373149899877
2009,310.8,277.4750700329008,257.77465366809116,285.15177043165204,266.98367516076576,288.9726037449518
2010,295.8,280.92799859577815,261.24932131993984,284.1418398054389,266.6746640316183,289.086020788334
2011,226.8,279.62476763514536,260.7489841778622,283.9206188516688,266.96609219145364,289.01012905572384
2012,365.2,279.66125773481485,258.2951027574038,284.5931366576603,266.97583537678787,289.05286703099847
2013,314.6,280.38071739413505,259.2429684984661,285.081781812766,267.0107377035858,289.2237830404602
2014,253.3,277.90534055015996,257.4868544280672,284.10895147725694,267.09492702801595,288.9666977040215
2015,303.7,277.0728834767684,256.1163381477843,284.9437363314013,266.6057427396857,288.8333638347091
