Year,rainfall_12,rainfall_06,rainfall_07,rainfall_08,rainfall_09,rainfall_10,rainfall_11,nino12_06,nino12_07,nino12_08,nino12_09,nino12_10,nino12_11,nino3_06,nino3_07,nino3_08,nino3_09,nino3_10,nino3_11,nino34_06,nino34_07,nino34_08,nino34_09,nino34_10,nino34_11,nino4_06,nino4_07,nino4_08,nino4_09,nino4_10,nino4_11,tsa_06,tsa_07,tsa_08,tsa_09,tsa_10,tsa_11
1950,1.37,0.95,-0.57,-1.06,-1.07,0.35,-0.67,-1.14,-1.09,-0.59,-1.0,-0.77,-1.37,-1.18,-0.89,-0.66,-0.82,-0.53,-0.78,-1.73,-1.24,-1.22,-1.18,-0.85,-0.92,-1.1,-1.7,-1.81,-1.79,-1.61,-1.51,-0.71,-0.59,-1.21,-1.81,-1.78,-1.42
1951,-0.22,2.74,-0.18,-0.7,1.44,0.19,-0.49,1.35,1.66,1.28,0.87,0.91,0.73,0.24,1.19,0.97,0.96,0.83,0.91,-0.14,0.63,0.39,0.71,0.47,0.45,0.63,0.21,-0.54,-0.18,-0.09,0.18,-0.78,-0.45,0.03,0.07,-0.04,-0.3
1952,1.8,-0.41,-0.45,0.73,-0.87,-0.62,-0.05,-0.34,-0.42,-0.58,-0.92,-0.19,-0.48,-0.49,-0.6,-0.52,-0.49,-0.35,-0.64,-0.19,-0.4,-0.43,-0.2,-0.12,-0.25,-0.47,-0.85,-1.03,-0.36,-0.56,-0.21,0.0,-0.34,-0.16,-0.23,-0.37,-0.07
1953,-0.58,-1.86,1.85,-1.2,-0.87,0.3,-0.08,0.45,0.21,0.46,0.45,0.16,0.1,0.64,0.38,0.24,0.55,0.32,0.16,1.01,0.68,0.47,0.52,0.5,0.32,0.83,0.65,0.63,0.14,0.22,0.25,-0.4,-0.34,-0.32,0.03,-0.04,-0.6
1954,-0.51,-0.29,-0.67,-0.58,-0.27,-0.3,0.88,-1.6,-1.92,-1.47,-1.51,-1.59,-1.2,-1.59,-1.36,-1.46,-1.52,-1.22,-0.94,-0.95,-1.18,-1.44,-1.43,-1.03,-0.7,-0.87,-1.32,-1.52,-1.57,-1.54,-0.94,-1.51,-1.99,-1.36,-0.94,-0.56,-0.42
1955,0.71,-0.89,-0.0,-1.22,0.11,0.07,0.12,-1.39,-0.93,-1.05,-1.08,-1.45,-1.51,-1.63,-1.23,-1.3,-1.53,-2.15,-1.94,-1.33,-1.18,-1.25,-1.28,-2.07,-2.06,-1.05,-1.05,-1.45,-1.07,-1.75,-2.16,-1.2,-0.9,-1.58,-1.47,-0.99,-0.66
1956,-0.19,0.11,-0.22,-0.08,0.77,0.85,0.13,-0.71,-0.22,-0.12,-0.67,-1.13,-0.88,-0.51,-0.77,-0.85,-0.85,-0.87,-0.95,-0.88,-1.07,-1.18,-0.86,-0.83,-0.83,-1.39,-1.45,-1.81,-1.63,-1.07,-0.7,-1.18,-0.87,-0.73,-0.73,-1.48,-1.33
1957,-0.8,-0.64,-1.41,-0.45,-1.08,0.41,-1.02,1.53,1.53,1.19,1.18,0.93,0.85,1.28,1.78,1.36,0.9,0.77,1.09,1.19,1.52,1.27,0.9,0.75,1.04,-0.13,-0.33,0.36,0.51,0.68,0.65,-0.42,-1.01,-0.79,-1.27,-1.29,-0.83
1958,0.66,-0.88,-0.62,0.15,-0.75,-0.39,-0.36,0.49,0.33,-0.25,0.13,0.21,-0.05,0.37,0.1,0.04,-0.2,-0.13,0.12,0.98,0.3,0.08,-0.07,0.12,0.37,0.81,0.42,0.42,0.29,0.42,0.34,-2.66,-1.57,-2.15,-2.21,-1.63,-1.21
1959,-1.56,-0.1,-0.83,0.07,-0.62,-1.65,0.43,-0.28,-0.27,-0.74,-0.37,-0.05,0.28,-0.48,-0.92,-0.78,-0.66,-0.34,-0.42,-0.42,-0.99,-0.72,-0.72,-0.38,-0.43,-0.65,-0.47,-0.25,-0.26,-0.24,-0.49,-0.49,-0.82,-0.76,-0.43,-0.53,-0.71
1960,0.9,1.26,-0.07,0.11,0.26,1.8,0.75,-0.87,-0.96,-0.64,-0.05,-0.39,-0.51,-0.77,-0.42,-0.1,-0.19,-0.66,-0.6,-0.66,-0.51,-0.01,-0.26,-0.38,-0.21,-0.83,-0.91,-0.71,-0.54,-0.28,-0.06,-0.71,0.07,-0.19,-0.27,-0.43,-0.04
1961,1.53,-0.31,-0.83,-1.1,-0.39,0.15,-0.39,-0.63,-0.96,-0.85,-0.94,-0.64,-0.2,-0.05,-0.84,-0.96,-1.31,-1.07,-0.57,0.22,-0.16,-0.69,-0.9,-0.84,-0.49,-0.11,-0.66,-0.73,-0.6,-0.86,-0.53,-0.4,-0.73,-0.73,0.0,-0.19,-0.24
1962,-1.1,-0.11,-0.52,-0.48,-1.18,0.19,-0.85,-0.83,-0.81,-0.64,-0.53,-0.72,-0.63,-0.88,-0.68,-0.4,-0.79,-0.67,-0.85,-0.69,-0.5,-0.54,-0.83,-0.59,-0.76,-0.7,-0.83,-0.8,-0.71,-0.66,-0.59,0.03,-0.4,-0.23,-0.37,-0.04,-0.04
1963,-0.48,0.18,-0.53,-1.14,-0.52,-0.46,0.75,-0.42,-0.1,0.26,0.27,0.11,-0.25,0.3,0.81,0.78,0.61,0.59,0.61,0.05,0.95,0.95,0.91,0.82,0.74,-0.72,-0.06,0.53,0.83,0.81,0.49,0.9,1.05,1.29,1.27,1.25,1.96
1964,1.04,0.25,-0.2,0.88,-0.61,0.35,0.64,-1.28,-1.42,-1.27,-0.96,-1.24,-0.66,-1.82,-1.24,-1.66,-1.1,-1.01,-0.93,-1.59,-1.43,-1.46,-1.44,-1.18,-1.19,-1.23,-1.45,-1.6,-2.03,-1.67,-1.76,-0.49,-0.7,-0.79,-2.37,-2.55,-1.92
1965,-0.34,-1.0,-0.55,-1.19,-1.16,0.4,-1.23,1.01,0.97,1.26,0.5,0.43,0.34,0.96,1.08,1.25,1.18,1.24,1.21,0.86,1.2,1.5,1.49,1.53,1.35,0.49,0.57,0.92,0.74,0.95,0.88,-0.56,-1.23,-0.79,-0.2,-0.65,-0.95
1966,-0.03,0.97,1.12,1.29,0.66,-1.34,1.71,-0.98,-0.92,-0.78,-0.78,-0.41,-0.57,-0.64,-0.41,-0.66,-0.78,-0.53,-0.67,0.27,0.14,-0.3,-0.3,-0.28,-0.26,0.65,0.73,0.2,0.24,0.13,0.18,1.3,0.63,-0.32,-0.33,-0.28,0.55
1967,-1.21,0.22,-0.8,-1.2,-1.3,-1.63,-0.56,-0.62,-0.59,-0.76,-1.42,-1.46,-1.49,-0.07,-0.53,-0.91,-1.34,-1.14,-1.0,-0.04,-0.27,-0.41,-0.88,-0.62,-0.49,-0.4,-0.33,-0.42,-0.52,-0.29,-0.26,-1.6,-1.87,-1.39,-1.27,-2.0,-1.24
1968,-0.35,0.29,0.69,-0.29,3.49,-1.21,1.07,-0.86,-0.39,0.0,0.5,-0.09,-0.13,-0.13,0.38,0.24,0.08,0.13,0.21,0.55,0.6,0.26,0.07,0.06,0.52,0.11,-0.14,0.11,0.08,0.2,0.65,0.03,0.52,0.5,0.87,1.22,1.38
1969,-0.51,-0.34,0.36,-0.07,-0.91,-0.5,-0.8,0.98,0.48,0.06,0.21,0.81,0.74,0.73,0.22,0.47,0.62,0.7,0.64,0.53,0.12,0.51,0.65,0.76,0.53,0.36,0.05,0.43,0.75,0.87,0.73,-0.28,-0.57,-0.1,-0.4,-0.31,-0.27
1970,-0.96,0.37,-0.05,-0.27,0.51,-0.23,0.02,-1.18,-1.57,-1.55,-1.31,-0.89,-0.96,-1.51,-2.2,-1.95,-1.3,-1.23,-1.2,-0.76,-1.24,-1.5,-1.2,-1.11,-1.0,0.13,0.13,-0.58,-1.03,-1.03,-0.98,-0.94,-0.45,-0.89,-0.84,-1.32,-0.66
1971,-1.55,0.66,-0.76,-1.07,-0.62,1.1,1.02,-0.99,-0.64,-1.03,-1.19,-1.1,-0.6,-1.38,-1.16,-1.28,-0.97,-1.18,-1.0,-1.61,-1.39,-1.13,-1.04,-1.05,-0.83,-1.68,-1.7,-1.56,-1.68,-1.27,-0.89,0.24,-0.79,-0.76,-0.63,-1.29,-2.07
1972,-0.66,0.24,0.06,-0.21,0.03,-0.31,-1.26,1.43,1.78,2.32,1.45,1.55,1.41,1.02,1.74,2.01,1.66,1.85,1.87,1.08,1.54,1.64,1.57,1.75,1.85,0.83,0.71,0.43,0.64,0.83,0.96,0.05,0.55,0.69,0.67,0.76,1.23
1973,-0.04,-0.53,1.58,1.25,0.31,1.09,1.59,-0.82,-0.78,-1.27,-1.18,-1.08,-0.91,-1.4,-1.78,-1.63,-1.57,-1.56,-1.49,-1.4,-1.89,-1.75,-1.82,-1.86,-2.06,-1.1,-1.26,-1.45,-1.6,-1.82,-2.07,1.61,1.72,1.7,2.41,1.93,1.52
1974,0.72,1.18,-0.11,-0.65,-0.05,-1.42,0.21,-0.39,-0.31,-0.33,-0.49,-0.92,-0.72,-0.82,-0.48,-0.23,-0.49,-0.78,-0.78,-1.64,-1.13,-0.52,-0.54,-0.79,-0.85,-1.95,-1.59,-0.89,-1.16,-1.26,-1.17,0.85,1.47,1.19,0.37,0.21,0.67
1975,-0.13,-0.32,2.89,0.05,-0.7,-0.93,-0.95,-0.8,-0.6,-0.76,-1.35,-1.65,-1.92,-1.56,-1.23,-1.08,-1.34,-1.41,-1.23,-1.92,-1.64,-1.72,-1.77,-1.68,-1.42,-2.04,-2.15,-2.21,-2.58,-2.39,-2.2,0.24,-0.09,-0.19,-0.9,-0.68,-0.15
1976,-0.57,-1.05,-0.84,-0.4,-0.84,0.15,-0.26,1.05,1.27,0.95,0.98,0.56,0.42,0.54,0.64,0.9,0.86,0.98,0.76,-0.38,-0.04,0.23,0.41,0.86,0.7,-0.96,-0.64,-0.22,-0.13,0.47,0.42,-1.58,-2.01,-1.65,-1.17,-1.2,-1.39
1977,0.03,-0.71,-1.17,-0.27,0.12,1.24,-1.13,-0.02,-0.16,-0.59,-0.79,-0.47,-0.29,0.11,-0.11,-0.37,0.0,0.32,0.27,0.58,0.52,0.17,0.47,0.67,0.59,0.25,0.73,0.58,0.77,0.64,0.61,-0.37,-0.54,-0.1,0.0,-0.4,-0.3
1978,-1.17,-0.49,0.82,-0.1,1.83,0.04,-1.61,-0.71,-0.61,-0.89,-0.66,-0.78,0.1,-0.98,-0.81,-0.99,-0.67,-0.29,-0.14,-0.76,-0.66,-0.85,-0.7,-0.39,-0.23,-0.49,-0.62,-0.67,-0.41,-0.46,-0.21,-1.27,-0.37,-0.76,-1.27,-1.29,-1.33
1979,0.52,-0.64,-1.27,0.84,0.25,2.24,-0.34,0.28,0.06,0.16,0.4,0.53,0.19,0.26,-0.02,0.29,0.82,0.59,0.58,-0.0,-0.21,0.08,0.54,0.26,0.42,-0.04,0.03,-0.09,0.17,0.23,0.49,0.07,0.24,0.72,0.87,0.03,0.11
1980,-0.91,0.0,-0.29,1.32,-0.23,0.96,1.24,0.0,-0.56,-0.24,-0.23,-0.19,-0.12,0.54,0.05,-0.1,-0.01,-0.24,0.04,0.77,0.46,-0.07,-0.08,-0.11,0.03,0.76,0.65,0.04,0.04,0.27,0.2,-0.35,-0.32,-0.04,0.27,-0.22,-0.8
1981,-0.98,1.0,0.27,3.92,2.57,-0.73,1.93,-0.15,-0.51,-0.64,-0.32,-0.14,-0.08,-0.19,-0.41,-0.6,-0.11,-0.02,-0.17,-0.3,-0.62,-0.47,-0.15,-0.15,-0.2,-0.72,-0.76,-0.71,-0.33,-0.11,-0.05,-0.68,-0.79,0.25,0.57,0.94,0.7
1982,1.7,-1.57,-0.07,-1.0,0.42,-1.08,-0.67,0.39,0.53,0.97,1.61,1.94,2.89,1.12,0.83,1.24,2.09,2.34,2.38,1.27,0.92,1.21,1.87,2.08,1.94,1.37,0.73,0.65,0.8,1.1,0.91,-1.22,-1.37,-1.93,-1.14,-0.46,-0.89
1983,1.75,-0.29,1.38,1.85,0.57,1.32,-1.32,3.58,3.42,2.97,1.83,1.39,0.79,2.41,1.46,1.14,0.47,-0.2,-0.58,1.27,0.11,-0.04,-0.33,-0.82,-0.89,0.43,0.07,-0.15,-0.54,-0.73,-0.81,-1.22,-1.01,-0.38,0.03,-0.37,0.11
1984,-0.91,-0.39,0.48,0.19,1.31,0.16,-0.94,-0.42,-0.15,-0.17,0.16,-0.13,0.11,-1.15,-0.65,-0.27,-0.24,-0.51,-0.74,-0.9,-0.35,-0.15,-0.27,-0.52,-0.98,-0.94,-0.66,-0.54,-0.26,-0.51,-0.78,0.92,1.38,2.3,2.71,1.68,0.85
1985,1.98,0.75,0.71,0.2,-0.1,0.77,-0.5,-0.61,-0.8,-0.83,-0.77,-0.62,-0.41,-0.97,-1.03,-0.83,-0.79,-0.6,-0.49,-1.07,-0.61,-0.47,-0.63,-0.31,-0.17,-1.46,-0.53,-0.33,-0.37,-0.08,-0.05,-0.07,0.6,0.18,-0.03,0.7,0.64
1986,0.26,-0.22,2.46,-1.23,0.0,1.62,1.75,-0.66,-0.28,0.14,0.55,0.42,0.49,-0.29,0.07,0.28,0.43,0.6,0.76,-0.04,0.14,0.59,0.82,0.92,0.96,0.18,0.42,0.85,0.87,0.81,0.87,0.8,0.38,0.53,0.91,0.3,-0.57
1987,-0.35,-1.73,-1.1,0.52,-0.13,-1.07,-0.6,1.0,1.11,1.04,1.35,1.76,1.24,1.54,1.75,1.9,1.97,1.37,1.11,1.76,2.16,2.24,2.05,1.46,1.15,1.64,1.54,1.45,1.57,1.46,1.4,0.83,1.24,1.23,0.97,1.16,1.79
1988,2.23,2.33,0.25,-0.44,0.8,-0.03,0.59,-0.91,-0.96,-1.05,-0.94,-0.9,-0.63,-2.25,-2.21,-1.54,-1.01,-1.33,-1.3,-2.28,-2.28,-1.46,-1.09,-1.74,-1.75,-1.26,-1.2,-0.53,-0.79,-1.78,-1.87,1.56,1.13,1.45,0.91,1.01,0.35
1989,-0.05,1.43,1.89,-0.9,1.33,1.16,1.8,-0.63,-0.42,-0.16,-0.47,-0.17,0.04,-0.07,-0.32,-0.27,-0.15,-0.24,-0.34,-0.66,-0.51,-0.44,-0.24,-0.28,-0.33,-1.35,-0.97,-0.71,-0.28,-0.21,-0.33,0.57,0.58,1.1,0.6,0.73,-0.24
1990,-0.68,-0.49,0.94,0.41,-0.98,-0.92,-0.74,-0.15,-0.39,-0.19,-0.5,-0.47,-0.25,0.31,0.3,0.29,0.31,0.07,-0.01,0.22,0.52,0.45,0.41,0.42,0.22,0.49,0.86,1.0,0.82,0.9,0.83,0.03,-0.45,-0.54,-0.33,0.18,0.43
1991,-1.03,0.49,2.25,0.02,-0.65,-0.54,-1.7,0.13,0.57,0.53,0.77,0.86,0.83,1.19,1.32,0.92,0.54,0.79,0.99,1.17,1.44,1.28,0.8,1.08,1.27,1.44,1.58,1.4,1.09,1.29,1.19,0.88,-0.01,-1.17,-1.3,-1.23,-1.07
1992,0.49,-1.07,0.42,1.06,0.39,-0.41,-1.3,0.91,0.28,0.16,0.45,0.39,0.2,1.21,0.32,0.19,0.12,-0.04,-0.1,1.58,0.92,0.43,0.2,-0.0,0.02,1.1,1.23,0.92,0.58,0.37,0.34,-2.05,-1.82,-2.22,-1.97,-1.72,-2.39
1993,0.32,-1.06,-0.79,-0.16,-1.0,-0.22,0.95,0.93,0.72,0.59,0.45,0.71,0.52,0.96,0.54,0.36,0.41,0.37,0.19,1.19,0.65,0.33,0.6,0.37,0.22,0.81,0.86,0.76,0.83,0.39,0.5,-0.23,-0.01,-0.01,1.37,1.99,2.14
1994,-0.03,0.23,-0.83,0.98,-0.17,-0.34,0.36,-0.36,-0.4,-0.52,-0.03,0.93,0.74,0.24,-0.03,-0.04,0.09,0.63,0.9,0.84,0.73,0.89,0.53,0.8,1.16,1.14,1.58,1.78,1.3,1.28,1.35,-0.59,-0.87,-0.67,-0.6,-0.28,0.17
1995,-0.76,-0.14,0.13,-0.47,0.03,-0.52,1.63,-0.36,-0.41,-0.29,-0.15,-0.28,0.05,-0.13,-0.24,-0.73,-0.89,-0.72,-0.76,0.31,0.03,-0.4,-0.71,-0.75,-0.84,0.9,0.65,0.27,-0.04,-0.12,-0.3,1.35,0.83,-0.35,-0.23,-0.28,0.29
