Date,AHT,ALT,ARH,WS,RAINFALL
13-2-1974,28.3,23.4,93.25,4.77,0.2
14-2-1974,30.2,22.4,92,4.0,6
15-2-1974,27.4,23.3,94.5,0.33,1
16-2-1974,31.4,22.8,85,3.4,14.6
17-2-1974,27.9,23.3,94.25,5.3,18.9
18-2-1974,31.8,22.5,87.5,2.33,8.4
19-2-1974,30.7,23.4,84.5,5.93,0.4
20-2-1974,31.1,22.4,88.25,3.17,0.8
21-2-1974,29.7,23.4,87,1.73,6.5
22-2-1974,30.7,23.2,91.75,3.67,0.8
23-2-1974,29.1,22.7,90,4.23,13.3
24-2-1974,31.8,22.4,84.5,4.67,19.5
25-2-1974,29.3,22.9,94.75,1.7,0.5
26-2-1974,30.9,22.5,87.5,1.33,1.9
27-2-1974,31.5,23.6,90.25,3.67,0.2
28-2-1974,30,23,87.75,2.57,3.1
1-2-1975,26.6,22.8,97.25,1.6,34
2-2-1975,29,22,89.25,2.27,44.6
3-2-1975,29.4,23.4,94.5,0.67,12
4-2-1975,27.6,23,92.25,3.67,5
5-2-1975,26.8,22.5,92,8.1,64.2
6-2-1975,30.7,23.3,87,6.3,2
7-2-1975,30.3,22.3,87.5,5.77,0
8-2-1975,30.7,23.9,94,2.33,0
9-2-1975,29.5,23.3,92,5.23,4
10-2-1975,30.3,22.5,87.75,5.43,11.4
11-2-1975,31.4,23.3,81.25,6.33,0
12-2-1975,31.4,22.5,81.75,2.57,23.6
13-2-1975,31.5,23.3,89.5,2.93,18
14-2-1975,29.8,24,88.75,5.35,22.6
15-2-1975,30.6,22.4,80.5,5.35,9.4
16-2-1975,30.1,23.7,89.25,4.77,0
17-2-1975,30.6,21.4,84.25,2.57,33.4
18-2-1975,31.7,23.3,80.5,1.5,3.4
19-2-1975,30.7,23.2,85.5,2.0,0.3
20-2-1975,28.3,21.4,90.25,2.37,23.5
21-2-1975,30.3,23.4,87.5,3.4,3.3
22-2-1975,32.1,22.4,77.5,6.87,0.5
23-2-1975,30,22.5,91.25,3.33,0
24-2-1975,27.4,22.2,86.25,2.77,13.2
25-2-1975,29.7,22.7,84.25,2.5,2.2
26-2-1975,30.8,22.5,84.5,3.67,5
27-2-1975,28.3,22,86.25,2.6,3
28-2-1975,26,23,95,0.33,20.1
1-2-1976,30.3,22.2,84.75,2.33,8
2-2-1976,32.1,22.6,79.5,2.43,0
3-2-1976,31.4,23.4,85.25,7.87,12
4-2-1976,31.5,24.1,86,5.5,10.8
5-2-1976,30.8,22.6,81.25,1.83,15.6
6-2-1976,32.1,24.1,78,5.67,0
7-2-1976,30.2,21.3,89.75,6.43,6.4
8-2-1976,28.9,21.1,87,6.1,68
9-2-1976,31.2,22.5,81.75,7.0,0
10-2-1976,30.1,23.2,84.25,4.8,0
11-2-1976,27.4,21.2,95.5,2.87,114
12-2-1976,32.6,21.4,77.75,3.87,21.8
13-2-1976,33.1,23.7,71,3.27,0
14-2-1976,28.4,22.5,94.75,1.73,33.6
15-2-1976,30.3,22.5,86.5,1.43,2.6
16-2-1976,27.9,22.5,91.75,7.43,2
17-2-1976,31.3,22.6,80.25,4.2,0
18-2-1976,31.4,23.2,78.5,6.53,0
19-2-1976,31.3,24.3,84.75,3.77,18.7
20-2-1976,27.9,21.4,96.25,0.33,33.5
21-2-1976,25.2,21.8,95.25,1.4,28.2
22-2-1976,30.5,22,90.75,1.5,30.5
23-2-1976,30.6,22.3,87.5,1.33,40.5
24-2-1976,28.8,22.2,91,6.1,1.2
25-2-1976,29.5,22.7,87.25,1.67,14.6
26-2-1976,28.8,22,89,6.93,0.9
27-2-1976,27.9,23,91.5,2.47,18.5
28-2-1976,28.8,22.8,90.75,0.0,47.4
