Date,AHT,ALT,ARH,WS,RAINFALL
1-6-1970,32.2,22.3,81.75,5.4,0
2-6-1970,31.4,23.6,86.5,3.35,0
3-6-1970,32.1,23.4,78.5,5.0,0
4-6-1970,32,24.6,81.25,3.6,0
5-6-1970,30,24.3,89,2.33,0
6-6-1970,29,23.8,87.75,3.9,1
7-6-1970,32,23.1,85,5.3,0
8-6-1970,32.2,24.2,81.25,8.1,0
9-6-1970,32.8,23.6,77.5,4.27,0
10-6-1970,33,23.1,77.75,3.33,0
11-6-1970,32,23.9,79,5.0,0
12-6-1970,33.1,24.4,79.75,5.33,0
13-6-1970,32.6,23.1,79,2.7,0
14-6-1970,32.3,24.4,83,3.83,0
15-6-1970,28.5,22.5,95.25,1.0,14.5
16-6-1970,30.8,21.8,91.75,2.63,12.5
17-6-1970,32.4,22.2,79.25,4.67,9.2
18-6-1970,30.7,24.4,87,4.0,0.1
19-6-1970,32.3,24,82.25,3.9,0.2
20-6-1970,31.9,23.9,87,4.17,0
21-6-1970,31.1,23.4,81.25,7.3,1.7
22-6-1970,32.3,22.9,80.5,6.57,3.1
23-6-1970,32.2,23.2,82,3.4,2.4
24-6-1970,32.4,23.1,86.75,3.85,7.7
25-6-1970,25.1,22,91,7.37,37.4
26-6-1970,26.4,22,89,4.23,0
27-6-1970,29,21.9,87.5,2.67,0
28-6-1970,28.5,22.3,94.75,1.0,34.6
29-6-1970,30.7,22.5,85,3.67,7.6
30-6-1970,32.9,22.7,79.5,2.57,0
1-6-1971,31.5,22.1,86.25,0.67,6
2-6-1971,31.2,22.7,85.25,1.67,3.3
3-6-1971,30,22.7,91.25,2.57,17.2
4-6-1971,31,23.1,87.25,4.2,13.3
5-6-1971,30.3,24.3,87.5,5.0,6.4
6-6-1971,30.5,22,87.25,3.67,8
7-6-1971,29.6,22.6,88.5,4.0,0
8-6-1971,26.8,22.7,94.75,4.6,0.3
9-6-1971,28.8,23,88,2.5,53.9
10-6-1971,29.5,23.7,88.75,7.5,6.8
11-6-1971,30.4,24.1,89.75,5.0,0
12-6-1971,28.9,23.8,88,6.27,0.1
13-6-1971,28.9,23.5,91.25,4.77,3
14-6-1971,30.4,23.2,85.5,4.43,5.1
15-6-1971,29.5,23,85.75,5.57,0.1
16-6-1971,31.1,22.3,79.25,6.0,0.3
17-6-1971,30.7,22.6,83.25,4.47,17.2
18-6-1971,31.3,22.9,82,5.0,0
19-6-1971,30,23.4,86,3.35,0
20-6-1971,31.8,22.7,78.75,4.17,0.1
21-6-1971,31.9,23.6,80.5,3.67,1
22-6-1971,30.9,23.6,86.75,5.7,0
23-6-1971,31.3,22.4,81,7.77,0.2
24-6-1971,31.8,22.6,78.75,5.77,0.1
25-6-1971,30.9,23.4,82.5,5.0,0
26-6-1971,31.5,23.7,76.75,2.57,0
27-6-1971,32.2,22.9,79,8.43,0
28-6-1971,31.9,24.3,82,5.53,0
29-6-1971,29.7,22.4,86,6.83,0
30-6-1971,30.9,21.2,82.75,5.9,4
1-6-1972,32,24.4,78.75,5.77,0
2-6-1972,31.5,23.8,84.25,2.57,0
3-6-1972,31.6,23.7,83.5,4.0,0
4-6-1972,31.8,23.7,81.25,4.77,0
5-6-1972,32.5,24.8,76.25,5.43,0
6-6-1972,32.8,24.6,76,2.57,0
7-6-1972,33.5,24.6,80.75,5.07,0
8-6-1972,32,23.5,81,4.0,24.6
9-6-1972,28.9,23.3,88,4.0,0
10-6-1972,30.5,22.8,90.75,6.1,17.2
11-6-1972,31.1,23.4,84.25,2.8,7.2
12-6-1972,31.8,22.7,84.25,3.0,39.6
13-6-1972,31.7,22.7,86.5,2.0,0
14-6-1972,31.3,24,82.5,3.63,0
15-6-1972,31.2,24.3,88.5,6.67,0
