,Norm,Year,from,pca_1
0,,2001,y,-0.21712258983168956
1,,2002,y,-0.2523782048025454
2,,2003,y,-1.140993552603837
3,,2004,y,-0.495989348038901
4,,2005,y,0.29132109222400104
5,,2006,y,-0.5241737885652993
6,,2007,y,-0.33289187459010045
7,,2008,y,-0.8963744171453625
8,,2009,y,-0.8517662642709977
9,,2010,y,-0.9482950260971386
10,,2011,y,-0.06273241355205195
11,,2012,y,0.024074804812948124
12,,2013,y,-0.13960598380259542
13,,2014,y,-0.03792737189395326
14,,2015,y,-0.4638476152388544
0,0.20012837994052707,2001,net_0,
1,0.2013967775529067,2002,net_0,
2,0.20031607722449635,2003,net_0,
3,0.2004587361459868,2004,net_0,
4,0.20021512940190683,2005,net_0,
5,0.20123358192775886,2006,net_0,
6,0.20084635524176025,2007,net_0,
7,0.2007979333180317,2008,net_0,
8,0.2009894333665178,2009,net_0,
9,0.20058799326496024,2010,net_0,
10,0.20065068980516848,2011,net_0,
11,0.20034263951762515,2012,net_0,
12,0.20119173383981281,2013,net_0,
13,0.20218106400135616,2014,net_0,
14,0.1999554902626295,2015,net_0,
0,0.1488390232791208,2001,net_1,
1,0.14896722271222973,2002,net_1,
2,0.14886338791726123,2003,net_1,
3,0.14892024061527315,2004,net_1,
4,0.14885766702628095,2005,net_1,
5,0.14895430935337664,2006,net_1,
6,0.148920974734057,2007,net_1,
7,0.14897743321015164,2008,net_1,
8,0.14892633351204015,2009,net_1,
9,0.14890518749790066,2010,net_1,
10,0.14877339700398917,2011,net_1,
11,0.14889475814616276,2012,net_1,
12,0.14895553519090707,2013,net_1,
13,0.14891855531274908,2014,net_1,
14,0.1488770623321162,2015,net_1,
0,0.07861188404346278,2001,net_2,
1,0.0797095297715388,2002,net_2,
2,0.07849717023916972,2003,net_2,
3,0.07850973495607036,2004,net_2,
4,0.0784673215968785,2005,net_2,
5,0.07894659834773007,2006,net_2,
6,0.07851138460913634,2007,net_2,
7,0.08027271629262997,2008,net_2,
8,0.07879396812215536,2009,net_2,
9,0.07984091808228796,2010,net_2,
10,0.07789213165449008,2011,net_2,
11,0.0784023322994393,2012,net_2,
12,0.08001157837017334,2013,net_2,
13,0.07826909166585796,2014,net_2,
14,0.07836037313146052,2015,net_2,
