,Ano,Mês,Valor,Variável
125,1951.0,6.0,0.015299107,nino4
126,1951.0,7.0,0.0152056678,nino4
127,1951.0,8.0,0.0149920899,nino4
128,1951.0,9.0,0.0150919366,nino4
129,1951.0,10.0,0.0151160755,nino4
130,1951.0,11.0,0.0152238996,nino4
131,1951.0,12.0,0.015203207,nino4
132,1951.0,1.0,-0.0495951417,tsa
133,1951.0,2.0,-0.0338818974,tsa
134,1951.0,3.0,-0.0394557823,tsa
135,1951.0,4.0,-0.0237099024,tsa
136,1951.0,5.0,-0.01607298,tsa
137,1951.0,6.0,-0.0111827957,tsa
138,1951.0,7.0,-0.0055359839,tsa
139,1951.0,8.0,0.0029673591,tsa
140,1951.0,9.0,0.0032071841,tsa
141,1951.0,10.0,0.0017391304,tsa
142,1951.0,11.0,-0.0045019696,tsa
143,1951.0,12.0,0.0,tsa
144,1952.0,1.0,0.0182922933,rainfall
145,1952.0,2.0,0.0225691453,rainfall
146,1952.0,3.0,0.0155200196,rainfall
147,1952.0,4.0,0.021471137,rainfall
148,1952.0,5.0,0.018048356,rainfall
149,1952.0,6.0,0.0124576971,rainfall
150,1952.0,7.0,0.0107019039,rainfall
151,1952.0,8.0,0.0239377951,rainfall
152,1952.0,9.0,0.0059968415,rainfall
153,1952.0,10.0,0.0099617575,rainfall
154,1952.0,11.0,0.0147846145,rainfall
155,1952.0,12.0,0.0253816009,rainfall
156,1952.0,1.0,0.0151453081,nino12
157,1952.0,2.0,0.0151948098,nino12
158,1952.0,3.0,0.0151551877,nino12
159,1952.0,4.0,0.0148457614,nino12
160,1952.0,5.0,0.0149850399,nino12
161,1952.0,6.0,0.0148816398,nino12
162,1952.0,7.0,0.0148108086,nino12
163,1952.0,8.0,0.0147106779,nino12
164,1952.0,9.0,0.0145084039,nino12
165,1952.0,10.0,0.0150163221,nino12
166,1952.0,11.0,0.0148102893,nino12
167,1952.0,12.0,0.0151146919,nino12
168,1952.0,1.0,0.0153815161,nino3
169,1952.0,2.0,0.0152481494,nino3
170,1952.0,3.0,0.0152634611,nino3
171,1952.0,4.0,0.0152570022,nino3
172,1952.0,5.0,0.0152030148,nino3
173,1952.0,6.0,0.0149555515,nino3
174,1952.0,7.0,0.0148888207,nino3
175,1952.0,8.0,0.0148910829,nino3
176,1952.0,9.0,0.0148910264,nino3
177,1952.0,10.0,0.014942976,nino3
178,1952.0,11.0,0.014740334,nino3
179,1952.0,12.0,0.0149330959,nino3
180,1952.0,1.0,0.0152872355,nino34
181,1952.0,2.0,0.0152397163,nino34
182,1952.0,3.0,0.0152472665,nino34
183,1952.0,4.0,0.0153524993,nino34
184,1952.0,5.0,0.0153538306,nino34
185,1952.0,6.0,0.0150897809,nino34
186,1952.0,7.0,0.0150107299,nino34
187,1952.0,8.0,0.0149762744,nino34
188,1952.0,9.0,0.0150578647,nino34
189,1952.0,10.0,0.0150866231,nino34
190,1952.0,11.0,0.0150023015,nino34
191,1952.0,12.0,0.0151320998,nino34
192,1952.0,1.0,0.0152586768,nino4
193,1952.0,2.0,0.0151798149,nino4
194,1952.0,3.0,0.0151349782,nino4
195,1952.0,4.0,0.0152168589,nino4
196,1952.0,5.0,0.0151548684,nino4
197,1952.0,6.0,0.0150409609,nino4
198,1952.0,7.0,0.0149360262,nino4
199,1952.0,8.0,0.0148487519,nino4
200,1952.0,9.0,0.0150335642,nino4
