Year,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18
1950,1.3084706173840994,-0.4360487499907646,0.06247893000339738,0.27124596824468505,-0.02749037787624111,-0.00583675120644012,-0.011028586553383405,-0.002604085586834952,-0.0028347244025703254,0.0005794568156754915,0.0036529840358352685,-0.0072369110512759864,-0.0009317866531391699,0.0011329104810862134,-0.00015602779897344685,0.00015319710622801,0.0003703574779940509,0.00017739512357610118
1951,0.12271600052597209,0.021356081513820308,-0.11224280975152798,-0.09801560985862284,-0.01964892870056845,0.03866621572917184,0.0004903104118897221,0.0035216500497469634,0.01650882496450217,0.0015134827464228337,0.005563628658005643,-0.0010382674702324544,-0.0003563733920444476,0.001575235704360719,0.000994820494338142,-0.00032408637900298873,0.0002157094597689316,-8.02470404770234e-05
1952,0.23658450009836723,-0.03612942774057802,-0.055872347417420615,0.06221482924967217,-0.08410987478752674,-0.008501292832675927,-0.0011026789465828821,-0.006206109837627918,-0.009309281082634329,-0.002565726340372051,-0.004734147008544444,-0.01065208753977567,0.004314437720694751,0.0006901588393409678,-0.0007076550510571302,0.0001384942379681058,9.282015241313075e-05,-0.0003123573752371833
1953,0.3766234240728037,-0.24805555274966734,-0.24014046050247567,0.0595446879875729,0.08342730317574953,-0.017508756287139687,-0.007832323149150569,0.01971679027137271,-0.0072477921607084685,-0.003800865461339054,0.004742533793353,0.002045956949953731,-0.0005886401146253356,0.0017102049059025915,-0.00018096625862032818,-0.0004976911502934517,-7.464197777247992e-05,0.0001073657412376376
1954,0.8122432410879856,0.3758324231333718,-0.2957875833085218,0.084867083691478,-0.05708645470167791,0.0433336083998922,-0.005982738969118898,0.0041886032173506105,0.005868307264585724,0.00521505298209368,-0.005369517150141953,0.0032837124036432896,0.001971717737830656,-0.003441206972037741,-0.00029745162609300406,0.00039504786621075985,0.0002727591663301643,0.00011724488248366562
1955,0.9851284787265073,-0.025646936917512575,-0.04768761126056595,0.3173588920827633,0.05046793695904327,-0.03394514872870358,-0.0020301489447481762,0.007610026229188872,0.006962407154960025,0.0053717287211403515,0.0034680311230729653,-0.003342930987322134,-0.003900200221891985,-0.0020148918729206078,0.000674480623531477,-0.0003176132164251376,-0.0003237913863409188,0.00010497646288257266
1956,0.927870569611057,-0.20616862148028,-0.033244136833233184,-0.07191245245525282,-0.08397272610847181,-0.06184872892921922,0.004280083432409688,-0.0017419435452241299,0.007132382197991798,0.005702237211840841,0.0013899649433084722,-0.00019729842380928285,-0.0014609090831067613,-0.0001856817047037919,0.0004201200937639135,-0.00018830912166613702,0.00041293798208603635,-0.0001023734676977136
1957,0.7705100104798898,0.12481825847714559,0.11094635442072065,-0.030850868867090084,-0.11485630335217763,0.048896682137031924,-0.014708975851188107,-0.010661435471014627,1.8048163194096854e-05,0.0013588722378532858,0.0025883261740156146,0.006131520937834195,0.0059341148787620856,0.0024942420896148973,0.0006361351105816721,-4.629210074476921e-05,-3.842514882653466e-05,-0.00013995255527870956
1958,1.1578236508301665,0.5119129759130596,0.26115485639753605,-0.005870932816045952,0.051307978112638084,0.015899655079921648,0.0025572112943636582,-0.006205801665923159,-0.002633932113449766,0.0032893368936332368,-0.0035414140149223235,-0.0006350095632139189,0.0034163987080131084,-0.0010395300088219496,0.00032531462569141767,-0.000259801756938192,-0.00016419287240964977,-9.407544360413056e-05
1959,0.5546395373992182,0.022205542393463923,-0.11844987841390366,-0.014123394035271047,0.030017065879061493,-0.024088973721630644,-0.002188573571473465,-0.004283745677119442,0.0007469780065273244,-0.014187870346410465,-0.011408316148831529,0.004085867365023093,-0.00568894088089714,-0.001036498575014058,0.0006824822580436962,0.0005915172005974185,-0.00011650835962902794,-6.617028718561123e-05
1960,0.12595584109661828,-0.015420584542257742,0.10559429344758253,0.03984619003562247,-0.040326459403505766,-0.04863260420214086,0.0031073185355711165,-0.002131990597486347,-0.002484811413561979,0.018184396268771708,0.003890521750121485,-0.0004320653745597494,-0.008125608254318966,-0.000774360859386697,-0.0008106526080253268,2.2602007825543458e-05,-1.3796573911257478e-05,0.0003014147000518888
1961,0.32699261020091847,0.10256605884626718,-0.18426283824946835,0.020210689253001922,0.029649047753076425,-0.08575371912492127,-0.013742153482100271,-0.0013063270703035856,0.005772876818253506,0.003389901546989981,0.0019474011265388541,-0.009982291502700623,0.00024109411275749965,-0.0021152909189578097,-0.0005441942126349067,0.0005041858060214446,-7.265751753125393e-05,-0.00022958575233017437
1962,0.23867208364564169,-0.032542776036480384,-0.11903219186902722,0.12844358435646966,-0.01671118517967202,0.05621698251528119,-0.012263883584711713,-0.002731046352106437,-0.00421641005870485,-0.0043174344219635945,0.00447520618780925,0.006575494841272048,0.006171213055524377,-0.0019284250874832337,0.00033446037080498407,0.00020455813036379146,-0.00020991641853504482,0.0003075512319447428
1963,-1.2276461556683222,0.24989472578830518,0.08126377696732551,0.019539014334302773,-0.1311700604452578,-0.022595297715638764,-0.022365504076834963,0.005533218595760737,0.004435603393817665,0.005722468560017796,-0.003783447424645898,0.004383815111047885,-0.0023100538254471783,-0.0002487891115127046,-0.0007578600227054449,-0.00023879092304917676,0.0003240259573783335,0.00014458170705014122
1964,1.4454224789646495,-0.3988469919324657,0.3142128644847118,0.056453888110099604,-0.17531879039873433,0.10813833036774678,0.008083120192056814,-0.006585785157304533,-0.012342058495796886,0.005292522320480449,-0.0064081233365700496,-0.0028590084401360905,-0.007244749149237596,0.0009501364471864362,-0.00031024226741604706,0.0005575069215866743,-1.0896930780908849e-05,0.00017196312927767837
1965,0.6529232835343359,0.054672425451733814,-0.226604902006256,-0.1228661223093834,-0.0036324286167183275,-0.046431724127735975,-0.019498530709610946,0.00012253051644263674,-0.000773875551184321,-0.002924152777981895,0.006219544816713871,-0.0008847057616457724,-0.003340066975954561,0.0011577426809587256,-0.0003532093945130501,-0.00046869763194412194,0.00042323889609582324,0.0001266777060469182
1966,-0.3044676228350258,0.35372894799356347,0.4443627800787838,-0.018823655432885583,0.007507131615570147,-0.100358853765386,0.02090630788215758,0.005830716259445369,-0.0033232558864153493,0.00270157089898137,-0.01369432513153563,0.0023786511614524485,-0.0022777662830090646,-0.0012428573219049883,-0.00030939452654165094,-0.00019894847675879234,-2.958520482483176e-05,3.254714116144488e-05
1967,1.1107789539554158,0.33368652164800094,0.05872965387150941,-0.18801912910053586,-0.19355326779643817,-0.06300999318243816,-0.022398213836255978,0.004020215790353837,0.0046330017939896105,-0.0073858782921946056,-0.008065483752684826,0.0025292019881560214,0.0023039296365307237,-0.0025825289492231443,0.00011497596317635023,-0.00021678083527533454,-2.682743445723609e-06,-8.569593855287588e-05
1968,-0.8025083177762109,0.24445787501478022,-0.055817024932182574,0.08143003898191337,0.01765935723750638,-0.017166271311227346,0.01913389011105382,0.015346076524296611,0.029505942564861554,0.0027292531674564754,-0.0007552869316382622,-0.0008775048007939278,-0.003429398565518404,0.0004239174636409683,-0.0004617452557388394,-0.00042687789625959463,0.0003445452852619519,-0.00014058456790244794
1969,0.3234912587088111,-0.04446637091130483,-0.10330241500125803,0.036455566649351956,-0.0761587899320661,0.07209610312736087,-0.006015401481140783,0.004899397725623145,-0.007595573088601507,-0.007520340644759973,0.002811718417136228,0.0013831473687601669,0.0007859721747967864,0.001939348018028809,-0.0004134355751973204,0.0002891241889066123,-0.00038260911386062086,-0.00019015558939820137
1970,0.7114197236799907,-0.09326462833157825,0.0927187405022423,0.08766760974724537,-0.0780206516909859,-0.11583521092224908,0.002450988693415943,0.001826438186184703,0.0083598462922603,-0.00014083466585660667,-0.0006433583787059274,0.0037025552812951553,0.003154738006778887,-0.0009826366053598157,-0.0002717297261025693,0.0007669778226828673,-0.00031117637288569495,2.1807635724833767e-05
1971,1.1236034153122834,-0.4839784237937499,-0.1590993387917481,-0.10475446420038137,0.07379808691366563,-0.03378009442951122,-0.010089866988238766,-0.005666937401267845,0.003535816867809012,0.0003230283660675924,-0.007103204921333928,0.007746528337928351,-0.0016405486314157013,-0.0011023337028359956,0.0007979744001064241,0.0003882638013546886,0.00010134826140171255,4.3122620544986854e-05
1972,-0.8949941898736462,0.4571452141267759,0.211973281258836,-0.14616910815253448,-0.06367152678834048,0.004136930921843092,-0.0077284170062995,0.002847997594889165,0.0016704757186649121,3.7527291534757146e-05,0.0076510559986916315,0.004006639083499986,-0.002965148702345468,0.0007938562557274374,0.00035824633348796803,0.00030277343755996796,0.000611367575674913,-6.02630420148435e-05
1973,-1.3636687541985157,-0.2603810856570382,-0.18735444963086464,-0.0054374152252047725,0.06274586333863981,-0.11556080716902456,0.012994715496700815,0.005411825905912722,-0.012632129132739728,0.005281364924650503,-0.001559754215741871,0.001450726047418305,-0.0017084546418043678,-0.003368872484110844,0.0005777396319285383,0.000644763414308119,0.00021995781370790887,5.9650277193611394e-05
1974,-0.5523662467333353,-0.3458936136149692,0.22917861192632474,0.0908826487658769,-0.08995166826680755,0.012408252014852947,-0.00934699606345157,0.0030842851048969513,0.003458203794562561,-0.007209829652216896,-0.006207341738403401,-0.005975570665240173,-0.002031062609408508,0.00046144338716361694,0.0002922957350512077,-8.723718837078267e-05,0.00033891210848861894,0.00014679897337411787
1975,0.4217417944225182,-0.19063926846715418,0.06473293582573217,0.21157463246122338,-0.09930466691813919,0.05318774681649119,0.005372573654058664,0.02546914945114456,-0.014948948911705983,-0.008813551934329776,0.006945206492797022,-0.00012722752396182005,0.0061950962069196374,-0.0006704550989151496,0.0005920956460306084,-9.132575893429698e-06,0.000542111210838497,7.034741119503417e-05
1976,1.0976554206916458,0.34082927403927676,-0.13165300906363242,-0.13947602231975345,0.013666734539965477,0.004028752508217221,-0.007638986078824423,-0.004325873710368012,0.0006088366985468767,0.0010540844125194434,-0.00217915181482838,0.003060849463601313,0.002181111049592505,0.000372338193879032,0.0010310797016727892,6.19091731070715e-05,0.0003555326584868296,0.00017167034560745847
1977,0.23884579358235367,0.0030800851665329504,-0.09341400669876967,-0.07430339661221697,-0.08544979460549293,-0.017348666278983585,-0.00802334577301464,-0.009268346554281635,0.0046451360345991285,0.005701468462518965,0.009930326504797568,-0.000685015164360108,-0.003361439064091953,-0.0009197174923070885,-0.0013841897864663678,-0.0001928798753816092,8.452865680308786e-05,-0.00038590652975547813
1978,0.7472720863473093,-0.04601445413208169,0.26424125882680355,-0.1068258651182751,0.035245882634041284,0.029970872334064785,0.016141618224358042,0.00488902181425707,0.013550425366073173,-0.004457347367737044,0.010607993505144577,0.004207340819302621,-8.141580099878536e-05,-0.0013669259544398888,-0.00012224059998149547,0.0006864858802439788,8.749793754524449e-05,-0.00017069286299285053
1979,-0.20979950838913788,-0.2197960967227515,-0.11710669967012856,-0.09705313227056597,-0.11387645489566961,-0.06761290055408442,-0.0008533941336111222,-0.018547596716070477,-0.0008429599700937159,0.011323337160344955,0.007052938157475706,-0.0012249945032414998,0.005655863567480915,0.001462188858220648,-0.0007925150682649597,0.000261059779851607,0.00014895872687188466,2.8191286362849864e-05
1980,0.44742417783797905,-0.4457940236500142,-0.31261524868191315,0.02806042580575835,0.024673729450796874,-0.03457565994660007,0.011703983918730228,-0.01027390038304355,-0.009974978568307057,-0.0011697685297322354,-0.005331851269734559,0.004247206244568107,-0.004808693024239216,0.0017474465601597655,-0.0004965331268441583,-0.00034634642479308415,0.00013835123602102802,-4.241580156305987e-05
1981,-0.2363744413544366,0.20855946000687067,-0.396273176190179,0.047669323449003834,-0.058212341050235615,0.09255149206120862,0.050088125452420314,-0.007223941096031561,-8.332447026948654e-05,-0.0021356792859541906,-0.009548248815881344,0.003909992061144545,0.0011738177390138505,0.0004853327173034492,-0.00022511401614426065,-0.000147168234138837,0.00040556069428494005,-0.00017307732862213685
1982,0.8439785776740867,0.3466145462845317,-0.10300789688938955,0.07301954711613534,0.2084932798162963,-0.025993843327131186,0.0020452056971178864,0.0049886326352909524,0.01132312659379058,-0.004093404007604353,0.0011149167751252273,-0.011736257278406095,0.0010095595413282359,0.0038014651609621654,-0.0007143270115669807,0.0012584552261220828,0.00020667348525228637,0.00011023440202017574
1983,0.0694896260679447,0.4702828157291479,-0.02583733172154093,-0.19135318237804128,-0.1364574934395998,-0.04368787723493295,0.01861784065620221,0.004382465526571239,-0.013307453680400363,0.012387151965357389,0.015271630969178667,-0.008491755841501449,-0.0037365227738292654,3.7206777223059264e-05,0.0026277296255447094,-0.0005580037892700175,-0.00039480682269768893,-0.00026710510706920665
1984,-1.2219515744336824,-0.4613185553861502,-0.3150524670491896,-0.22922806994727252,-0.027563045667847105,-0.04323579695480646,0.0005525612242694342,0.0013873317008161786,0.007759011372421304,-0.011432895649977091,0.007197413115044821,-0.0019858917879153368,0.00244906082435595,-0.001192703871482241,0.0004291102340572649,0.00040913425779813745,-0.0003720654299735524,0.0005144954840864563
1985,-0.4046257225458332,0.10128790590958259,0.11277484643609184,0.11175359634819426,0.09128140373758084,0.059263468210100693,0.004842179978942159,0.0023386681892228712,-0.007818118575079176,0.007426497295560101,0.008033530167854337,-0.006842932205413191,0.00021969943061657003,-0.002370343907238339,-0.0008945080566197016,0.00013100609742515158,-4.8102210310927915e-06,-0.00026531596764520487
