Year,y,net_0,net_1,net_2,net_3,net_4
2001,-19.986666666666707,-25.73276904937481,0.20997962378956458,5.504898879195423,-11.046095562599902,-23.17536283668551
2002,11.313333333333276,-25.489241318618724,-0.0003245745071183137,8.28336717149216,-10.617293049058532,-22.40415915536599
2003,-31.986666666666707,-26.881609924035274,1.565018112191325,8.0416778304035,-10.723777586250662,-22.959626229905183
2004,171.31333333333328,-26.889020496498915,2.2833874148170423,7.430710027346436,-11.907138385201335,-22.344952118614543
2005,-26.0866666666667,-25.459851020261624,1.7907560186921785,7.510102360500298,-13.297408288739405,-23.250214888960784
2006,130.51333333333332,-25.821620146510043,0.5123479439909886,7.366546224600427,-9.221797075797951,-23.755604919894154
2007,-86.28666666666669,-24.650742769621786,2.103645794345937,5.652248898355651,-12.624369090765924,-22.35531029086934
2008,12.513333333333321,-26.347773530064558,0.5215959025603922,6.595293039142234,-6.258338566192862,-23.653091408736202
2009,-137.5866666666667,-27.141999346191284,0.3241313292006964,8.549281440638993,-10.527939227139086,-23.39833434944748
2010,-86.48666666666671,-26.911771060292665,1.8356626826251272,7.888153572477563,-11.713867120751075,-23.339659775021516
2011,-29.186666666666696,-24.57127853280528,1.697394467998265,6.029100694452552,-8.261323075730814,-24.98310050847826
2012,-83.78666666666669,-25.084760347615372,0.09557576318573524,5.060615962023462,-13.652920443623657,-22.34219680796292
2013,-13.186666666666696,-24.849051650269843,2.2812065599928815,6.39170074458201,-8.910013077732287,-24.230901761547585
2014,159.7133333333333,-25.941389579957445,1.4598013876860705,7.00765574251659,-10.62259567953825,-22.93295578991092
2015,29.21333333333331,-28.220950853910807,0.9011013034274811,9.18064245783279,-11.371939737812596,-21.81606401016768
