Year,y,net_0,net_1,net_2,net_3,net_4
2001,0.0035160965080447033,0.005650361906236918,-0.0002778877939437277,-0.0008197071539779929,0.00021230584181752138,0.00018211391209562756
2002,0.0052414831224527475,0.0055077350830660746,-1.807439263686733e-05,-0.0003653621549896055,0.00046101019867183374,0.00018213747767352982
2003,-0.009403002030701942,0.008709807399322818,-0.0011995185959797552,-0.000807178479438557,0.00214164858981971,0.0001815134763915472
2004,-0.005472954742328066,0.0022843034807597043,-0.0005649246162791541,-0.0007480385774610229,0.001267156255626796,0.0001818392423736815
2005,-0.00621316690097843,0.0030099757305497923,-0.0004950958754432258,0.0018928518587497736,0.0008904311857631728,0.00018208244054066826
2006,-0.005808446584018516,0.006210756409331282,-0.00041049309633364034,-0.001416974747369397,0.0007452198881200203,0.00018194880185428385
2007,0.007030772944801828,0.004905450632618165,-0.0003127130456524671,-0.0009907666677058044,0.00012898500278852448,0.0001820378280876795
2008,0.0061254774989704455,0.010006631878388357,-0.000720728035652006,-0.0020544942434060284,0.001097016370035668,0.0001818310615547946
2009,0.0015137959925588251,0.010960883420060082,-0.0007798144969058743,-0.0018198326240651472,0.001255268932722313,0.00018171882611717032
2010,0.0007150058932958447,0.012571766876829767,-0.0011583921488629925,-0.0009958532589376332,0.00145400111248941,0.00018164734512720986
2011,-0.0029594285633138782,0.0062737280565885525,-0.0006781940455783467,0.000719016747101904,0.0002764529340586949,0.00018211693829609486
2012,0.004410741419219245,-0.0001656257921664947,0.00042387435080581265,-0.0012420499129430704,1.1053861142605592e-05,0.00018229811074575546
2013,0.001716156151038782,0.006052377340677491,-0.0003824554083267165,-0.0006107668989853085,0.00030240075543571526,0.00018210548177014126
2014,-0.0015482327212826084,0.006657996036784027,-0.00028397556126565776,-0.001953470812117046,-0.0004936124081657903,0.00018220872626077862
2015,0.0011357020122410091,0.006140320584728139,-0.00047892074366460285,-0.00029257968433853837,0.0012825834047403353,0.000181840205800839
