Year,y,net_0,net_1,net_2,net_3,net_4
2001,-24.466666666666697,-4.819439002554958,-17.931886137834994,-2.328401530960406,-0.7655274943044219,52.594235947302934
2002,73.73333333333329,-6.782982589121389,-17.20039823416721,-0.6375161350419773,-0.6651312923835064,52.50254956201252
2003,-147.5666666666667,-3.9433679434159785,-18.163349717431174,1.5403405722371986,-1.8626117636688946,52.869744838393956
2004,-97.4666666666667,-5.597943362695787,-18.327111826688053,-1.746200984897257,-1.5484643156295874,52.31926420638575
2005,54.333333333333314,-6.106429170432989,-18.154600498698073,-2.32941793713087,-0.8027759357949265,52.745200885863255
2006,79.93333333333328,-5.150967887141718,-17.669004548766992,2.0767535551422043,-0.9627503371936541,53.34171269352686
2007,88.43333333333328,-4.922942952044849,-18.34435663169009,-2.4500594357026557,-0.6664481033762684,52.48538740593557
2008,220.63333333333333,-4.6306105959380375,-17.893513870853923,2.5693594001067765,-0.9039936819361003,53.64718527024519
2009,24.93333333333328,-5.284370987521527,-16.995840444017176,2.212102518021794,-2.105460282636585,53.89120324083382
2010,52.633333333333326,-4.241755375469467,-18.121721064357217,-0.2894213285229057,0.11675797801507315,52.833464165409964
2011,-42.9666666666667,-5.846852699163037,-17.850786261917165,0.4560229719850213,-0.24584553015537836,53.09746236109049
2012,28.73333333333329,-7.004505123409672,-17.968192827090007,-0.20639016240428987,-1.0931234980584748,53.27987284077608
2013,-136.16666666666669,-5.517953143862599,-18.920289056400122,-1.923276234191718,-0.043828498078397615,52.27350846684618
2014,-63.666666666666686,-6.591630224029018,-17.20554363554041,1.9810512947940708,-0.9915006158479969,54.17733100043574
2015,-111.06666666666669,-6.984010962259333,-17.01286068830612,1.6057985109245578,-2.3817298605558506,53.978243011078746
