Year,y,net_0,net_1,net_2,net_3,net_4
2001,66.02666666666664,106.10475602007934,-5.218288149792896,-15.392788820260341,3.986764019986143,3.4198078868965323
2002,98.42666666666666,103.42645248384797,-0.33940817469214946,-6.860916691256807,8.657033914739161,3.420250410744612
2003,-176.57333333333332,163.55624726744358,-22.525040002746234,-15.157520358288997,40.21673387907044,3.4085326650710295
2004,-102.77333333333334,42.89556448309803,-10.608380414336466,-14.046967622994071,23.795167030662224,3.41465002898994
2005,-116.67333333333333,56.522528258556214,-9.297108387423071,35.54472934434674,16.720872978735162,3.4192169014488845
2006,-109.07333333333328,116.62806815698653,-7.7084035601916305,-26.60851859600148,13.994037147072987,3.4167073807404833
2007,132.02666666666664,92.11651415955694,-5.872250656480287,-18.605012792846676,2.4221319763640277,3.4183791509616803
2008,115.0266666666666,187.9085360651279,-13.534119344687628,-38.58011470037576,20.600212203077785,3.4144964063005547
2009,28.426666666666637,205.82785321525623,-14.643668548697269,-34.17354494774496,23.571942126232678,3.4123888043586708
2010,13.426666666666689,236.07766711986005,-21.752751128208818,-18.70053083763445,27.303814490771135,3.411046505736797
2011,-55.57333333333332,117.81057493784246,-12.735399065488423,13.501984083778394,5.191343776927796,3.419864714099387
2012,82.82666666666667,-3.110187375619304,7.9596821091718715,-23.32371008521015,0.20757382608030484,3.423266842828094
2013,32.22666666666666,113.65396265417819,-7.181900639722412,-11.469225135905717,5.678602345874035,3.4196495788724204
2014,-29.07333333333333,125.02651277714514,-5.332606679671027,-36.683056298258734,-9.269251245500476,3.421588345215405
2015,21.326666666666565,115.30539606825886,-8.993365292831378,-5.494178344382808,24.08486420757591,3.4146681206104748
