Year,y,net_0,net_1,net_2,net_3,net_4
2001,33.02666666666667,1.2538234086604518,-4.218520678121244,-3.1529691286381833,-2.7129646156678575,-9.271241650571298
2002,4.926666666666669,0.9688321556818735,-4.531340332198461,-2.6132459264531533,-3.6534204457139694,-9.792159793182883
2003,5.726666666666667,1.0768480027733176,-4.489515894447919,-2.568809958419344,-3.2332575451072003,-9.90690129816457
2004,56.82666666666667,1.8984345042433262,-4.014205407613815,-2.751292045812164,-3.0666826100625855,-10.403511616247584
2005,-9.273333333333333,2.1532199143014736,-4.384889217079333,-3.1529430099086113,-2.9198321647167234,-9.810949130424603
2006,-22.373333333333335,1.2733356835725331,-4.163561058313178,-2.378494972634819,-2.6994891894732262,-9.619565595844591
2007,16.52666666666667,1.7895654343653717,-4.422110025635703,-3.0193349466897885,-2.656349983332646,-10.006641180456256
2008,0.826666666666668,1.0822029706940484,-3.917038080106778,-2.4190626625338822,-2.1402707095639926,-8.721193922180426
2009,-50.97333333333333,-0.025749838381756263,-4.27478833988161,-2.1916109736770295,-2.4515917877755626,-9.009292042182231
2010,-28.57333333333333,2.8616148106870156,-4.138773968473508,-3.6741927149173037,-3.6331525828329774,-8.968765795865266
2011,-13.673333333333332,1.7184895496954908,-4.090966075557446,-2.933525820704034,-2.9522177821755946,-9.002487370495402
2012,35.126666666666665,1.7641539883808903,-4.6539868163055615,-2.638815728937125,-1.7055996085796536,-9.567223826342072
2013,65.82666666666667,2.193977942903608,-4.229369246640559,-3.034469066529134,-2.287561086643933,-9.879754204866941
2014,-54.57333333333333,0.9126766147511987,-3.8308536459098974,-2.4725601695621293,-2.9522818788359757,-9.124341336573963
2015,-39.373333333333335,0.4566495040257763,-4.365547442575647,-2.300429074267143,-2.777009836606453,-9.722438103081352
