Year,rainfall_03,nino12_01,nino12_02,nino12_09,nino12_10,nino12_11,nino12_12,nino3_01,nino3_02,nino3_09,nino3_10,nino3_11,nino3_12,rainfall_01,rainfall_02,rainfall_09,rainfall_10,rainfall_11,rainfall_12,nino4_01,nino4_02,nino4_09,nino4_10,nino4_11,nino4_12,nino34_01,nino34_02,nino34_09,nino34_10,nino34_11,nino34_12,tsa_01,tsa_02,tsa_09,tsa_10,tsa_11,tsa_12
1950,123.84,-1.11,-1.55,-0.96,-0.75,-1.39,-0.94,-1.73,-1.26,-0.72,-0.51,-0.82,-0.82,44.23,-39.58,-54.91,24.33,-47.98,120.14,-0.99,-1.24,-1.11,-1.14,-1.12,-1.07,-1.61,-1.44,-0.96,-0.81,-0.95,-1.17,0.02,0.09,-0.54,-0.57,-0.48,-0.96
1951,-0.26,-0.22,-0.84,0.82,0.88,0.73,0.15,-0.61,-0.51,0.84,0.81,0.96,0.66,-4.67,-118.98,68.99,14.23,-32.78,-13.46,-0.78,-0.9,-0.11,-0.07,0.14,0.1,-1.12,-0.92,0.59,0.45,0.47,0.3,-1.04,-0.76,0.02,-0.0,-0.1,-0.04
1952,18.14,-0.01,0.07,-0.88,-0.19,-0.49,-0.06,0.39,0.17,-0.43,-0.34,-0.68,-0.36,63.83,143.42,-45.11,-36.57,2.92,156.54,0.2,0.05,-0.22,-0.4,-0.15,-0.08,0.24,0.16,-0.16,-0.11,-0.26,-0.03,-0.0,-0.07,-0.07,-0.11,-0.02,-0.18
1953,-33.06,-0.12,0.36,0.42,0.15,0.1,-0.34,0.22,0.45,0.48,0.32,0.17,0.27,-60.17,144.92,-45.31,21.23,0.32,-43.96,0.05,-0.05,0.09,0.15,0.19,0.38,0.43,0.55,0.43,0.48,0.34,0.48,-0.21,-0.31,0.01,-0.0,-0.2,-0.45
1954,3.24,-1.69,-0.8,-1.44,-1.55,-1.22,-1.35,0.06,0.03,-1.33,-1.19,-0.99,-1.18,32.23,-6.18,-15.51,-16.27,79.62,-38.46,0.32,0.23,-0.97,-1.09,-0.7,-0.71,0.47,0.41,-1.17,-0.98,-0.72,-0.9,-0.49,-0.56,-0.28,-0.17,-0.14,-0.27
1955,10.54,-0.62,-1.01,-1.03,-1.42,-1.53,-1.35,-0.61,-0.54,-1.34,-2.09,-2.05,-1.85,-6.67,84.02,3.39,6.53,17.12,64.54,-0.49,-0.65,-0.66,-1.24,-1.61,-1.19,-0.64,-0.78,-1.05,-1.98,-2.14,-1.79,-0.48,-0.66,-0.44,-0.31,-0.22,-0.61
1956,-61.96,-0.87,-0.68,-0.64,-1.1,-0.89,-1.29,-0.75,-0.39,-0.74,-0.85,-1.01,-1.0,-30.87,-58.48,35.69,55.73,18.12,-11.16,-1.13,-1.01,-1.01,-0.76,-0.52,-0.33,-0.83,-0.58,-0.7,-0.79,-0.86,-0.69,-0.56,-0.75,-0.22,-0.47,-0.45,-0.53
1957,-44.46,-1.62,0.02,1.12,0.9,0.86,0.68,-0.64,-0.21,0.78,0.75,1.15,1.37,130.43,-79.28,-55.51,27.73,-76.48,-62.76,-0.16,-0.08,0.32,0.48,0.49,0.56,-0.43,-0.17,0.74,0.72,1.08,1.27,-0.43,-0.17,-0.38,-0.41,-0.28,-0.2
1958,-76.36,0.21,0.59,0.12,0.2,-0.05,-0.21,1.34,1.04,-0.18,-0.12,0.13,-0.2,88.43,-95.08,-39.31,-22.37,-22.28,60.44,0.96,1.12,0.18,0.29,0.26,0.44,1.71,1.55,-0.05,0.12,0.39,0.25,-0.32,-0.32,-0.66,-0.52,-0.41,-0.06
1959,-53.36,-0.58,-0.12,-0.36,-0.05,0.28,-0.12,0.02,0.02,-0.58,-0.33,-0.44,-0.39,-65.37,-51.78,-32.71,-100.87,42.42,-126.16,0.45,0.33,-0.16,-0.17,-0.36,-0.32,0.53,0.52,-0.59,-0.36,-0.44,-0.3,-0.02,-0.01,-0.13,-0.16,-0.24,-0.27
1960,-82.36,-0.01,-0.46,-0.05,-0.38,-0.52,-0.27,-0.16,-0.3,-0.17,-0.64,-0.64,-0.57,-152.67,-115.28,10.79,114.93,69.12,81.04,-0.51,-0.57,-0.33,-0.2,-0.04,-0.01,-0.2,-0.3,-0.21,-0.36,-0.22,-0.33,-0.39,-0.47,-0.08,-0.13,-0.01,-0.04
1961,-73.66,0.18,0.58,-0.9,-0.63,-0.21,-0.34,-0.42,-0.08,-1.15,-1.04,-0.6,-0.48,6.23,56.62,-21.51,11.93,-24.88,133.34,-0.13,-0.13,-0.37,-0.61,-0.39,-0.32,-0.17,-0.19,-0.73,-0.8,-0.51,-0.45,-0.06,-0.18,0.0,-0.05,-0.08,-0.16
1962,-3.36,-0.19,-0.59,-0.51,-0.71,-0.64,-0.85,-0.32,-0.29,-0.69,-0.65,-0.9,-0.97,126.43,123.72,-60.41,14.33,-63.18,-87.76,-0.42,-0.38,-0.44,-0.47,-0.44,-0.52,-0.37,-0.42,-0.68,-0.56,-0.79,-0.78,-0.14,-0.22,-0.11,-0.0,-0.01,-0.23
1963,-71.76,-0.43,-0.4,0.25,0.1,-0.26,-0.35,-0.64,-0.51,0.53,0.58,0.64,0.78,-14.57,-93.48,-27.91,-26.77,68.82,-35.46,-0.48,-0.38,0.52,0.57,0.37,0.24,-0.58,-0.39,0.75,0.79,0.77,0.96,-0.11,-0.05,0.38,0.42,0.67,0.73
1964,114.74,-0.47,-0.95,-0.92,-1.21,-0.67,-1.04,0.44,0.02,-0.96,-0.98,-0.98,-1.32,-120.67,-135.38,-32.51,24.13,60.22,92.44,0.4,0.23,-1.26,-1.18,-1.31,-1.15,0.81,0.51,-1.18,-1.13,-1.23,-1.18,0.59,0.25,-0.71,-0.82,-0.65,-0.8
1965,221.24,-0.52,-0.04,0.47,0.42,0.34,0.35,-0.81,-0.38,1.03,1.21,1.28,1.24,-110.17,-27.98,-59.61,27.53,-93.98,-23.76,-0.59,-0.35,0.46,0.67,0.66,0.59,-0.74,-0.37,1.23,1.47,1.4,1.3,-0.45,-0.14,-0.06,-0.2,-0.32,-0.29
1966,-138.36,0.59,-0.08,-0.75,-0.4,-0.58,-0.35,1.02,0.5,-0.68,-0.51,-0.71,-0.89,-6.37,-97.58,30.19,-81.57,147.72,2.54,0.57,0.63,0.15,0.09,0.14,-0.04,1.14,0.83,-0.24,-0.26,-0.27,-0.44,-0.25,-0.34,-0.1,-0.08,0.19,0.56
