Year,rainfall_05,nino12_01,nino12_02,nino12_03,nino12_04,nino12_11,nino12_12,nino3_01,nino3_02,nino3_03,nino3_04,nino3_11,nino3_12,rainfall_01,rainfall_02,rainfall_03,rainfall_04,rainfall_11,rainfall_12,nino4_01,nino4_02,nino4_03,nino4_04,nino4_11,nino4_12,nino34_01,nino34_02,nino34_03,nino34_04,nino34_11,nino34_12,tsa_01,tsa_02,tsa_03,tsa_04,tsa_11,tsa_12
1950,-4.35,-1.11,-1.55,-1.01,-1.54,-1.39,-0.94,-1.73,-1.26,-0.56,-0.76,-0.82,-0.82,44.23,-39.58,123.84,-25.13,-47.98,120.14,-0.99,-1.24,-1.27,-1.04,-1.12,-1.07,-1.61,-1.44,-1.11,-1.27,-0.95,-1.17,0.02,0.09,0.04,-0.24,-0.48,-0.96
1951,74.05,-0.22,-0.84,-0.74,-0.23,0.73,0.15,-0.61,-0.51,-0.05,0.03,0.96,0.66,-4.67,-118.98,-0.26,104.87,-32.78,-13.46,-0.78,-0.9,-0.33,-0.03,0.14,0.1,-1.12,-0.92,-0.17,-0.02,0.47,0.3,-1.04,-0.76,-0.95,-0.58,-0.1,-0.04
1952,54.55,-0.01,0.07,0.01,-0.51,-0.49,-0.06,0.39,0.17,0.2,0.19,-0.68,-0.36,63.83,143.42,18.14,140.87,2.92,156.54,0.2,0.05,-0.03,0.12,-0.15,-0.08,0.24,0.16,0.17,0.37,-0.26,-0.03,-0.0,-0.07,-0.16,-0.15,-0.02,-0.18
1953,-62.25,-0.12,0.36,0.87,1.54,0.1,-0.34,0.22,0.45,0.43,0.43,0.17,0.27,-60.17,144.92,-33.06,-108.53,0.32,-43.96,0.05,-0.05,-0.08,0.05,0.19,0.38,0.43,0.55,0.45,0.57,0.34,0.48,-0.21,-0.31,-0.07,-0.36,-0.2,-0.45
1954,-167.75,-1.69,-0.8,-1.07,-2.5,-1.22,-1.35,0.06,0.03,-0.27,-1.32,-0.99,-1.18,32.23,-6.18,3.24,-74.23,79.62,-38.46,0.32,0.23,-0.14,-0.27,-0.7,-0.71,0.47,0.41,-0.15,-0.76,-0.72,-0.9,-0.49,-0.56,-0.6,-0.47,-0.14,-0.27
1955,42.95,-0.62,-1.01,-1.14,-1.11,-1.53,-1.35,-0.61,-0.54,-0.7,-0.95,-2.05,-1.85,-6.67,84.02,10.54,-42.43,17.12,64.54,-0.49,-0.65,-0.57,-0.67,-1.61,-1.19,-0.64,-0.78,-0.79,-0.95,-2.14,-1.79,-0.48,-0.66,-0.53,-0.59,-0.22,-0.61
1956,-78.05,-0.87,-0.68,-0.34,-0.94,-0.89,-1.29,-0.75,-0.39,-0.29,-0.52,-1.01,-1.0,-30.87,-58.48,-61.96,-36.03,18.12,-11.16,-1.13,-1.01,-0.81,-0.73,-0.52,-0.33,-0.83,-0.58,-0.57,-0.83,-0.86,-0.69,-0.56,-0.75,-0.65,-0.8,-0.45,-0.53
1957,-156.15,-1.62,0.02,0.93,1.2,0.86,0.68,-0.64,-0.21,0.3,0.44,1.15,1.37,130.43,-79.28,-44.46,14.17,-76.48,-62.76,-0.16,-0.08,-0.06,0.19,0.49,0.56,-0.43,-0.17,0.24,0.49,1.08,1.27,-0.43,-0.17,-0.15,-0.1,-0.28,-0.2
1958,-147.95,0.21,0.59,0.78,0.99,-0.05,-0.21,1.34,1.04,0.59,0.38,0.13,-0.2,88.43,-95.08,-76.36,36.67,-22.28,60.44,0.96,1.12,0.92,0.58,0.26,0.44,1.71,1.55,1.02,0.62,0.39,0.25,-0.32,-0.32,-0.65,-0.7,-0.41,-0.06
1959,-110.65,-0.58,-0.12,0.5,0.23,0.28,-0.12,0.02,0.02,-0.14,0.06,-0.44,-0.39,-65.37,-51.78,-53.36,-122.53,42.42,-126.16,0.45,0.33,0.17,0.26,-0.36,-0.32,0.53,0.52,0.24,0.2,-0.44,-0.3,-0.02,-0.01,0.2,0.13,-0.24,-0.27
