Year,rainfall_05,nino12_01,nino12_02,nino12_03,nino12_04,nino12_11,nino12_12,nino3_01,nino3_02,nino3_03,nino3_04,nino3_11,nino3_12,rainfall_01,rainfall_02,rainfall_03,rainfall_04,rainfall_11,rainfall_12,nino4_01,nino4_02,nino4_03,nino4_04,nino4_11,nino4_12,nino34_01,nino34_02,nino34_03,nino34_04,nino34_11,nino34_12,tsa_01,tsa_02,tsa_03,tsa_04,tsa_11,tsa_12
1960,-103.05,-0.01,-0.46,-0.47,-0.85,-0.52,-0.27,-0.16,-0.3,-0.18,-0.11,-0.64,-0.57,-152.67,-115.28,-82.36,100.27,69.12,81.04,-0.51,-0.57,-0.44,-0.38,-0.04,-0.01,-0.2,-0.3,-0.24,-0.03,-0.22,-0.33,-0.39,-0.47,-0.17,-0.29,-0.01,-0.04
1961,95.85,0.18,0.58,-0.37,-0.38,-0.21,-0.34,-0.42,-0.08,-0.24,0.05,-0.6,-0.48,6.23,56.62,-73.66,42.77,-24.88,133.34,-0.13,-0.13,-0.27,-0.43,-0.39,-0.32,-0.17,-0.19,-0.29,-0.29,-0.51,-0.45,-0.06,-0.18,-0.1,-0.17,-0.08,-0.16
1962,28.85,-0.19,-0.59,-1.6,-1.72,-0.64,-0.85,-0.32,-0.29,-0.52,-0.73,-0.9,-0.97,126.43,123.72,-3.36,-11.23,-63.18,-87.76,-0.42,-0.38,-0.21,-0.25,-0.44,-0.52,-0.37,-0.42,-0.38,-0.43,-0.79,-0.78,-0.14,-0.22,-0.19,-0.08,-0.01,-0.23
1963,11.65,-0.43,-0.4,-0.42,-1.08,-0.26,-0.35,-0.64,-0.51,-0.17,0.12,0.64,0.78,-14.57,-93.48,-71.76,3.07,68.82,-35.46,-0.48,-0.38,-0.14,-0.12,0.37,0.24,-0.58,-0.39,-0.04,0.11,0.77,0.96,-0.11,-0.05,0.19,0.14,0.67,0.73
1964,36.45,-0.47,-0.95,-1.14,-0.95,-0.67,-1.04,0.44,0.02,-0.36,-1.01,-0.98,-1.32,-120.67,-135.38,114.74,-14.93,60.22,92.44,0.4,0.23,-0.18,-0.18,-1.31,-1.15,0.81,0.51,-0.14,-0.6,-1.23,-1.18,0.59,0.25,0.25,-0.01,-0.65,-0.8
1965,37.25,-0.52,-0.04,0.1,1.06,0.34,0.35,-0.81,-0.38,-0.15,0.09,1.28,1.24,-110.17,-27.98,221.24,-26.03,-93.98,-23.76,-0.59,-0.35,-0.28,-0.46,0.66,0.59,-0.74,-0.37,-0.21,-0.16,1.4,1.3,-0.45,-0.14,0.03,0.03,-0.32,-0.29
1966,127.45,0.59,-0.08,-0.86,-0.98,-0.58,-0.35,1.02,0.5,0.12,0.01,-0.71,-0.89,-6.37,-97.58,-138.36,-17.63,147.72,2.54,0.57,0.63,0.89,0.34,0.14,-0.04,1.14,0.83,0.91,0.49,-0.27,-0.44,-0.25,-0.34,-0.47,0.01,0.19,0.56
1967,-27.35,-0.63,-0.29,-0.88,-0.43,-1.51,-1.56,-0.49,-0.23,-0.66,-0.82,-1.06,-1.05,21.93,-26.48,123.74,185.17,-38.88,-96.66,-0.54,-0.65,-0.32,-0.1,-0.19,-0.16,-0.47,-0.48,-0.68,-0.81,-0.51,-0.62,0.24,0.24,-0.11,-0.27,-0.42,-0.17
1968,195.65,-1.22,-0.96,-1.1,-1.2,-0.14,0.23,-1.2,-1.39,-1.24,-0.77,0.22,0.53,2.53,-93.08,321.54,-7.63,95.02,-24.66,-0.25,-0.27,-0.24,-0.24,0.49,0.58,-0.79,-1.0,-0.92,-0.57,0.54,0.6,-0.09,-0.3,-0.34,-0.08,0.47,0.46
1969,90.15,0.17,-0.24,0.72,1.08,0.74,0.72,0.59,0.47,0.44,0.44,0.68,0.77,-21.97,-80.28,75.34,202.37,-58.38,-38.06,0.94,1.04,0.68,0.46,0.55,0.39,0.88,1.05,0.68,0.55,0.55,0.55,0.26,0.47,0.3,0.28,-0.09,-0.23
1970,-47.15,0.56,-0.03,-0.67,-0.38,-0.98,-0.86,0.62,0.24,-0.15,-0.15,-1.27,-1.16,107.03,50.52,71.64,92.97,8.82,-76.36,0.39,0.47,0.28,0.26,-0.73,-1.2,0.47,0.42,0.19,0.24,-1.04,-1.22,-0.4,-0.32,-0.28,-0.35,-0.22,-0.38
1971,84.75,-1.03,-1.17,-0.96,-0.34,-0.61,-0.87,-1.35,-1.4,-1.09,-0.79,-1.06,-1.31,8.13,91.92,41.14,108.67,91.12,-125.46,-1.31,-1.02,-0.94,-0.9,-0.66,-0.45,-1.56,-1.36,-1.15,-0.96,-0.86,-1.08,-0.07,-0.04,-0.14,0.02,-0.7,-0.83
1972,-64.85,-0.15,0.69,0.7,0.77,1.42,1.72,-0.58,-0.39,-0.15,0.18,1.98,2.14,-81.97,106.02,-147.56,30.97,-96.98,-50.66,-0.36,-0.08,0.04,0.3,0.72,0.8,-0.75,-0.37,-0.06,0.24,1.92,1.96,-0.14,-0.12,-0.26,-0.04,0.42,0.85
1973,208.25,1.33,0.41,0.07,-0.3,-0.92,-0.85,1.7,0.9,0.3,-0.45,-1.58,-1.53,-86.97,-0.98,-19.96,-118.53,137.92,1.14,0.84,0.67,0.31,-0.01,-1.54,-1.71,1.68,1.22,0.51,-0.11,-2.14,-2.03,0.73,0.66,0.51,0.69,0.52,0.36
1974,26.15,-0.85,-0.8,-0.44,-0.15,-0.73,-1.1,-1.47,-1.09,-0.79,-0.54,-0.82,-0.78,33.43,-78.78,-63.76,214.27,24.12,65.34,-1.63,-1.21,-0.93,-1.0,-0.87,-0.84,-1.81,-1.48,-1.25,-1.01,-0.88,-0.79,0.28,0.08,0.07,0.29,0.23,0.07
1975,14.65,-0.86,-0.71,-0.14,-0.01,-1.95,-1.65,-0.32,-0.64,-0.72,-0.38,-1.3,-1.62,49.83,83.02,84.84,-78.23,-70.88,-6.16,-0.42,-0.24,-0.44,-0.58,-1.64,-1.59,-0.31,-0.53,-0.81,-0.63,-1.47,-1.73,-0.19,-0.25,-0.23,-0.18,-0.05,-0.38
1976,-141.45,-0.88,-0.45,-0.21,0.36,0.42,0.56,-1.63,-1.0,-0.54,-0.48,0.8,0.66,14.63,269.92,146.14,-99.13,-13.78,-43.46,-1.24,-0.86,-0.63,-0.4,0.32,0.02,-1.74,-1.13,-0.61,-0.59,0.73,0.66,-0.47,-0.46,-0.56,-0.74,-0.47,-0.25
1977,8.65,0.51,-0.11,-0.23,-0.11,-0.3,-0.3,0.9,0.62,0.4,-0.34,0.28,0.37,-82.97,-13.28,20.84,-43.53,-86.08,7.54,0.12,0.06,0.04,0.13,0.46,0.58,0.85,0.52,0.37,-0.01,0.62,0.76,-0.25,-0.06,-0.08,-0.1,-0.1,-0.11
1978,36.85,0.04,-0.12,-0.68,-0.5,0.1,0.17,0.3,0.13,-0.22,-0.63,-0.15,0.07,15.73,-72.18,92.84,-80.83,-125.08,-93.76,0.53,0.32,0.01,-0.31,-0.15,-0.0,0.72,0.43,0.0,-0.44,-0.24,-0.03,-0.25,-0.35,-0.53,-0.72,-0.45,-0.2
1979,51.15,0.56,-0.14,-0.18,0.21,0.19,0.05,-0.18,-0.15,0.18,0.36,0.61,0.55,78.53,-58.68,-25.36,46.27,-20.88,49.04,0.21,0.14,0.09,0.05,0.37,0.33,-0.04,-0.11,0.22,0.28,0.44,0.58,-0.22,-0.3,-0.39,-0.06,0.04,-0.06
1980,-165.65,0.16,-0.04,0.34,0.31,-0.13,-0.27,0.61,0.25,0.03,0.11,0.04,0.16,-97.67,-163.38,-49.76,-19.83,109.02,-71.36,0.45,0.44,0.31,0.32,0.15,0.09,0.63,0.4,0.19,0.21,0.03,0.21,-0.21,-0.4,-0.34,-0.18,-0.27,-0.63
1981,2.85,-1.13,-0.73,-0.06,-0.32,-0.08,0.09,-0.4,-0.61,-0.37,-0.24,-0.18,0.13,-14.37,-79.48,-24.46,-54.73,166.32,-77.56,-0.02,-0.11,-0.09,-0.26,-0.03,0.04,-0.13,-0.42,-0.39,-0.23,-0.21,-0.04,-0.33,-0.53,-0.72,-0.59,0.24,0.06
1982,28.45,0.21,-0.25,-0.59,-0.33,2.92,3.15,0.43,0.19,0.15,0.32,2.51,2.86,58.43,-73.48,124.04,-53.63,-47.98,148.34,0.12,0.07,0.26,0.49,0.68,0.67,0.32,-0.01,0.33,0.48,2.02,2.27,-0.03,-0.26,-0.29,-0.42,-0.3,-0.21
1983,-60.15,2.79,2.28,2.75,3.52,0.8,0.5,2.9,2.31,1.76,1.69,-0.61,-0.45,-247.07,-168.18,106.94,-117.83,-101.28,152.34,0.58,0.54,0.4,0.26,-0.6,-0.54,2.3,1.98,1.53,1.18,-0.92,-0.73,0.27,0.31,-0.22,-0.32,0.04,0.35
1984,40.25,-0.01,-0.44,-0.19,0.19,0.11,-0.08,-0.26,0.14,0.03,-0.17,-0.78,-1.0,-11.67,65.32,-87.86,23.07,-70.38,-71.66,-0.48,-0.4,-0.51,-0.56,-0.58,-0.6,-0.44,0.02,-0.21,-0.35,-1.02,-1.15,0.62,0.59,0.71,0.43,0.29,0.21
1985,114.75,-0.46,-0.75,-0.43,-1.01,-0.42,-0.05,-0.92,-0.56,-0.59,-0.73,-0.52,-0.56,-9.97,42.42,-30.36,-164.93,-33.88,171.64,-0.34,-0.46,-0.6,-0.65,-0.03,0.06,-0.85,-0.47,-0.54,-0.8,-0.17,-0.23,0.26,0.46,0.06,0.08,0.22,0.25
1986,-28.05,0.2,0.13,-0.35,-0.51,0.49,0.74,-0.65,-0.3,-0.1,-0.08,0.8,0.91,-12.57,19.22,-6.86,-30.73,151.02,27.14,0.02,-0.04,0.01,-0.12,0.65,0.55,-0.4,-0.45,-0.17,-0.02,1.0,1.09,0.14,0.41,0.3,0.21,-0.19,-0.02
1987,-63.85,1.25,1.13,1.7,1.49,1.25,0.78,1.13,1.22,1.24,1.1,1.17,1.16,11.83,13.42,-33.66,-19.03,-42.48,-24.56,0.49,0.65,0.67,0.52,1.05,0.95,1.22,1.27,1.28,1.01,1.2,1.03,-0.04,0.02,0.08,-0.03,0.61,0.35
1988,66.05,0.44,-0.05,-0.39,-0.34,-0.64,-0.54,0.94,0.28,0.15,-0.21,-1.37,-1.33,-9.97,270.32,-45.66,-55.53,56.12,192.34,0.83,0.61,0.33,-0.02,-1.39,-1.36,0.98,0.41,0.21,-0.12,-1.82,-1.72,0.57,0.6,0.69,0.52,0.12,0.15
1989,323.45,-0.12,0.1,0.06,-0.03,0.04,-0.12,-1.14,-0.74,-0.78,-0.6,-0.36,-0.23,12.33,141.32,-59.06,60.57,155.62,0.34,-1.36,-1.17,-0.83,-0.63,-0.24,0.13,-1.71,-1.27,-0.99,-0.86,-0.34,0.01,0.35,0.17,0.27,0.22,-0.08,-0.29
1990,12.95,-0.14,0.32,0.02,-0.3,-0.26,-0.03,-0.08,0.2,-0.11,0.13,-0.01,0.1,-45.37,-85.68,-12.06,-73.83,-53.88,-52.46,0.38,0.53,0.5,0.33,0.62,0.7,0.16,0.3,0.18,0.24,0.23,0.44,-0.4,0.07,0.24,0.28,0.15,0.18
1991,90.55,-0.1,0.09,0.19,0.03,0.84,0.96,0.27,0.12,0.02,0.25,1.05,1.28,-1.17,-51.88,-2.06,32.67,-132.88,-81.86,0.74,0.67,0.54,0.58,0.89,0.91,0.6,0.48,0.25,0.48,1.32,1.69,0.06,-0.0,0.06,0.24,-0.36,-0.12
1992,-112.85,0.74,0.99,1.36,1.96,0.2,0.19,1.41,1.25,1.07,1.27,-0.11,-0.02,-43.17,-12.98,36.54,-91.63,-99.58,45.84,0.8,0.95,0.77,0.68,0.26,0.39,1.88,1.82,1.46,1.39,0.02,0.15,-0.33,-0.32,-0.48,-0.64,-0.81,-0.4
1993,-134.85,0.27,0.54,0.63,1.18,0.52,0.38,0.13,0.55,0.55,1.03,0.2,0.26,156.83,341.72,-81.96,60.07,85.52,31.54,0.58,0.35,0.31,0.33,0.38,0.4,0.35,0.54,0.59,0.97,0.23,0.33,-0.31,-0.19,-0.17,0.13,0.73,0.46
1994,-57.45,0.23,0.05,-0.42,-0.6,0.74,1.01,0.39,0.14,-0.11,-0.02,0.95,0.98,91.43,123.82,-51.76,-51.53,36.52,2.74,0.38,0.17,0.34,0.38,1.01,1.09,0.34,0.3,0.3,0.52,1.21,1.34,0.26,0.06,0.16,0.11,0.06,0.16
1995,-14.15,0.98,0.34,-0.05,-0.65,0.05,-0.48,0.95,0.6,0.14,-0.07,-0.8,-0.76,6.33,-143.68,-9.86,170.27,141.22,-59.26,0.96,0.95,0.89,0.67,-0.22,-0.25,1.16,0.88,0.61,0.52,-0.87,-0.78,0.34,0.55,0.66,0.54,0.1,-0.04
1996,-104.15,-0.39,-0.11,0.07,-1.09,-0.82,-0.86,-0.54,-0.47,-0.23,-0.4,-0.38,-0.75,291.63,-18.08,26.84,118.27,-7.78,-77.56,-0.2,-0.26,-0.14,-0.2,0.05,0.12,-0.65,-0.63,-0.43,-0.13,-0.24,-0.45,0.12,0.37,0.39,0.58,0.1,-0.1
1997,20.55,-0.47,0.28,0.82,1.08,4.18,4.26,-0.6,-0.49,-0.18,0.13,3.26,3.26,-59.07,68.82,223.64,0.57,11.52,41.74,0.24,0.38,0.46,0.85,0.9,0.81,-0.36,-0.21,-0.16,0.36,2.45,2.36,-0.28,-0.4,-0.55,-0.57,0.77,0.99
1998,41.75,3.6,2.95,2.87,2.81,0.06,0.25,3.1,2.5,2.06,1.84,-0.44,-0.73,22.93,-103.98,-100.46,96.97,-17.18,-28.76,0.81,0.79,0.47,0.13,-1.03,-1.18,2.41,2.07,1.49,1.07,-1.09,-1.4,0.66,0.68,0.61,0.47,0.3,0.07
1999,213.75,-0.23,-0.17,-0.07,-0.76,-1.07,-0.47,-0.83,-0.51,-0.21,-0.45,-1.23,-1.28,131.93,-14.88,-78.06,110.97,32.72,-21.46,-1.29,-1.21,-0.88,-0.7,-0.82,-0.99,-1.39,-1.06,-0.68,-0.68,-1.32,-1.48,0.07,-0.01,0.25,0.38,0.31,0.32
2000,-59.05,-0.61,-0.41,-0.42,-0.0,-0.74,-0.58,-1.34,-0.81,-0.28,0.01,-0.46,-0.4,70.53,68.72,29.44,225.17,-1.08,-27.46,-0.94,-1.09,-1.1,-0.94,-0.45,-0.62,-1.52,-1.28,-0.84,-0.64,-0.64,-0.72,0.15,0.33,0.32,0.3,0.05,-0.05
2001,-0.05,-0.26,-0.16,0.48,0.58,-0.51,-0.64,-0.17,-0.01,0.23,0.14,-0.52,-0.48,68.73,-56.18,-94.46,-122.03,-115.78,-6.76,-0.63,-0.55,-0.36,-0.21,0.38,0.29,-0.54,-0.39,-0.23,-0.19,-0.16,-0.32,0.1,0.11,0.21,0.31,0.14,-0.03
2002,31.25,-0.22,0.47,0.9,0.67,1.05,0.83,-0.32,-0.13,0.26,0.27,1.32,1.27,101.13,-35.78,-115.96,66.47,-89.58,91.44,0.58,0.63,0.52,0.68,1.12,1.05,0.03,0.15,0.21,0.32,1.48,1.41,0.08,-0.12,0.21,0.24,-0.09,0.31
2003,-12.05,0.21,0.13,0.36,-0.28,0.31,0.32,0.86,0.63,0.41,-0.14,0.8,0.86,-173.87,65.22,-102.06,79.87,-51.18,-129.86,0.8,0.82,0.78,0.6,0.7,0.68,0.92,0.85,0.6,0.18,0.54,0.5,0.5,0.51,0.55,0.35,0.53,0.52
2004,191.25,0.34,0.51,-0.37,0.04,0.85,0.7,0.63,0.52,0.36,0.29,0.75,0.83,-100.07,-125.08,112.94,-83.03,-157.48,-79.76,0.68,0.59,0.39,0.3,1.02,1.09,0.43,0.36,0.26,0.35,0.83,0.86,0.35,0.16,-0.09,-0.33,0.22,0.39
2005,-6.15,0.45,-0.39,-0.53,0.01,-0.77,-0.43,0.61,0.25,0.35,0.46,-0.73,-0.86,-113.97,55.82,22.74,94.57,40.82,72.04,1.11,0.88,0.82,0.61,0.15,-0.06,0.87,0.63,0.7,0.59,-0.32,-0.59,0.55,0.43,0.53,0.22,-0.09,-0.06
2006,150.45,0.13,0.52,0.18,-0.74,0.89,0.93,-0.54,0.06,-0.03,0.04,1.3,1.32,-106.37,70.72,-45.96,-58.13,123.22,97.64,-0.23,-0.42,-0.29,-0.04,1.05,1.04,-0.61,-0.38,-0.36,0.02,1.13,1.21,-0.02,0.17,0.33,0.24,0.06,0.28
2007,-66.35,0.93,0.5,0.07,-0.52,-1.39,-1.13,1.08,0.34,-0.02,-0.17,-1.04,-1.07,134.73,-137.98,24.74,32.87,55.42,106.14,0.87,0.7,0.63,0.42,-0.54,-0.61,0.92,0.39,0.18,0.05,-1.08,-1.11,0.18,0.15,-0.04,0.17,0.08,0.16
2008,31.11,-0.1,0.57,0.62,0.27,0.08,0.14,-1.02,-0.81,-0.4,-0.12,0.11,-0.26,88.95,-37.79,187.83,42.46,67.06,224.0,-0.89,-1.13,-0.88,-0.7,-0.38,-0.46,-1.31,-1.29,-0.92,-0.66,-0.24,-0.62,0.13,0.3,0.52,0.57,0.29,0.37
2009,-118.99,0.3,-0.04,-0.15,0.65,0.34,0.39,-0.25,-0.15,-0.19,0.2,1.12,1.18,2.35,121.31,-132.67,-80.84,-81.44,28.3,-0.53,-0.44,-0.2,0.1,1.33,1.3,-0.72,-0.52,-0.23,0.13,1.45,1.55,0.39,0.29,0.46,0.45,0.28,0.66
2010,-67.89,0.34,0.47,0.45,0.62,-1.05,-0.52,1.07,1.0,0.78,0.63,-0.99,-0.88,-12.65,15.91,-158.77,0.46,-73.14,56.0,1.22,1.0,0.96,0.83,-1.0,-0.95,1.45,1.3,1.05,0.7,-1.2,-1.23,0.73,0.62,0.81,0.61,0.38,0.37
2011,-10.59,0.25,0.41,-0.32,0.03,-0.53,-0.72,-0.91,-0.46,-0.38,0.02,-0.71,-0.57,-81.65,156.71,-41.87,212.96,59.06,-39.6,-0.85,-0.53,-0.24,-0.2,-0.58,-0.64,-1.28,-0.88,-0.6,-0.36,-0.8,-0.73,0.39,0.53,0.64,0.42,-0.07,-0.52
2012,-65.19,-0.28,0.44,0.41,0.79,-0.27,-0.36,-0.19,0.09,0.2,0.28,0.25,-0.28,56.75,-47.89,-87.77,-107.34,70.76,32.1,-0.57,-0.41,-0.33,-0.22,0.58,0.31,-0.59,-0.42,-0.27,-0.25,0.44,-0.15,-0.38,-0.57,-0.16,-0.4,0.01,0.14
2013,5.41,0.06,0.06,-0.18,-0.79,0.0,0.07,-0.46,-0.29,-0.01,0.03,0.03,0.08,6.15,5.51,62.23,117.66,98.46,-132.8,0.28,0.04,-0.22,-0.05,0.14,0.11,-0.37,-0.31,-0.23,0.05,-0.03,-0.08,0.33,0.19,0.18,0.28,-0.09,0.07
2014,178.31,0.3,-0.14,0.01,0.14,0.81,0.6,-0.14,-0.34,0.0,0.25,1.0,0.89,-55.15,-91.19,162.53,-47.94,-17.74,-60.3,-0.02,0.16,0.26,0.45,0.83,0.91,-0.4,-0.54,-0.3,0.06,0.86,0.8,0.05,0.16,0.14,0.16,-0.34,-0.16
2015,47.81,0.27,-0.04,0.44,0.87,2.29,2.1,0.68,0.35,0.42,0.83,2.69,2.65,-4.75,-122.59,8.53,-137.44,-123.04,-107.7,0.93,0.92,0.98,1.15,1.45,1.45,0.69,0.53,0.58,0.93,2.48,2.44,0.37,0.36,0.15,0.29,0.35,0.66
