Year,rainfall_06,nino12_01,nino12_02,nino12_03,nino12_04,nino12_05,nino12_12,nino3_01,nino3_02,nino3_03,nino3_04,nino3_05,nino3_12,rainfall_01,rainfall_02,rainfall_03,rainfall_04,rainfall_05,rainfall_12,nino4_01,nino4_02,nino4_03,nino4_04,nino4_05,nino4_12,nino34_01,nino34_02,nino34_03,nino34_04,nino34_05,nino34_12,tsa_01,tsa_02,tsa_03,tsa_04,tsa_05,tsa_12
1950,54.34,-1.11,-1.55,-1.01,-1.54,-1.35,-0.94,-1.73,-1.26,-0.56,-0.76,-1.19,-0.82,44.23,-39.58,123.84,-25.13,-4.35,120.14,-0.99,-1.24,-1.27,-1.04,-0.8,-1.07,-1.61,-1.44,-1.11,-1.27,-1.54,-1.17,0.02,0.09,0.04,-0.24,-0.41,-0.96
1951,142.94,-0.22,-0.84,-0.74,-0.23,0.29,0.15,-0.61,-0.51,-0.05,0.03,0.09,0.66,-4.67,-118.98,-0.26,104.87,74.05,-13.46,-0.78,-0.9,-0.33,-0.03,0.34,0.1,-1.12,-0.92,-0.17,-0.02,0.2,0.3,-1.04,-0.76,-0.95,-0.58,-0.44,-0.04
1952,-12.66,-0.01,0.07,0.01,-0.51,-0.27,-0.06,0.39,0.17,0.2,0.19,0.09,-0.36,63.83,143.42,18.14,140.87,54.55,156.54,0.2,0.05,-0.03,0.12,0.01,-0.08,0.24,0.16,0.17,0.37,0.37,-0.03,-0.0,-0.07,-0.16,-0.15,-0.26,-0.18
1953,-84.46,-0.12,0.36,0.87,1.54,1.11,-0.34,0.22,0.45,0.43,0.43,0.4,0.27,-60.17,144.92,-33.06,-108.53,-62.25,-43.96,0.05,-0.05,-0.08,0.05,0.16,0.38,0.43,0.55,0.45,0.57,0.55,0.48,-0.21,-0.31,-0.07,-0.36,-0.21,-0.45
1954,-6.76,-1.69,-0.8,-1.07,-2.5,-2.28,-1.35,0.06,0.03,-0.27,-1.32,-1.2,-1.18,32.23,-6.18,3.24,-74.23,-167.75,-38.46,0.32,0.23,-0.14,-0.27,-0.32,-0.71,0.47,0.41,-0.15,-0.76,-0.67,-0.9,-0.49,-0.56,-0.6,-0.47,-0.68,-0.27
1955,-36.56,-0.62,-1.01,-1.14,-1.11,-1.78,-1.35,-0.61,-0.54,-0.7,-0.95,-1.32,-1.85,-6.67,84.02,10.54,-42.43,42.95,64.54,-0.49,-0.65,-0.57,-0.67,-0.53,-1.19,-0.64,-0.78,-0.79,-0.95,-0.82,-1.79,-0.48,-0.66,-0.53,-0.59,-0.41,-0.61
1956,13.14,-0.87,-0.68,-0.34,-0.94,-1.02,-1.29,-0.75,-0.39,-0.29,-0.52,-0.27,-1.0,-30.87,-58.48,-61.96,-36.03,-78.05,-11.16,-1.13,-1.01,-0.81,-0.73,-0.74,-0.33,-0.83,-0.58,-0.57,-0.83,-0.44,-0.69,-0.56,-0.75,-0.65,-0.8,-0.52,-0.53
1957,-23.96,-1.62,0.02,0.93,1.2,2.1,0.68,-0.64,-0.21,0.3,0.44,0.72,1.37,130.43,-79.28,-44.46,14.17,-156.15,-62.76,-0.16,-0.08,-0.06,0.19,0.3,0.56,-0.43,-0.17,0.24,0.49,0.63,1.27,-0.43,-0.17,-0.15,-0.1,-0.33,-0.2
1958,-35.76,0.21,0.59,0.78,0.99,0.59,-0.21,1.34,1.04,0.59,0.38,0.29,-0.2,88.43,-95.08,-76.36,36.67,-147.95,60.44,0.96,1.12,0.92,0.58,0.41,0.44,1.71,1.55,1.02,0.62,0.54,0.25,-0.32,-0.32,-0.65,-0.7,-1.14,-0.06
1959,2.44,-0.58,-0.12,0.5,0.23,-0.05,-0.12,0.02,0.02,-0.14,0.06,-0.2,-0.39,-65.37,-51.78,-53.36,-122.53,-110.65,-126.16,0.45,0.33,0.17,0.26,0.04,-0.32,0.53,0.52,0.24,0.2,-0.05,-0.3,-0.02,-0.01,0.2,0.13,-0.24,-0.27
1960,70.04,-0.01,-0.46,-0.47,-0.85,-0.74,-0.27,-0.16,-0.3,-0.18,-0.11,-0.27,-0.57,-152.67,-115.28,-82.36,100.27,-103.05,81.04,-0.51,-0.57,-0.44,-0.38,-0.24,-0.01,-0.2,-0.3,-0.24,-0.03,-0.13,-0.33,-0.39,-0.47,-0.17,-0.29,-0.06,-0.04
1961,-7.96,0.18,0.58,-0.37,-0.38,-0.58,-0.34,-0.42,-0.08,-0.24,0.05,0.02,-0.48,6.23,56.62,-73.66,42.77,95.85,133.34,-0.13,-0.13,-0.27,-0.43,-0.36,-0.32,-0.17,-0.19,-0.29,-0.29,-0.07,-0.45,-0.06,-0.18,-0.1,-0.17,-0.04,-0.16
