Year,rainfall_02,nino12_01,nino12_08,nino12_09,nino12_10,nino12_11,nino12_12,nino3_01,nino3_08,nino3_09,nino3_10,nino3_11,nino3_12,rainfall_01,rainfall_08,rainfall_09,rainfall_10,rainfall_11,rainfall_12,nino4_01,nino4_08,nino4_09,nino4_10,nino4_11,nino4_12,nino34_01,nino34_08,nino34_09,nino34_10,nino34_11,nino34_12,tsa_01,tsa_08,tsa_09,tsa_10,tsa_11,tsa_12
1950,-39.58,-1.11,-0.62,-0.96,-0.75,-1.39,-0.94,-1.73,-0.54,-0.72,-0.51,-0.82,-0.82,44.23,-44.33,-54.91,24.33,-47.98,120.14,-0.99,-1.0,-1.11,-1.14,-1.12,-1.07,-1.61,-0.89,-0.96,-0.81,-0.95,-1.17,0.02,-0.38,-0.54,-0.57,-0.48,-0.96
1951,-118.98,-0.22,1.34,0.82,0.88,0.73,0.15,-0.61,0.8,0.84,0.81,0.96,0.66,-4.67,-28.73,68.99,14.23,-32.78,-13.46,-0.78,-0.3,-0.11,-0.07,0.14,0.1,-1.12,0.28,0.59,0.45,0.47,0.3,-1.04,0.01,0.02,-0.0,-0.1,-0.04
1952,143.42,-0.01,-0.61,-0.88,-0.19,-0.49,-0.06,0.39,-0.43,-0.43,-0.34,-0.68,-0.36,63.83,33.07,-45.11,-36.57,2.92,156.54,0.2,-0.57,-0.22,-0.4,-0.15,-0.08,0.24,-0.31,-0.16,-0.11,-0.26,-0.03,-0.0,-0.05,-0.07,-0.11,-0.02,-0.18
1953,144.92,-0.12,0.48,0.42,0.15,0.1,-0.34,0.22,0.2,0.48,0.32,0.17,0.27,-60.17,-50.23,-45.31,21.23,0.32,-43.96,0.05,0.35,0.09,0.15,0.19,0.38,0.43,0.34,0.43,0.48,0.34,0.48,-0.21,-0.1,0.01,-0.0,-0.2,-0.45
1954,-6.18,-1.69,-1.54,-1.44,-1.55,-1.22,-1.35,0.06,-1.2,-1.33,-1.19,-0.99,-1.18,32.23,-23.73,-15.51,-16.27,79.62,-38.46,0.32,-0.84,-0.97,-1.09,-0.7,-0.71,0.47,-1.05,-1.17,-0.98,-0.72,-0.9,-0.49,-0.43,-0.28,-0.17,-0.14,-0.27
1955,84.02,-0.62,-1.1,-1.03,-1.42,-1.53,-1.35,-0.61,-1.07,-1.34,-2.09,-2.05,-1.85,-6.67,-51.03,3.39,6.53,17.12,64.54,-0.49,-0.8,-0.66,-1.24,-1.61,-1.19,-0.64,-0.91,-1.05,-1.98,-2.14,-1.79,-0.48,-0.5,-0.44,-0.31,-0.22,-0.61
1956,-58.48,-0.87,-0.13,-0.64,-1.1,-0.89,-1.29,-0.75,-0.7,-0.74,-0.85,-1.01,-1.0,-30.87,-2.13,35.69,55.73,18.12,-11.16,-1.13,-1.0,-1.01,-0.76,-0.52,-0.33,-0.83,-0.86,-0.7,-0.79,-0.86,-0.69,-0.56,-0.23,-0.22,-0.47,-0.45,-0.53
1957,-79.28,-1.62,1.24,1.12,0.9,0.86,0.68,-0.64,1.12,0.78,0.75,1.15,1.37,130.43,-18.03,-55.51,27.73,-76.48,-62.76,-0.16,0.2,0.32,0.48,0.49,0.56,-0.43,0.92,0.74,0.72,1.08,1.27,-0.43,-0.25,-0.38,-0.41,-0.28,-0.2
1958,-95.08,0.21,-0.26,0.12,0.2,-0.05,-0.21,1.34,0.03,-0.18,-0.12,0.13,-0.2,88.43,8.07,-39.31,-22.37,-22.28,60.44,0.96,0.23,0.18,0.29,0.26,0.44,1.71,0.06,-0.05,0.12,0.39,0.25,-0.32,-0.68,-0.66,-0.52,-0.41,-0.06
1959,-51.78,-0.58,-0.78,-0.36,-0.05,0.28,-0.12,0.02,-0.64,-0.58,-0.33,-0.44,-0.39,-65.37,4.27,-32.71,-100.87,42.42,-126.16,0.45,-0.14,-0.16,-0.17,-0.36,-0.32,0.53,-0.52,-0.59,-0.36,-0.44,-0.3,-0.02,-0.24,-0.13,-0.16,-0.24,-0.27
1960,-115.28,-0.01,-0.67,-0.05,-0.38,-0.52,-0.27,-0.16,-0.08,-0.17,-0.64,-0.64,-0.57,-152.67,6.07,10.79,114.93,69.12,81.04,-0.51,-0.39,-0.33,-0.2,-0.04,-0.01,-0.2,-0.01,-0.21,-0.36,-0.22,-0.33,-0.39,-0.06,-0.08,-0.13,-0.01,-0.04
1961,56.62,0.18,-0.89,-0.9,-0.63,-0.21,-0.34,-0.42,-0.79,-1.15,-1.04,-0.6,-0.48,6.23,-46.23,-21.51,11.93,-24.88,133.34,-0.13,-0.4,-0.37,-0.61,-0.39,-0.32,-0.17,-0.5,-0.73,-0.8,-0.51,-0.45,-0.06,-0.23,0.0,-0.05,-0.08,-0.16
1962,123.72,-0.19,-0.67,-0.51,-0.71,-0.64,-0.85,-0.32,-0.33,-0.69,-0.65,-0.9,-0.97,126.43,-19.13,-60.41,14.33,-63.18,-87.76,-0.42,-0.44,-0.44,-0.47,-0.44,-0.52,-0.37,-0.39,-0.68,-0.56,-0.79,-0.78,-0.14,-0.07,-0.11,-0.0,-0.01,-0.23
1963,-93.48,-0.43,0.27,0.25,0.1,-0.26,-0.35,-0.64,0.64,0.53,0.58,0.64,0.78,-14.57,-47.73,-27.91,-26.77,68.82,-35.46,-0.48,0.29,0.52,0.57,0.37,0.24,-0.58,0.69,0.75,0.79,0.77,0.96,-0.11,0.41,0.38,0.42,0.67,0.73
