Year,rainfall_04,nino12_01,nino12_02,nino12_03,nino12_10,nino12_11,nino12_12,nino3_01,nino3_02,nino3_03,nino3_10,nino3_11,nino3_12,rainfall_01,rainfall_02,rainfall_03,rainfall_10,rainfall_11,rainfall_12,nino4_01,nino4_02,nino4_03,nino4_10,nino4_11,nino4_12,nino34_01,nino34_02,nino34_03,nino34_10,nino34_11,nino34_12,tsa_01,tsa_02,tsa_03,tsa_10,tsa_11,tsa_12
1950,-25.13,-1.11,-1.55,-1.01,-0.75,-1.39,-0.94,-1.73,-1.26,-0.56,-0.51,-0.82,-0.82,44.23,-39.58,123.84,24.33,-47.98,120.14,-0.99,-1.24,-1.27,-1.14,-1.12,-1.07,-1.61,-1.44,-1.11,-0.81,-0.95,-1.17,0.02,0.09,0.04,-0.57,-0.48,-0.96
1951,104.87,-0.22,-0.84,-0.74,0.88,0.73,0.15,-0.61,-0.51,-0.05,0.81,0.96,0.66,-4.67,-118.98,-0.26,14.23,-32.78,-13.46,-0.78,-0.9,-0.33,-0.07,0.14,0.1,-1.12,-0.92,-0.17,0.45,0.47,0.3,-1.04,-0.76,-0.95,-0.0,-0.1,-0.04
1952,140.87,-0.01,0.07,0.01,-0.19,-0.49,-0.06,0.39,0.17,0.2,-0.34,-0.68,-0.36,63.83,143.42,18.14,-36.57,2.92,156.54,0.2,0.05,-0.03,-0.4,-0.15,-0.08,0.24,0.16,0.17,-0.11,-0.26,-0.03,-0.0,-0.07,-0.16,-0.11,-0.02,-0.18
1953,-108.53,-0.12,0.36,0.87,0.15,0.1,-0.34,0.22,0.45,0.43,0.32,0.17,0.27,-60.17,144.92,-33.06,21.23,0.32,-43.96,0.05,-0.05,-0.08,0.15,0.19,0.38,0.43,0.55,0.45,0.48,0.34,0.48,-0.21,-0.31,-0.07,-0.0,-0.2,-0.45
1954,-74.23,-1.69,-0.8,-1.07,-1.55,-1.22,-1.35,0.06,0.03,-0.27,-1.19,-0.99,-1.18,32.23,-6.18,3.24,-16.27,79.62,-38.46,0.32,0.23,-0.14,-1.09,-0.7,-0.71,0.47,0.41,-0.15,-0.98,-0.72,-0.9,-0.49,-0.56,-0.6,-0.17,-0.14,-0.27
1955,-42.43,-0.62,-1.01,-1.14,-1.42,-1.53,-1.35,-0.61,-0.54,-0.7,-2.09,-2.05,-1.85,-6.67,84.02,10.54,6.53,17.12,64.54,-0.49,-0.65,-0.57,-1.24,-1.61,-1.19,-0.64,-0.78,-0.79,-1.98,-2.14,-1.79,-0.48,-0.66,-0.53,-0.31,-0.22,-0.61
1956,-36.03,-0.87,-0.68,-0.34,-1.1,-0.89,-1.29,-0.75,-0.39,-0.29,-0.85,-1.01,-1.0,-30.87,-58.48,-61.96,55.73,18.12,-11.16,-1.13,-1.01,-0.81,-0.76,-0.52,-0.33,-0.83,-0.58,-0.57,-0.79,-0.86,-0.69,-0.56,-0.75,-0.65,-0.47,-0.45,-0.53
1957,14.17,-1.62,0.02,0.93,0.9,0.86,0.68,-0.64,-0.21,0.3,0.75,1.15,1.37,130.43,-79.28,-44.46,27.73,-76.48,-62.76,-0.16,-0.08,-0.06,0.48,0.49,0.56,-0.43,-0.17,0.24,0.72,1.08,1.27,-0.43,-0.17,-0.15,-0.41,-0.28,-0.2
1958,36.67,0.21,0.59,0.78,0.2,-0.05,-0.21,1.34,1.04,0.59,-0.12,0.13,-0.2,88.43,-95.08,-76.36,-22.37,-22.28,60.44,0.96,1.12,0.92,0.29,0.26,0.44,1.71,1.55,1.02,0.12,0.39,0.25,-0.32,-0.32,-0.65,-0.52,-0.41,-0.06
1959,-122.53,-0.58,-0.12,0.5,-0.05,0.28,-0.12,0.02,0.02,-0.14,-0.33,-0.44,-0.39,-65.37,-51.78,-53.36,-100.87,42.42,-126.16,0.45,0.33,0.17,-0.17,-0.36,-0.32,0.53,0.52,0.24,-0.36,-0.44,-0.3,-0.02,-0.01,0.2,-0.16,-0.24,-0.27
1960,100.27,-0.01,-0.46,-0.47,-0.38,-0.52,-0.27,-0.16,-0.3,-0.18,-0.64,-0.64,-0.57,-152.67,-115.28,-82.36,114.93,69.12,81.04,-0.51,-0.57,-0.44,-0.2,-0.04,-0.01,-0.2,-0.3,-0.24,-0.36,-0.22,-0.33,-0.39,-0.47,-0.17,-0.13,-0.01,-0.04
1961,42.77,0.18,0.58,-0.37,-0.63,-0.21,-0.34,-0.42,-0.08,-0.24,-1.04,-0.6,-0.48,6.23,56.62,-73.66,11.93,-24.88,133.34,-0.13,-0.13,-0.27,-0.61,-0.39,-0.32,-0.17,-0.19,-0.29,-0.8,-0.51,-0.45,-0.06,-0.18,-0.1,-0.05,-0.08,-0.16
1962,-11.23,-0.19,-0.59,-1.6,-0.71,-0.64,-0.85,-0.32,-0.29,-0.52,-0.65,-0.9,-0.97,126.43,123.72,-3.36,14.33,-63.18,-87.76,-0.42,-0.38,-0.21,-0.47,-0.44,-0.52,-0.37,-0.42,-0.38,-0.56,-0.79,-0.78,-0.14,-0.22,-0.19,-0.0,-0.01,-0.23
1963,3.07,-0.43,-0.4,-0.42,0.1,-0.26,-0.35,-0.64,-0.51,-0.17,0.58,0.64,0.78,-14.57,-93.48,-71.76,-26.77,68.82,-35.46,-0.48,-0.38,-0.14,0.57,0.37,0.24,-0.58,-0.39,-0.04,0.79,0.77,0.96,-0.11,-0.05,0.19,0.42,0.67,0.73
1964,-14.93,-0.47,-0.95,-1.14,-1.21,-0.67,-1.04,0.44,0.02,-0.36,-0.98,-0.98,-1.32,-120.67,-135.38,114.74,24.13,60.22,92.44,0.4,0.23,-0.18,-1.18,-1.31,-1.15,0.81,0.51,-0.14,-1.13,-1.23,-1.18,0.59,0.25,0.25,-0.82,-0.65,-0.8
1965,-26.03,-0.52,-0.04,0.1,0.42,0.34,0.35,-0.81,-0.38,-0.15,1.21,1.28,1.24,-110.17,-27.98,221.24,27.53,-93.98,-23.76,-0.59,-0.35,-0.28,0.67,0.66,0.59,-0.74,-0.37,-0.21,1.47,1.4,1.3,-0.45,-0.14,0.03,-0.2,-0.32,-0.29
1966,-17.63,0.59,-0.08,-0.86,-0.4,-0.58,-0.35,1.02,0.5,0.12,-0.51,-0.71,-0.89,-6.37,-97.58,-138.36,-81.57,147.72,2.54,0.57,0.63,0.89,0.09,0.14,-0.04,1.14,0.83,0.91,-0.26,-0.27,-0.44,-0.25,-0.34,-0.47,-0.08,0.19,0.56
1967,185.17,-0.63,-0.29,-0.88,-1.43,-1.51,-1.56,-0.49,-0.23,-0.66,-1.11,-1.06,-1.05,21.93,-26.48,123.74,-99.87,-38.88,-96.66,-0.54,-0.65,-0.32,-0.21,-0.19,-0.16,-0.47,-0.48,-0.68,-0.59,-0.51,-0.62,0.24,0.24,-0.11,-0.64,-0.42,-0.17
1968,-7.63,-1.22,-0.96,-1.1,-0.09,-0.14,0.23,-1.2,-1.39,-1.24,0.13,0.22,0.53,2.53,-93.08,321.54,-73.57,95.02,-24.66,-0.25,-0.27,-0.24,0.14,0.49,0.58,-0.79,-1.0,-0.92,0.06,0.54,0.6,-0.09,-0.3,-0.34,0.41,0.47,0.46
1969,202.37,0.17,-0.24,0.72,0.79,0.74,0.72,0.59,0.47,0.44,0.69,0.68,0.77,-21.97,-80.28,75.34,-29.27,-58.38,-38.06,0.94,1.04,0.68,0.61,0.55,0.39,0.88,1.05,0.68,0.73,0.55,0.55,0.26,0.47,0.3,-0.09,-0.09,-0.23
1970,92.97,0.56,-0.03,-0.67,-0.87,-0.98,-0.86,0.62,0.24,-0.15,-1.2,-1.27,-1.16,107.03,50.52,71.64,-12.27,8.82,-76.36,0.39,0.47,0.28,-0.73,-0.73,-1.2,0.47,0.42,0.19,-1.06,-1.04,-1.22,-0.4,-0.32,-0.28,-0.42,-0.22,-0.38
1971,108.67,-1.03,-1.17,-0.96,-1.08,-0.61,-0.87,-1.35,-1.4,-1.09,-1.15,-1.06,-1.31,8.13,91.92,41.14,71.23,91.12,-125.46,-1.31,-1.02,-0.94,-0.9,-0.66,-0.45,-1.56,-1.36,-1.15,-1.0,-0.86,-1.08,-0.07,-0.04,-0.14,-0.41,-0.7,-0.83
1972,30.97,-0.15,0.69,0.7,1.51,1.42,1.72,-0.58,-0.39,-0.15,1.81,1.98,2.14,-81.97,106.02,-147.56,-16.87,-96.98,-50.66,-0.36,-0.08,0.04,0.58,0.72,0.8,-0.75,-0.37,-0.06,1.68,1.92,1.96,-0.14,-0.12,-0.26,0.26,0.42,0.85
1973,-118.53,1.33,0.41,0.07,-1.06,-0.92,-0.85,1.7,0.9,0.3,-1.52,-1.58,-1.53,-86.97,-0.98,-19.96,70.73,137.92,1.14,0.84,0.67,0.31,-1.29,-1.54,-1.71,1.68,1.22,0.51,-1.78,-2.14,-2.03,0.73,0.66,0.51,0.64,0.52,0.36
