Year,rainfall_07,nino12_01,nino12_02,nino12_03,nino12_04,nino12_05,nino12_06,nino3_01,nino3_02,nino3_03,nino3_04,nino3_05,nino3_06,rainfall_01,rainfall_02,rainfall_03,rainfall_04,rainfall_05,rainfall_06,nino4_01,nino4_02,nino4_03,nino4_04,nino4_05,nino4_06,nino34_01,nino34_02,nino34_03,nino34_04,nino34_05,nino34_06,tsa_01,tsa_02,tsa_03,tsa_04,tsa_05,tsa_06
1966,53.56,0.59,-0.08,-0.86,-0.98,-1.19,-1.17,1.02,0.5,0.12,0.01,-0.66,-0.44,-6.37,-97.58,-138.36,-17.63,127.45,55.44,0.57,0.63,0.89,0.34,0.22,0.29,1.14,0.83,0.91,0.49,-0.13,0.16,-0.25,-0.34,-0.47,0.01,0.06,0.56
1967,-34.44,-0.63,-0.29,-0.88,-0.43,-0.36,-0.74,-0.49,-0.23,-0.66,-0.82,-0.31,-0.05,21.93,-26.48,123.74,185.17,-27.35,18.24,-0.54,-0.65,-0.32,-0.1,-0.08,-0.18,-0.47,-0.48,-0.68,-0.81,-0.36,-0.02,0.24,0.24,-0.11,-0.27,-0.44,-0.67
1968,33.86,-1.22,-0.96,-1.1,-1.2,-1.4,-1.03,-1.2,-1.39,-1.24,-0.77,-0.81,-0.09,2.53,-93.08,321.54,-7.63,195.65,21.94,-0.25,-0.27,-0.24,-0.24,-0.41,0.05,-0.79,-1.0,-0.92,-0.57,-0.48,0.32,-0.09,-0.3,-0.34,-0.08,-0.08,0.02
1969,18.96,0.17,-0.24,0.72,1.08,1.53,1.17,0.59,0.47,0.44,0.44,0.77,0.51,-21.97,-80.28,75.34,202.37,90.15,-9.26,0.94,1.04,0.68,0.46,0.31,0.16,0.88,1.05,0.68,0.55,0.52,0.31,0.26,0.47,0.3,0.28,0.13,-0.11
1970,-0.23,0.56,-0.03,-0.67,-0.38,-1.12,-1.41,0.62,0.24,-0.15,-0.15,-0.52,-1.05,107.03,50.52,71.64,92.97,-47.15,25.84,0.39,0.47,0.28,0.26,0.18,0.06,0.47,0.42,0.19,0.24,-0.02,-0.44,-0.4,-0.32,-0.28,-0.35,-0.26,-0.39
1971,-32.54,-1.03,-1.17,-0.96,-0.34,-0.73,-1.19,-1.35,-1.4,-1.09,-0.79,-0.78,-0.96,8.13,91.92,41.14,108.67,84.75,40.24,-1.31,-1.02,-0.94,-0.9,-0.86,-0.75,-1.56,-1.36,-1.15,-0.96,-0.74,-0.93,-0.07,-0.04,-0.14,0.02,0.18,0.11
1972,5.06,-0.15,0.69,0.7,0.77,0.86,1.71,-0.58,-0.39,-0.15,0.18,0.41,0.71,-81.97,106.02,-147.56,30.97,-64.85,19.34,-0.36,-0.08,0.04,0.3,0.4,0.37,-0.75,-0.37,-0.06,0.24,0.49,0.63,-0.14,-0.12,-0.26,-0.04,-0.1,0.03
1973,74.66,1.33,0.41,0.07,-0.3,-0.58,-0.98,1.7,0.9,0.3,-0.45,-0.87,-0.97,-86.97,-0.98,-19.96,-118.53,208.25,-18.76,0.84,0.67,0.31,-0.01,-0.31,-0.49,1.68,1.22,0.51,-0.11,-0.63,-0.81,0.73,0.66,0.51,0.69,0.86,0.69
1974,-2.64,-0.85,-0.8,-0.44,-0.15,0.07,-0.47,-1.47,-1.09,-0.79,-0.54,-0.57,-0.57,33.43,-78.78,-63.76,214.27,26.15,65.94,-1.63,-1.21,-0.93,-1.0,-0.98,-0.87,-1.81,-1.48,-1.25,-1.01,-1.01,-0.95,0.28,0.08,0.07,0.29,0.42,0.37
1975,134.56,-0.86,-0.71,-0.14,-0.01,-0.6,-0.96,-0.32,-0.64,-0.72,-0.38,-0.73,-1.08,49.83,83.02,84.84,-78.23,14.65,-8.36,-0.42,-0.24,-0.44,-0.58,-0.67,-0.91,-0.31,-0.53,-0.81,-0.63,-0.73,-1.11,-0.19,-0.25,-0.23,-0.18,-0.03,0.11
1976,-36.04,-0.88,-0.45,-0.21,0.36,0.72,1.25,-1.63,-1.0,-0.54,-0.48,-0.15,0.38,14.63,269.92,146.14,-99.13,-141.45,-44.46,-1.24,-0.86,-0.63,-0.4,-0.43,-0.43,-1.74,-1.13,-0.61,-0.59,-0.45,-0.22,-0.47,-0.46,-0.56,-0.74,-0.77,-0.66
1977,-51.24,0.51,-0.11,-0.23,-0.11,-0.39,-0.02,0.9,0.62,0.4,-0.34,-0.04,0.08,-82.97,-13.28,20.84,-43.53,8.65,-27.76,0.12,0.06,0.04,0.13,0.01,0.11,0.85,0.52,0.37,-0.01,0.16,0.34,-0.25,-0.06,-0.08,-0.1,-0.12,-0.15
1978,39.86,0.04,-0.12,-0.68,-0.5,-0.87,-0.85,0.3,0.13,-0.22,-0.63,-0.76,-0.68,15.73,-72.18,92.84,-80.83,36.85,-16.86,0.53,0.32,0.01,-0.31,-0.07,-0.22,0.72,0.43,0.0,-0.44,-0.38,-0.44,-0.25,-0.35,-0.53,-0.72,-0.71,-0.53
1979,-55.74,0.56,-0.14,-0.18,0.21,0.26,0.33,-0.18,-0.15,0.18,0.36,0.28,0.18,78.53,-58.68,-25.36,46.27,51.15,-24.26,0.21,0.14,0.09,0.05,0.01,-0.02,-0.04,-0.11,0.22,0.28,0.09,-0.0,-0.22,-0.3,-0.39,-0.06,-0.0,0.04
1980,-10.84,0.16,-0.04,0.34,0.31,0.23,0.0,0.61,0.25,0.03,0.11,0.25,0.38,-97.67,-163.38,-49.76,-19.83,-165.65,7.64,0.45,0.44,0.31,0.32,0.41,0.34,0.63,0.4,0.19,0.21,0.36,0.45,-0.21,-0.4,-0.34,-0.18,-0.11,-0.14
1981,14.66,-1.13,-0.73,-0.06,-0.32,-0.34,-0.18,-0.4,-0.61,-0.37,-0.24,-0.23,-0.13,-14.37,-79.48,-24.46,-54.73,2.85,57.14,-0.02,-0.11,-0.09,-0.26,-0.32,-0.32,-0.13,-0.42,-0.39,-0.23,-0.27,-0.17,-0.33,-0.53,-0.72,-0.59,-0.47,-0.28
1982,-0.84,0.21,-0.25,-0.59,-0.33,0.07,0.46,0.43,0.19,0.15,0.32,0.68,0.78,58.43,-73.48,124.04,-53.63,28.45,-70.26,0.12,0.07,0.26,0.49,0.55,0.61,0.32,-0.01,0.33,0.48,0.67,0.74,-0.03,-0.26,-0.29,-0.42,-0.44,-0.51
1983,65.46,2.79,2.28,2.75,3.52,4.01,4.28,2.9,2.31,1.76,1.69,1.89,1.68,-247.07,-168.18,106.94,-117.83,-60.15,-6.76,0.58,0.54,0.4,0.26,0.34,0.19,2.3,1.98,1.53,1.18,1.1,0.74,0.27,0.31,-0.22,-0.32,-0.52,-0.51
1984,24.36,-0.01,-0.44,-0.19,0.19,-0.48,-0.5,-0.26,0.14,0.03,-0.17,-0.57,-0.8,-11.67,65.32,-87.86,23.07,40.25,-11.96,-0.48,-0.4,-0.51,-0.56,-0.5,-0.42,-0.44,0.02,-0.21,-0.35,-0.37,-0.52,0.62,0.59,0.71,0.43,0.19,0.4
1985,34.76,-0.46,-0.75,-0.43,-1.01,-1.24,-0.73,-0.92,-0.56,-0.59,-0.73,-0.66,-0.67,-9.97,42.42,-30.36,-164.93,114.75,44.74,-0.34,-0.46,-0.6,-0.65,-0.66,-0.65,-0.85,-0.47,-0.54,-0.8,-0.68,-0.62,0.26,0.46,0.06,0.08,0.17,-0.02
1986,115.26,0.2,0.13,-0.35,-0.51,-0.81,-0.79,-0.65,-0.3,-0.1,-0.08,-0.33,-0.2,-12.57,19.22,-6.86,-30.73,-28.05,-3.36,0.02,-0.04,0.01,-0.12,-0.02,0.08,-0.4,-0.45,-0.17,-0.02,-0.15,-0.02,0.14,0.41,0.3,0.21,0.19,0.35
1987,-47.94,1.25,1.13,1.7,1.49,1.59,1.19,1.13,1.22,1.24,1.1,1.08,1.07,11.83,13.42,-33.66,-19.03,-63.85,-77.96,0.49,0.65,0.67,0.52,0.55,0.73,1.22,1.27,1.28,1.01,0.81,1.02,-0.04,0.02,0.08,-0.03,0.21,0.36
1988,13.66,0.44,-0.05,-0.39,-0.34,-0.57,-1.09,0.94,0.28,0.15,-0.21,-0.93,-1.56,-9.97,270.32,-45.66,-55.53,66.05,122.94,0.83,0.61,0.33,-0.02,-0.35,-0.56,0.98,0.41,0.21,-0.12,-0.83,-1.32,0.57,0.6,0.69,0.52,0.64,0.67
1989,88.86,-0.12,0.1,0.06,-0.03,-0.8,-0.75,-1.14,-0.74,-0.78,-0.6,-0.48,-0.05,12.33,141.32,-59.06,60.57,323.45,78.34,-1.36,-1.17,-0.83,-0.63,-0.39,-0.6,-1.71,-1.27,-0.99,-0.86,-0.6,-0.38,0.35,0.17,0.27,0.22,0.26,0.25
1990,45.46,-0.14,0.32,0.02,-0.3,-0.19,-0.18,-0.08,0.2,-0.11,0.13,0.38,0.22,-45.37,-85.68,-12.06,-73.83,12.95,-16.86,0.38,0.53,0.5,0.33,0.2,0.22,0.16,0.3,0.18,0.24,0.26,0.13,-0.4,0.07,0.24,0.28,-0.13,0.02
1991,105.26,-0.1,0.09,0.19,0.03,-0.03,0.16,0.27,0.12,0.02,0.25,0.51,0.83,-1.17,-51.88,-2.06,32.67,90.55,31.74,0.74,0.67,0.54,0.58,0.67,0.64,0.6,0.48,0.25,0.48,0.5,0.68,0.06,-0.0,0.06,0.24,0.42,0.38
1992,21.66,0.74,0.99,1.36,1.96,2.07,1.09,1.41,1.25,1.07,1.27,1.33,0.84,-43.17,-12.98,36.54,-91.63,-112.85,-45.16,0.8,0.95,0.77,0.68,0.59,0.49,1.88,1.82,1.46,1.39,1.21,0.92,-0.33,-0.32,-0.48,-0.64,-0.73,-0.86
1993,-34.04,0.27,0.54,0.63,1.18,1.18,1.11,0.13,0.55,0.55,1.03,1.25,0.67,156.83,341.72,-81.96,60.07,-134.85,-44.66,0.58,0.35,0.31,0.33,0.33,0.36,0.35,0.54,0.59,0.97,1.08,0.69,-0.31,-0.19,-0.17,0.13,-0.04,-0.09
1994,-35.64,0.23,0.05,-0.42,-0.6,-0.47,-0.43,0.39,0.14,-0.11,-0.02,0.21,0.17,91.43,123.82,-51.76,-51.53,-57.45,19.04,0.38,0.17,0.34,0.38,0.42,0.51,0.34,0.3,0.3,0.52,0.57,0.49,0.26,0.06,0.16,0.11,0.04,-0.24
1995,8.26,0.98,0.34,-0.05,-0.65,-0.66,-0.43,0.95,0.6,0.14,-0.07,-0.25,-0.09,6.33,-143.68,-9.86,170.27,-14.15,0.84,0.96,0.95,0.89,0.67,0.61,0.4,1.16,0.88,0.61,0.52,0.21,0.18,0.34,0.55,0.66,0.54,0.52,0.58
1996,-51.74,-0.39,-0.11,0.07,-1.09,-0.84,-1.27,-0.54,-0.47,-0.23,-0.4,-0.35,-0.4,291.63,-18.08,26.84,118.27,-104.15,78.94,-0.2,-0.26,-0.14,-0.2,-0.13,-0.06,-0.65,-0.63,-0.43,-0.13,-0.04,-0.05,0.12,0.37,0.39,0.58,0.7,0.81
1997,-68.64,-0.47,0.28,0.82,1.08,2.14,2.96,-0.6,-0.49,-0.18,0.13,0.84,1.57,-59.07,68.82,223.64,0.57,20.55,-96.66,0.24,0.38,0.46,0.85,0.76,0.59,-0.36,-0.21,-0.16,0.36,0.73,1.23,-0.28,-0.4,-0.55,-0.57,-0.61,-0.73
1998,23.36,3.6,2.95,2.87,2.81,2.92,2.37,3.1,2.5,2.06,1.84,1.62,0.66,22.93,-103.98,-100.46,96.97,41.75,61.04,0.81,0.79,0.47,0.13,0.15,-0.13,2.41,2.07,1.49,1.07,0.84,-0.02,0.66,0.68,0.61,0.47,0.47,0.6
1999,-43.34,-0.23,-0.17,-0.07,-0.76,-0.42,-0.55,-0.83,-0.51,-0.21,-0.45,-0.48,-0.64,131.93,-14.88,-78.06,110.97,213.75,43.14,-1.29,-1.21,-0.88,-0.7,-0.55,-0.56,-1.39,-1.06,-0.68,-0.68,-0.74,-0.89,0.07,-0.01,0.25,0.38,0.46,0.43
2000,-27.84,-0.61,-0.41,-0.42,-0.0,-0.05,-0.24,-1.34,-0.81,-0.28,0.01,-0.17,-0.39,70.53,68.72,29.44,225.17,-59.05,-57.96,-0.94,-1.09,-1.1,-0.94,-0.76,-0.51,-1.52,-1.28,-0.84,-0.64,-0.57,-0.52,0.15,0.33,0.32,0.3,0.22,0.14
2001,-38.04,-0.26,-0.16,0.48,0.58,-0.2,-0.21,-0.17,-0.01,0.23,0.14,0.16,0.05,68.73,-56.18,-94.46,-122.03,-0.05,57.94,-0.63,-0.55,-0.36,-0.21,-0.05,0.24,-0.54,-0.39,-0.23,-0.19,-0.04,0.07,0.1,0.11,0.21,0.31,0.4,0.3
2002,-65.24,-0.22,0.47,0.9,0.67,0.88,0.7,-0.32,-0.13,0.26,0.27,0.53,0.82,101.13,-35.78,-115.96,66.47,31.25,52.94,0.58,0.63,0.52,0.68,0.86,0.87,0.03,0.15,0.21,0.32,0.56,0.91,0.08,-0.12,0.21,0.24,0.42,0.27
2003,24.36,0.21,0.13,0.36,-0.28,-1.16,-0.79,0.86,0.63,0.41,-0.14,-0.47,-0.15,-173.87,65.22,-102.06,79.87,-12.05,4.54,0.8,0.82,0.78,0.6,0.29,0.42,0.92,0.85,0.6,0.18,-0.22,0.06,0.5,0.51,0.55,0.35,0.3,0.04
2004,-9.04,0.34,0.51,-0.37,0.04,-0.55,-0.41,0.63,0.52,0.36,0.29,0.01,0.09,-100.07,-125.08,112.94,-83.03,191.25,14.04,0.68,0.59,0.39,0.3,0.39,0.46,0.43,0.36,0.26,0.35,0.34,0.34,0.35,0.16,-0.09,-0.33,-0.19,-0.14
2005,-16.24,0.45,-0.39,-0.53,0.01,0.02,-0.4,0.61,0.25,0.35,0.46,0.59,0.44,-113.97,55.82,22.74,94.57,-6.15,-52.66,1.11,0.88,0.82,0.61,0.5,0.42,0.87,0.63,0.7,0.59,0.62,0.37,0.55,0.43,0.53,0.22,-0.13,-0.32
2006,2.96,0.13,0.52,0.18,-0.74,-0.08,0.02,-0.54,0.06,-0.03,0.04,0.29,0.28,-106.37,70.72,-45.96,-58.13,150.45,-19.16,-0.23,-0.42,-0.29,-0.04,0.21,0.45,-0.61,-0.38,-0.36,0.02,0.17,0.26,-0.02,0.17,0.33,0.24,0.17,0.35
2007,53.46,0.93,0.5,0.07,-0.52,-0.98,-1.14,1.08,0.34,-0.02,-0.17,-0.39,-0.34,134.73,-137.98,24.74,32.87,-66.35,-5.96,0.87,0.7,0.63,0.42,0.29,0.24,0.92,0.39,0.18,0.05,-0.08,-0.01,0.18,0.15,-0.04,0.17,0.21,0.37
2008,6.5,-0.1,0.57,0.62,0.27,0.2,0.26,-1.02,-0.81,-0.4,-0.12,0.03,0.06,88.95,-37.79,187.83,42.46,31.11,75.94,-0.89,-1.13,-0.88,-0.7,-0.66,-0.64,-1.31,-1.29,-0.92,-0.66,-0.54,-0.39,0.13,0.3,0.52,0.57,0.75,0.64
2009,-48.6,0.3,-0.04,-0.15,0.65,0.63,0.96,-0.25,-0.15,-0.19,0.2,0.57,0.78,2.35,121.31,-132.67,-80.84,-118.99,39.04,-0.53,-0.44,-0.2,0.1,0.26,0.47,-0.72,-0.52,-0.23,0.13,0.37,0.56,0.39,0.29,0.46,0.45,0.72,0.53
2010,26.9,0.34,0.47,0.45,0.62,0.53,0.22,1.07,1.0,0.78,0.63,0.29,-0.23,-12.65,15.91,-158.77,0.46,-67.89,-7.66,1.22,1.0,0.96,0.83,0.48,0.09,1.45,1.3,1.05,0.7,0.18,-0.31,0.73,0.62,0.81,0.61,0.55,0.79
2011,-53.5,0.25,0.41,-0.32,0.03,0.26,0.53,-0.91,-0.46,-0.38,0.02,0.0,0.2,-81.65,156.71,-41.87,212.96,-10.59,-5.46,-0.85,-0.53,-0.24,-0.2,-0.13,-0.08,-1.28,-0.88,-0.6,-0.36,-0.17,0.01,0.39,0.53,0.64,0.42,0.23,0.14
2012,9.3,-0.28,0.44,0.41,0.79,1.19,1.43,-0.19,0.09,0.2,0.28,0.33,0.44,56.75,-47.89,-87.77,-107.34,-65.19,-41.36,-0.57,-0.41,-0.33,-0.22,-0.11,0.06,-0.59,-0.42,-0.27,-0.25,-0.15,0.04,-0.38,-0.57,-0.16,-0.4,-0.11,-0.02
2013,93.4,0.06,0.06,-0.18,-0.79,-0.81,-1.31,-0.46,-0.29,-0.01,0.03,-0.18,-0.44,6.15,5.51,62.23,117.66,5.41,-94.46,0.28,0.04,-0.22,-0.05,-0.05,0.07,-0.37,-0.31,-0.23,0.05,0.04,-0.1,0.33,0.19,0.18,0.28,0.41,0.22
2014,-7.6,0.3,-0.14,0.01,0.14,0.9,1.36,-0.14,-0.34,0.0,0.25,0.61,0.66,-55.15,-91.19,162.53,-47.94,178.31,84.94,-0.02,0.16,0.26,0.45,0.41,0.29,-0.4,-0.54,-0.3,0.06,0.22,0.09,0.05,0.16,0.14,0.16,0.41,0.41
2015,-26.4,0.27,-0.04,0.44,0.87,1.42,2.17,0.68,0.35,0.42,0.83,1.13,1.42,-4.75,-122.59,8.53,-137.44,47.81,-50.96,0.93,0.92,0.98,1.15,1.08,1.01,0.69,0.53,0.58,0.93,1.03,1.11,0.37,0.36,0.15,0.29,0.39,0.32
