Year,rainfall_12,nino3_06,nino3_07,nino3_08,nino3_09,nino3_10,nino3_11,nino4_06,nino4_07,nino4_08,nino4_09,nino4_10,nino4_11,nino12_06,nino12_07,nino12_08,nino12_09,nino12_10,nino12_11,rainfall_06,rainfall_07,rainfall_08,rainfall_09,rainfall_10,rainfall_11,tsa_06,tsa_07,tsa_08,tsa_09,tsa_10,tsa_11,nino34_06,nino34_07,nino34_08,nino34_09,nino34_10,nino34_11
1950,120.14337349397582,-0.8221212121212034,-0.6651515151515142,-0.5407575757575778,-0.717878787878778,-0.5130303030302983,-0.8192424242424217,-0.4898484848484871,-0.8175757575757601,-1.000303030303023,-1.1122727272727246,-1.1368181818181746,-1.123636363636361,-1.3589393939394014,-1.2713636363636347,-0.6183333333333287,-0.9554545454545362,-0.7463636363636291,-1.3859090909090952,54.343373493975896,-23.73506024096385,-44.33012048192772,-54.90963855421688,24.333734939759,-47.97951807228912,-0.2882352941176471,-0.20808823529411768,-0.3757352941176471,-0.5360294117647059,-0.5748529411764707,-0.4770588235294118,-1.0024242424242402,-0.7825757575757493,-0.8898484848484856,-0.9649999999999964,-0.8142424242424227,-0.9525757575757544
1951,-13.45662650602415,0.16787878787879862,0.8848484848484829,0.7992424242424221,0.8421212121212207,0.8069696969697021,0.960757575757576,0.2801515151515126,0.10242424242424164,-0.30030303030302363,-0.11227272727272464,-0.06681818181817434,0.1363636363636367,1.6110606060605974,1.9386363636363664,1.341666666666672,0.8245454545454614,0.88363636363637,0.7340909090909022,142.9433734939759,-5.93506024096385,-28.730120481927727,68.99036144578311,14.233734939758987,-32.77951807228911,-0.31823529411764706,-0.15808823529411764,0.014264705882352943,0.02397058823529412,-0.0048529411764705885,-0.09705882352941177,-0.08242424242423851,0.3974242424242505,0.2801515151515161,0.5850000000000044,0.4457575757575789,0.4674242424242436
1952,156.54337349397585,-0.3421212121212029,-0.4451515151515153,-0.4307575757575784,-0.4278787878787789,-0.3430303030303001,-0.6792424242424211,-0.20984848484848584,-0.4075757575757599,-0.5703030303030232,-0.2222727272727276,-0.39681818181817263,-0.15363636363636246,-0.40893939393940215,-0.4913636363636336,-0.6083333333333272,-0.8754545454545379,-0.1863636363636303,-0.4859090909090966,-12.656626506024097,-18.53506024096385,33.069879518072284,-45.10963855421688,-36.56626506024101,2.920481927710881,0.011764705882352948,-0.11808823529411765,-0.04573529411764706,-0.06602941176470589,-0.1148529411764706,-0.017058823529411758,-0.11242424242423964,-0.2525757575757481,-0.3098484848484837,-0.1649999999999956,-0.11424242424242335,-0.2625757575757568
1953,-43.95662650602415,0.4478787878787962,0.28484848484848513,0.19924242424242425,0.4821212121212213,0.3169696969697,0.17075757575757675,0.3701515151515125,0.3124242424242389,0.3496969696969785,0.08772727272727465,0.15318181818182453,0.1863636363636374,0.5410606060605971,0.24863636363636846,0.4816666666666727,0.4245454545454628,0.15363636363636954,0.10409090909090324,-84.4566265060241,87.16493975903616,-50.23012048192773,-45.30963855421688,21.233734939759003,0.3204819277108868,-0.15823529411764706,-0.11808823529411765,-0.09573529411764706,0.013970588235294115,-0.0048529411764705885,-0.19705882352941176,0.5875757575757596,0.4274242424242516,0.3401515151515149,0.42500000000000426,0.4757575757575765,0.3374242424242446
1954,-38.45662650602414,-1.102121212121201,-1.0151515151515156,-1.200757575757578,-1.327878787878781,-1.193030303030298,-0.9892424242424234,-0.3898484848484856,-0.6375757575757603,-0.8403030303030228,-0.9722727272727276,-1.0868181818181741,-0.7036363636363632,-1.9089393939394024,-2.2413636363636336,-1.538333333333327,-1.4354545454545369,-1.5463636363636295,-1.2159090909090968,-6.756626506024091,-28.53506024096385,-23.730120481927727,-15.509638554216876,-16.26626506024101,79.6204819277109,-0.628235294117647,-0.7080882352941177,-0.4257352941176471,-0.27602941176470586,-0.1748529411764706,-0.13705882352941176,-0.5524242424242409,-0.7425757575757466,-1.0498484848484857,-1.1749999999999972,-0.9842424242424208,-0.7225757575757541
1955,64.54337349397585,-1.132121212121202,-0.9151515151515142,-1.0707575757575791,-1.337878787878779,-2.0930303030303,-2.049242424242422,-0.4698484848484874,-0.5075757575757613,-0.8003030303030236,-0.6622727272727253,-1.236818181818176,-1.613636363636363,-1.6589393939394022,-1.0813636363636334,-1.0983333333333292,-1.0254545454545363,-1.4163636363636307,-1.5259090909090958,-36.5566265060241,2.164939759036145,-51.03012048192773,3.390361445783114,6.533734939758986,17.120481927710898,-0.4982352941176471,-0.3180882352941177,-0.4957352941176471,-0.4360294117647059,-0.3148529411764706,-0.21705882352941175,-0.7724242424242398,-0.7425757575757466,-0.9098484848484852,-1.0549999999999962,-1.9842424242424208,-2.142575757575756
1956,-11.156626506024168,-0.3521212121212009,-0.5751515151515143,-0.7007575757575779,-0.7378787878787811,-0.8530303030302981,-1.009242424242423,-0.619848484848486,-0.6975757575757591,-1.000303030303023,-1.0122727272727268,-0.7568181818181756,-0.5236363636363635,-0.8489393939394034,-0.26136363636363313,-0.12833333333332675,-0.6354545454545395,-1.0963636363636304,-0.8859090909090952,13.143373493975899,-7.835060240963855,-2.130120481927726,35.690361445783125,55.733734939758996,18.120481927710895,-0.4882352941176471,-0.3080882352941177,-0.22573529411764706,-0.2160294117647059,-0.4748529411764706,-0.4470588235294117,-0.5124242424242418,-0.6725757575757463,-0.8598484848484844,-0.7049999999999983,-0.7942424242424231,-0.8625757575757547
1957,-62.75662650602416,0.8878787878787975,1.3248484848484845,1.1192424242424224,0.782121212121222,0.7469696969697033,1.1507575757575772,-0.05984848484848726,-0.15757575757575992,0.1996969696969764,0.3177272727272751,0.4831818181818264,0.4863636363636381,1.8310606060605965,1.7786363636363658,1.2416666666666707,1.124545454545462,0.9036363636363696,0.8640909090909048,-23.95662650602409,-62.23506024096386,-18.030120481927725,-55.50963855421688,27.733734939759003,-76.47951807228911,-0.16823529411764707,-0.35808823529411765,-0.24573529411764705,-0.3760294117647057,-0.4148529411764706,-0.2770588235294117,0.6875757575757611,0.9574242424242528,0.9201515151515168,0.735000000000003,0.7157575757575785,1.0774242424242428
1958,60.44337349397583,0.2578787878787985,0.07484848484848428,0.02924242424242252,-0.17787878787877887,-0.12303030303029773,0.13075757575757765,0.36015151515151445,0.2024242424242395,0.2296969696969775,0.1777272727272745,0.2931818181818251,0.2563636363636377,0.5810606060605963,0.3886363636363655,-0.2583333333333293,0.12454545454546205,0.20363636363637028,-0.04590909090909534,-35.75662650602409,-26.23506024096385,8.069879518072277,-39.30963855421688,-22.366265060241002,-22.279518072289108,-1.1182352941176472,-0.5580882352941177,-0.6757352941176471,-0.6560294117647059,-0.5248529411764706,-0.40705882352941175,0.5675757575757601,0.18742424242425315,0.06015151515151729,-0.05499999999999616,0.11575757575757704,0.3874242424242453
1959,-126.15662650602415,-0.3321212121212014,-0.6851515151515173,-0.6407575757575756,-0.577878787878781,-0.33303030303029857,-0.43924242424242266,-0.2898484848484877,-0.2275757575757602,-0.1403030303030235,-0.16227272727272535,-0.16681818181817576,-0.3636363636363633,-0.3389393939394019,-0.31136363636363384,-0.7783333333333289,-0.3554545454545384,-0.046363636363629716,0.2840909090909029,2.4433734939758978,-35.93506024096385,4.2698795180722735,-32.70963855421688,-100.86626506024099,42.42048192771088,-0.19823529411764707,-0.28808823529411764,-0.2357352941176471,-0.1260294117647059,-0.1648529411764706,-0.23705882352941174,-0.24242424242423866,-0.6225757575757491,-0.5198484848484846,-0.5949999999999953,-0.36424242424242337,-0.4425757575757565
1960,81.04337349397584,-0.5321212121212007,-0.3151515151515163,-0.08075757575757693,-0.16787878787878086,-0.6430303030302973,-0.639242424242422,-0.36984848484848604,-0.43757575757576106,-0.3903030303030235,-0.33227272727272705,-0.19681818181817332,-0.04363636363636303,-1.0389393939394012,-1.1213636363636326,-0.6683333333333294,-0.045454545454539634,-0.37636363636362796,-0.5159090909090978,70.04337349397589,-0.7350602409638469,6.069879518072277,10.79036144578312,114.933734939759,69.1204819277109,-0.2882352941176471,0.031911764705882355,-0.05573529411764706,-0.07602941176470589,-0.1348529411764706,-0.007058823529411762,-0.3824242424242392,-0.3225757575757484,-0.009848484848482995,-0.2149999999999963,-0.36424242424242337,-0.2225757575757541
1961,133.34337349397586,-0.03212121212120067,-0.625151515151515,-0.7907575757575778,-1.1478787878787813,-1.0430303030302994,-0.5992424242424228,-0.0498484848484857,-0.3175757575757601,-0.4003030303030215,-0.3722727272727262,-0.6068181818181735,-0.3936363636363645,-0.7589393939394036,-1.1213636363636326,-0.8883333333333283,-0.8954545454545375,-0.6263636363636279,-0.20590909090909548,-7.956626506024094,-35.63506024096385,-46.23012048192773,-21.50963855421688,11.933734939758992,-24.879518072289105,-0.15823529411764706,-0.2580882352941176,-0.22573529411764706,0.003970588235294115,-0.05485294117647059,-0.07705882352941176,0.1275757575757588,-0.10257575757574956,-0.499848484848485,-0.7349999999999959,-0.8042424242424211,-0.5125757575757568
1962,-87.75662650602415,-0.6121212121212025,-0.505151515151514,-0.3307575757575769,-0.6878787878787804,-0.6530303030302989,-0.8992424242424235,-0.3098484848484873,-0.3975757575757584,-0.4403030303030207,-0.4422727272727265,-0.4668181818181729,-0.4436363636363616,-0.988939393939404,-0.9413636363636328,-0.6683333333333294,-0.5054545454545369,-0.7063636363636299,-0.6359090909090952,2.3433734939759034,-21.335060240963852,-19.130120481927726,-60.40963855421688,14.333734939758994,-63.17951807228911,0.021764705882352943,-0.13808823529411765,-0.06573529411764706,-0.10602941176470587,-0.0048529411764705885,-0.007058823529411762,-0.4024242424242388,-0.31257575757574685,-0.3898484848484856,-0.6849999999999952,-0.5642424242424227,-0.7925757575757544
