,1,2,3,4,5,6,7,8,9,10,11,12,Output
1971,386.69999999999993,326.19999999999993,382.89999999999986,403.2,184.5,132.0,68.4,42.7,96.2,98.8,179.6,143.4,287.7999999999999
1972,287.7999999999999,367.6,352.39999999999986,418.89999999999986,316.4000000000001,146.39999999999995,36.10000000000001,8.5,40.5,182.3,261.90000000000003,94.3,197.7
1973,197.7,362.09999999999985,163.7,341.19999999999993,,125.49999999999996,73.7,45.7,72.4,94.2,73.8,169.10000000000005,
1974,,274.7,291.30000000000007,191.7,439.90000000000015,87.39999999999998,143.3,108.6,86.10000000000002,181.8,308.7,220.9,313.10000000000014
1975,313.10000000000014,196.90000000000003,247.50000000000003,524.5,257.8,172.09999999999994,66.0,26.7,68.4,24.4,194.9,285.1,329.5
1976,329.5,358.7,396.1,232.00000000000003,246.3,97.8,203.2,56.6,36.39999999999999,55.0,99.9,213.6,294.2999999999999
1977,294.2999999999999,528.8000000000002,457.4,211.1,90.2,61.7,32.599999999999994,37.4,29.5,123.0,156.99999999999997,176.29999999999995,196.7
1978,196.7,262.4,332.1,266.7,240.3,78.39999999999998,17.400000000000006,42.9,77.00000000000001,190.79999999999995,84.69999999999997,227.30000000000004,295.4
1979,295.4,203.5,404.1,229.39999999999995,268.50000000000006,89.3,108.5,50.4,161.0,115.6,45.7,126.0,
1980,,,,,,,,,,,,,
1981,,,,,,,,,,,,,
1982,,,,,,,,,,,,,
1983,,,,,,,,,,,,,32.6
1984,32.6,107.5,418.2000000000001,192.4,171.50000000000006,99.4,134.1,134.60000000000002,99.2,195.8,69.5,372.10000000000014,268.00000000000006
1985,268.00000000000006,331.2000000000001,223.4,333.30000000000007,271.9,94.2,93.0,62.79999999999999,135.5,123.2,100.4,148.1,269.7
1986,269.7,318.1,280.90000000000003,145.3,346.39999999999986,150.9,103.4,63.1,65.89999999999999,161.7,136.9,391.39999999999986,267.1
1987,267.1,294.9,304.4000000000001,279.5,203.6,102.8,183.9,1.6,71.10000000000002,214.6,321.8,246.9,291.50000000000006
1988,291.50000000000006,289.0999999999999,277.6,291.19999999999993,167.8,28.2,20.7,76.80000000000003,64.60000000000001,46.30000000000001,128.3,195.2,269.7
1989,269.7,533.0,265.6,254.7,297.69999999999993,229.1,82.3,35.6,110.6,111.5,226.9,412.1,291.99999999999994
1990,291.99999999999994,417.0,252.2,370.8,555.0999999999998,184.5,157.5,15.8,136.4,185.6,326.4,220.1,234.30000000000004
1991,234.30000000000004,190.0,299.2,236.4,244.6,89.30000000000003,114.1,72.3,22.8,56.0,116.9,167.30000000000004,278.5
1992,278.5,223.8,309.2000000000001,342.9,322.2000000000001,137.90000000000003,173.89999999999995,55.4,39.0,79.4,37.9,137.9,236.50000000000003
1993,236.50000000000003,245.6,347.79999999999984,218.6,118.8,61.0,90.3,100.3,90.0,87.39999999999998,71.19999999999997,265.6,436.5
1994,436.5,617.4,229.3,370.3,96.8,61.5,34.599999999999994,47.7,21.9,99.8,256.3,251.29999999999995,371.1
1995,371.1,399.5,259.49999999999994,258.70000000000005,174.20000000000005,125.20000000000002,33.0,96.7,62.6,91.8,207.3,222.50000000000009,286.0
1996,286.0,132.0,301.4,480.5,217.5,107.0,76.9,34.2,72.39999999999998,81.0,311.99999999999994,160.5,571.3
1997,571.3,257.6,338.10000000000014,428.49999999999983,127.5,185.1,16.9,65.0,114.0,186.0,163.00000000000003,142.2,220.6
1998,220.6,344.5,534.8999999999999,310.7999999999999,252.2,9.5,0.0,111.5,40.5,60.9,182.3,261.5,302.6
1999,302.6,171.7,210.79999999999995,407.19999999999993,273.4,167.2,92.0,41.8,115.6,73.5,153.6,191.0,411.6
2000,411.6,260.8,233.2,421.2,445.4,149.3,25.300000000000004,40.6,98.8,132.3,203.5,198.3,350.2
2001,350.2,337.8,340.7,535.4000000000002,172.60000000000005,48.20000000000001,40.8,140.0,218.1,47.2,169.7,192.3,348.4
2002,348.4,219.5,216.79999999999995,188.2,231.6,164.1,30.6,14.9,88.2,28.1,55.0,213.0,380.8
2003,380.8,239.9,195.3,376.7000000000001,262.90000000000003,159.10000000000005,3.4000000000000004,35.4,60.1,216.1,81.2,311.2,105.8
2004,105.8,340.9000000000001,209.19999999999996,390.1,219.59999999999994,110.70000000000003,93.0,118.3,60.9,96.9,119.6,89.9,179.59999999999997
2005,179.59999999999997,148.29999999999995,424.2,227.2,422.90000000000015,120.20000000000002,59.60000000000001,141.3,112.0,66.0,13.3,140.0,165.70000000000005
2006,165.70000000000005,331.5,334.0,404.8,225.5,53.5,52.40000000000001,16.2,45.9,75.19999999999997,211.60000000000005,291.7999999999999,173.3
2007,173.3,346.4000000000001,265.3,252.1,382.09999999999985,86.99999999999999,71.6,16.7,32.800000000000004,66.0,294.00000000000006,317.39999999999986,414.39999999999986
2008,414.39999999999986,137.7,336.0,343.1,165.3,100.20000000000002,121.9,133.3,71.7,28.5,226.2,327.9,397.40000000000015
2009,397.40000000000015,291.7999999999999,553.0,345.40000000000015,264.1,202.7,80.2,58.40000000000001,56.00000000000001,,280.8,458.1,310.7999999999999
2010,310.7999999999999,457.8999999999999,232.50000000000009,222.1,114.0,165.8,25.1,5.4,4.2,26.0,132.3,262.40000000000003,295.8
