,Arquitetura,FA,Alpha,TA,FV,MSE,NMSE
399,"(6,)",logistic,0.01,0.001,0.1,0.41479,0.0010014338377055255
400,"(7, 6)",logistic,0.01,0.003,0.1,0.41543,0.0010029789994889138
401,"(2, 5)",tanh,0.0001,0.003,0.0462,0.41561,0.0010034135762404914
402,"(3, 3)",tanh,0.01,0.003,0.1,0.41591,0.0010041378708264548
403,"(4, 3)",logistic,0.01,0.003,0.1,0.41614,0.00100469316334236
404,"(5, 6)",tanh,0.01,0.003,0.1,0.41621,0.001004862165412418
405,"(3, 4)",logistic,0.0001,0.001,0.0462,0.41642,0.001005369171622592
406,"(1, 3)",logistic,0.0001,0.001,0.1,0.41685,0.001006407327195806
407,"(5, 5)",logistic,0.0001,0.001,0.1,0.41701,0.0010067936176416529
408,"(5, 3)",tanh,0.0001,0.003,0.1,0.41744,0.0010078317732148667
409,"(2,)",logistic,0.01,0.001,0.0462,0.41773,0.0010085319246479645
410,"(7,)",logistic,0.0001,0.001,0.1,0.4179,0.001008942358246677
411,"(2, 7)",tanh,0.01,0.003,0.1,0.41798,0.0010091355034696006
412,"(5,)",logistic,0.01,0.001,0.0462,0.41825,0.0010097873685969675
413,"(4,)",logistic,0.01,0.003,0.0462,0.41832,0.0010099563706670255
414,"(3, 5)",tanh,0.0001,0.001,0.0462,0.41838,0.001010101229584218
415,"(6, 2)",logistic,0.01,0.001,0.0462,0.41853,0.0010104633768771997
416,"(2, 6)",tanh,0.01,0.001,0.0462,0.41858,0.0010105840926415267
417,"(2, 2)",tanh,0.01,0.003,0.1,0.41864,0.0010107289515587194
418,"(3, 6)",tanh,0.01,0.003,0.1,0.41895,0.001011477389297548
419,"(6, 7)",tanh,0.01,0.001,0.1,0.41917,0.0010120085386605877
420,"(7, 4)",tanh,0.01,0.003,0.0462,0.41944,0.0010126604037879545
421,"(2,)",tanh,0.0001,0.003,0.1,0.41971,0.0010133122689153214
422,"(3, 3)",logistic,0.01,0.003,0.0462,0.41979,0.0010135054141382448
423,"(6, 2)",tanh,0.0001,0.003,0.1,0.41995,0.0010138917045840919
424,"(1, 1)",logistic,0.0001,0.003,0.0462,0.42041,0.001015002289615902
425,"(7, 5)",logistic,0.01,0.003,0.0462,0.42083,0.0010160163020362504
426,"(3, 6)",logistic,0.01,0.001,0.1,0.42095,0.0010163060198706358
427,"(2, 2)",tanh,0.0001,0.001,0.0462,0.42126,0.0010170544576094643
428,"(1, 6)",tanh,0.0001,0.003,0.0462,0.42143,0.0010174648912081767
429,"(5,)",tanh,0.01,0.001,0.0462,0.42144,0.0010174890343610421
430,"(7,)",logistic,0.01,0.003,0.0462,0.42151,0.0010176580364311004
431,"(4, 2)",tanh,0.0001,0.003,0.1,0.42158,0.0010178270385011584
432,"(7,)",logistic,0.01,0.003,0.1,0.42193,0.0010186720488514487
433,"(6, 4)",logistic,0.0001,0.003,0.0462,0.42196,0.001018744478310045
434,"(5, 3)",logistic,0.0001,0.003,0.0462,0.42222,0.0010193722002845465
435,"(7, 4)",logistic,0.0001,0.003,0.1,0.42223,0.0010193963434374119
436,"(2, 7)",tanh,0.01,0.001,0.0462,0.42236,0.0010197102044246626
437,"(6, 6)",logistic,0.0001,0.003,0.1,0.42305,0.0010213760819723777
438,"(6, 5)",logistic,0.0001,0.003,0.0462,0.42416,0.0010240559719404414
439,"(1, 4)",logistic,0.0001,0.003,0.0462,0.42427,0.0010243215466219614
440,"(2, 2)",logistic,0.0001,0.003,0.1,0.42429,0.0010243698329276921
441,"(5, 7)",tanh,0.01,0.001,0.1,0.42442,0.001024683693914943
442,"(3, 5)",logistic,0.01,0.003,0.0462,0.42449,0.001024852695985001
443,"(3,)",logistic,0.01,0.003,0.0462,0.42486,0.0010257459926410223
444,"(3,)",tanh,0.01,0.001,0.0462,0.42492,0.0010258908515582148
445,"(5, 3)",logistic,0.0001,0.003,0.1,0.42532,0.0010268565776728323
446,"(5,)",tanh,0.0001,0.001,0.0462,0.42558,0.0010274842996473338
447,"(3, 2)",tanh,0.01,0.003,0.1,0.42601,0.0010285224552205477
448,"(6, 3)",logistic,0.0001,0.003,0.0462,0.42602,0.001028546598373413
449,"(5, 4)",logistic,0.0001,0.003,0.1,0.42617,0.0010289087456663946
450,"(4, 5)",logistic,0.01,0.003,0.1,0.42621,0.0010290053182778563
451,"(1, 4)",logistic,0.01,0.003,0.1,0.42632,0.0010292708929593762
452,"(4,)",tanh,0.0001,0.001,0.1,0.42644,0.0010295606107937614
453,"(2, 6)",logistic,0.0001,0.003,0.1,0.42654,0.0010298020423224158
454,"(7, 4)",tanh,0.0001,0.003,0.1,0.42655,0.0010298261854752814
455,"(7, 6)",tanh,0.01,0.003,0.1,0.42677,0.0010303573348383209
456,"(7,)",tanh,0.0001,0.003,0.0462,0.42684,0.001030526336908379
457,"(7, 4)",tanh,0.01,0.001,0.1,0.42688,0.0010306229095198407
458,"(5, 2)",tanh,0.0001,0.001,0.0462,0.42707,0.001031081629424284
459,"(3, 5)",logistic,0.0001,0.003,0.1,0.42722,0.0010314437767172658
460,"(6, 7)",logistic,0.0001,0.003,0.0462,0.42744,0.0010319749260803053
461,"(2, 7)",tanh,0.0001,0.001,0.1,0.42745,0.0010319990692331709
462,"(1, 6)",tanh,0.0001,0.003,0.1,0.4275,0.001032119784997498
463,"(5, 6)",tanh,0.01,0.001,0.1,0.42753,0.0010321922144560943
464,"(2, 5)",logistic,0.01,0.003,0.1,0.42754,0.0010322163576089597
465,"(5, 4)",logistic,0.01,0.003,0.0462,0.42762,0.0010324095028318833
466,"(5, 5)",logistic,0.0001,0.003,0.1,0.42781,0.0010328682227363267
467,"(6, 4)",tanh,0.01,0.001,0.0462,0.42787,0.0010330130816535192
468,"(7,)",logistic,0.0001,0.003,0.0462,0.42789,0.0010330613679592501
469,"(3,)",logistic,0.0001,0.003,0.0462,0.42808,0.0010335200878636935
