Year,rainfall_01,rainfall_02,rainfall_03,rainfall_04,rainfall_05,rainfall_06,rainfall_07,rainfall_08,rainfall_09,rainfall_10,rainfall_11,rainfall_12,nino12_01,nino12_02,nino12_03,nino12_04,nino12_05,nino12_06,nino12_07,nino12_08,nino12_09,nino12_10,nino12_11,nino12_12,nino3_01,nino3_02,nino3_03,nino3_04,nino3_05,nino3_06,nino3_07,nino3_08,nino3_09,nino3_10,nino3_11,nino3_12,nino34_01,nino34_02,nino34_03,nino34_04,nino34_05,nino34_06,nino34_07,nino34_08,nino34_09,nino34_10,nino34_11,nino34_12,nino4_01,nino4_02,nino4_03,nino4_04,nino4_05,nino4_06,nino4_07,nino4_08,nino4_09,nino4_10,nino4_11,nino4_12,tsa_01,tsa_02,tsa_03,tsa_04,tsa_05,tsa_06,tsa_07,tsa_08,tsa_09,tsa_10,tsa_11,tsa_12
1950,0.45327783617300565,-0.41534791413380173,1.1594788219905128,-0.34858208801050194,-0.1297001099339498,0.9456949119000067,-0.5677883156868035,-1.0600911556076236,-1.0689818905891504,0.353048560844155,-0.6701571667075673,1.3686540645050491,-1.3333670383487328,-2.1984314292236427,-1.2612167298413215,-1.5437298888467337,-1.1649750888444463,-1.1359544056122066,-1.091029343107762,-0.5916389570592022,-1.002602006658729,-0.7659268611488227,-1.3695879322585192,-0.9407982025017383,-1.8264288298821014,-1.7571959589314134,-0.997215225921508,-1.293180754117788,-1.7198235540421505,-1.1826772490033035,-0.8939661348621036,-0.6584340897879142,-0.8221066540436207,-0.5257839026824745,-0.7750878169075153,-0.7508058854478926,-1.6136249801882714,-1.728114382413883,-1.7211940974275641,-2.158751418432792,-2.676896295202615,-1.7300010684785867,-1.2427849384336784,-1.224190462943427,-1.1753569685102074,-0.8495221440625725,-0.9170149511149772,-1.0969155018071342,-1.4072786468279779,-1.8910200207933419,-2.3052631282489533,-2.09440902337685,-1.7557743831680372,-1.0992430023401873,-1.6975316462769965,-1.8139150683676835,-1.7910271653295278,-1.6101541651414635,-1.5051893593766414,-1.4431614266864783,0.02269944912094658,0.22822832990634975,0.08334841405660302,-0.6255604664020994,-1.0014610732691747,-0.7052118886785288,-0.5934276758914384,-1.205173630567558,-1.805537427502865,-1.7826403919010259,-1.420657334223708,-2.4208069993755337
1951,-0.10959591852678659,-1.1440352958635553,-0.10804923836337817,1.0152274492125304,0.6546854076469668,2.736744778082958,-0.17952648178079791,-0.6987012298366121,1.4443857092106533,0.1916120327479046,-0.48565658501184794,-0.21766559573125355,-0.26427094453758887,-1.188842084129366,-0.9252693139104909,-0.23313595532661555,0.25391659132346733,1.3467056745316734,1.6636539679494522,1.2837449068265856,0.8652331303895993,0.9067976967559668,0.7254458873720937,0.1556058585378722,-0.6452423110292129,-0.7130038824955792,-0.08879128804551045,0.05238788526958365,0.13313772443611321,0.24150504826680638,1.1892396873791875,0.9731689054724644,0.9643876705729235,0.827030438773441,0.9089757438525118,0.5993178054679835,-1.1232600876935475,-1.1060367066802503,-0.2612148548187848,-0.03930607723672742,0.3497333251682426,-0.142249180963172,0.6311374430806402,0.3854125942418402,0.7125221000813255,0.4650714826632138,0.4499747294718767,0.2764583785042384,-1.1089932508188658,-1.3714988495567724,-0.6000225836374714,-0.05506772191174215,0.7348829431811904,0.62867315537489,0.21266334189831027,-0.5445591738116865,-0.1807861503213717,-0.09463920922662214,0.18266861157483594,0.13041842884487306,-2.9181402925483555,-2.0745790995444096,-2.4034028984814975,-1.5213854099925974,-1.0730973783657412,-0.775983279432887,-0.45424421246274277,0.026313834728549295,0.06844918638384917,-0.03575496488053633,-0.30197331719605974,-0.107439026412323
1952,0.6788877664821252,1.2641204845632374,0.07988401151987372,1.3928977825973703,0.4595895199833459,-0.40871074311418903,-0.4543635102760603,0.7329588607177805,-0.8701844533168495,-0.6203657521322453,-0.05232298195019155,1.8008549300185333,-0.012012315660805508,0.10513862578019804,0.00791795256402786,-0.5132629029492368,-0.23058300678265137,-0.34183754496012414,-0.4216670432246999,-0.5820706720393752,-0.9186543600498169,-0.1912484854269328,-0.48018678241533475,-0.055627951387191246,0.4093885093751508,0.23373026680624343,0.3565145638544901,0.3249081160315835,0.13313772443611321,-0.49216462002385714,-0.5982853084794698,-0.5244965304754957,-0.49000193985208434,-0.351557813252548,-0.6426333795443664,-0.331172846379444,0.23775267514895837,0.185970773689601,0.2668627435716238,0.6219608692164458,0.6454385179630998,-0.19402369903432867,-0.4011079365670756,-0.42626757989431885,-0.20096777181780287,-0.11919235143713733,-0.25277348660446497,-0.031850043606476565,0.2830052638903178,0.08010442301597963,-0.05579687791040867,0.24780474860287555,0.013903190816944334,-0.4709098540801563,-0.846249097198872,-1.0341678759975708,-0.35791266197227367,-0.5620410180601688,-0.20580663570764643,-0.11167077969841176,-0.03278809317470064,-0.20524130387261671,-0.4190255884763466,-0.38843033427520274,-0.6432795477863412,0.0025020188650530834,-0.34289744171978637,-0.1631457753170057,-0.23272723370508705,-0.3728732051827361,-0.0664608925586601,-0.4594732831675942
1953,-0.748440364044956,1.277886618978787,-0.4430606838074364,-1.2235183603520479,-0.7089848225351626,-1.8601484450547747,1.8512137843230854,-1.1967706788158912,-0.8742415438734271,0.30349873538887034,-0.08388229197709084,-0.5798119253510683,-0.14414778792959781,0.5175061047623656,1.077972684788142,1.5376665350020902,0.9633624314074242,0.45227931569195845,0.21336898486948808,0.46087239512159794,0.44549489734503206,0.15766338554707243,0.10286508248186464,-0.33727303128727226,0.2301012699064072,0.6235619753422897,0.7661959476024914,0.7336884621745803,0.5819017840675719,0.6443040818381464,0.38283743360836653,0.24260040013199885,0.5521197495075675,0.3248493574754098,0.16155427587474674,0.24354196799690764,0.42789416407548225,0.6525290304898265,0.7017501775401975,0.9610721238078149,0.9585381338635331,1.0140483892926138,0.6787795375259214,0.4679563407641597,0.5176442607428446,0.4963713309185871,0.3248277868829402,0.44462660874644716,0.06994426674095001,-0.07269592146536497,-0.14650116219824816,0.10646426236272588,0.34162126007341836,0.8306373816013274,0.6486861109383195,0.6341284425617442,0.14126205268025835,0.21696199666240895,0.24964710248560992,0.5070016421344293,-0.6154072872789963,-0.8554457545410665,-0.19295728733651926,-0.941733975904628,-0.5238857059587301,-0.39853586207631,-0.34289744171978637,-0.32102878368830146,0.0349851397073007,-0.03575496488053633,-0.5963638479928093,-1.1383964926241885
1954,0.3151493074123204,-0.10882198781423286,-0.07230106583123781,-0.8636824593770476,-1.764503599381932,-0.2894421854338344,-0.6724881360659511,-0.5828711254228263,-0.26973505094336925,-0.2958943144734453,0.8786766638433396,-0.5145068495179869,-2.030081346675098,-1.1319638111663097,-1.3358717111592815,-2.5041651378385716,-1.9695904928421042,-1.5957062723055186,-1.9234414339879784,-1.4719211788831412,-1.5062878863122118,-1.5868959693229536,-1.2015899372881413,-1.3532070694982892,0.06136033864170883,0.03881441253822518,-0.48066043771750894,-2.2470015617847903,-1.7342998140302641,-1.5854762825746436,-1.3643674495617528,-1.4620594456624292,-1.5206717425154785,-1.2226882604021883,-0.9359253479913399,-1.0792143508058079,0.4679239512179079,0.4850465793307708,-0.23015146667817318,-1.2940177192247952,-1.163581485017183,-0.9533832974112669,-1.1792621458399684,-1.444307120336284,-1.4311341326419644,-1.0268879508430335,-0.6956011296114719,-0.8446631564438212,0.453454061609806,0.3551450430823956,-0.25534630334366587,-0.5396636747351319,-0.7070765615473095,-0.8748383065330311,-1.3237978442426988,-1.523776578183455,-1.5655934232283908,-1.5393357092575912,-0.9425700357261506,-0.9589830095999087,-1.3922328794180574,-1.5327420573207018,-1.5242483940488358,-1.231559692948613,-1.6461878191382746,-1.507287650561255,-1.9852623101783942,-1.3630566389388539,-0.9354722139126049,-0.5567558817112087,-0.4197295295147595,-0.6857810196531257
1955,-0.13261733998690078,0.718981561707477,0.002259408307226454,-0.5300736648871056,0.34353247911678203,-0.8918494767685067,-0.002845534890986504,-1.2153034955220967,0.11366000665321081,0.06853665984284243,0.1200394035813359,0.7084791160833546,-0.7447635709695659,-1.430574744222359,-1.4229691893635703,-1.1135349335691387,-1.537001565961643,-1.386728151081286,-0.9279795521106051,-1.050916638010824,-1.0760561974415288,-1.4534884892446585,-1.5079392222341264,-1.3532070694982892,-0.6452423110292129,-0.7547715655530093,-1.2465865029855094,-1.6167985281476647,-1.9080149338876031,-1.6286333218858606,-1.2299670739332802,-1.3037696028386625,-1.5321236292117362,-2.1450616750312235,-1.9387946594551764,-1.6904189946663748,-0.6429026419844285,-0.9385542555211946,-1.2241798871777672,-1.616173411086599,-1.4244978316008816,-1.333063096599733,-1.1792621458399684,-1.2517050451175336,-1.2849757531381025,-2.070216226022228,-2.0625908101983295,-1.6761616281969662,-0.6970753229967619,-0.9894979883534163,-1.0354031482191293,-1.3473235961074577,-1.1658818585063793,-1.0543620631787576,-1.0538789872179297,-1.4512419556373994,-1.0664187085758587,-1.7517910769092075,-2.1615785703022197,-1.604554232382003,-1.3644891082702337,-1.8036605784325557,-1.3484174931623034,-1.5477332024511414,-1.0014610732691747,-1.200611623959036,-0.8996312954345685,-1.584092850658668,-1.4708969607373803,-0.9858154602776449,-0.6552419541521592,-1.5407213574873555
1956,-0.41117653965428264,-0.5888012077697254,-0.7382384512871093,-0.4629322722853566,-0.8670625161292761,0.11283650911515787,-0.22097016068087727,-0.08248507435527158,0.7688801315404884,0.8549403412622005,0.13217759974552795,-0.1903562003828743,-1.04507146248955,-0.961328992277135,-0.427569438457416,-0.9434578582268319,-0.8794663971033434,-0.7096390383147743,-0.22429098043866869,-0.12279299108775356,-0.6668114202230774,-1.125100845975006,-0.8754761823456382,-1.292854552376844,-0.7928906258858245,-0.5459331502658444,-0.5162849058695081,-0.8844004079747911,-0.3880076351358986,-0.5065502997942594,-0.7730057967964803,-0.8532523578787059,-0.8450104274361441,-0.8742360815423313,-0.9548474104717892,-0.9150101181268502,-0.8330441309109523,-0.6992936110082597,-0.8824826176310283,-1.4127066583317753,-0.7635097535888503,-0.8843506066497288,-1.068097258800983,-1.182918589682265,-0.8586804795851786,-0.8286555785589891,-0.8303747600918667,-0.6484668878279098,-1.6061355775007191,-1.5395792284862535,-1.4707837128007808,-1.4684725843133033,-1.6246871554654414,-1.390969106889484,-1.4483757782541289,-1.8139150683676835,-1.6300030638287155,-1.0719339004240447,-0.7014474684473682,-0.44790579156408566,-1.5864392774528224,-2.0474872474332244,-1.649841894682073,-2.101036844080567,-1.2641275252899191,-1.17702116037425,-0.8717946027488295,-0.7315246054536706,-0.7346879338533141,-1.4761692643535718,-1.3323401749846833,-1.3395589250557722
1957,1.4455011011039287,-0.7796916049986784,-0.5594975886264076,0.06370802593461429,-1.6484465585153678,-0.6371403535867325,-1.4075681249778829,-0.4508248063911104,-1.081153162258883,0.40739353069833834,-1.016095757387041,-0.8030365481986919,-1.945995137049502,0.03404078457637483,1.152627666106102,1.1975123843174802,1.8198885066307362,1.530606421208997,1.5263488807939523,1.1880620566283298,1.1800368051730266,0.9273219244603196,0.8539149423494452,0.688719759777317,-0.6768812356413451,-0.29532705192124453,0.5346369046144929,0.7507209765972078,1.0451421036871391,1.2772739917359737,1.78060134014446,1.3628054416540476,0.8956763503953655,0.7655388777981734,1.0887353374167856,1.2470122788127624,-0.43274625948668816,-0.2088092897567411,0.3755846020637672,0.8254276219712697,1.0976935187081736,1.1866301161964654,1.5204565393925242,1.265879223813268,0.8952200744611495,0.7467701169615958,1.0372026908507368,1.1826982859205892,-0.2283411292681568,-0.11853602480976944,-0.11021944848311108,0.3891452348430324,0.6474914580461316,-0.13430281036942993,-0.32717437215123524,0.3621236080140264,0.5116174861321349,0.6843638054959607,0.651518047950249,0.7490908506777142,-1.2257702525311156,-0.47615982498447085,-0.3939068883496991,-0.2566913719824824,-0.8104309263449967,-0.4221263256610961,-1.010978066177525,-0.7946778088021889,-1.2701126806780896,-1.292286587825099,-0.831876272630209,-0.5097638912754902
1958,0.9620512504415303,-0.9246948875091332,-0.8853166468479154,0.2997519843001391,-1.566406236523486,-0.8756774689474415,-0.6223194721342763,0.15380833864885152,-0.7525288271761,-0.3933955839177152,-0.3582055252878313,0.65979715046233,0.25225862887678335,0.8445561742999483,0.9659902128111999,0.9874171736005142,0.5134699474517448,0.4857158150878349,0.3335109361305478,-0.24718069634548676,0.1306912225616048,0.2089739548079563,-0.04536844249199824,-0.20650924419080596,1.4112877887592956,1.4449930754718125,1.0511916928184921,0.6485258900614602,0.42266292419834656,0.37097616620045226,0.10059664478857704,0.03560599028553081,-0.20370477244558666,-0.12608875634322628,0.12371015091384802,-0.1852135284425924,1.7088473526331331,1.8488322530545056,1.587056739547648,1.0458499374556587,0.9411437107579508,0.9795320439118448,0.2976427819636895,0.08275219032666374,-0.06698925727259808,0.12077315185407778,0.3729612263402245,0.22974498121473852,1.3625143161137632,1.715068108966344,1.6675845235586448,1.176613658181047,0.887818042167547,0.8081969120206166,0.42029323191736057,0.4165245749235712,0.28618374403099217,0.41525367313724876,0.3434169897606925,0.5876980449821894,-0.920588769905056,-0.882537606652252,-1.649841894682073,-1.8375589194951265,-2.7446111639522974,-2.663220366215772,-1.5677119198923075,-2.152471680795333,-2.2071059876214467,-1.6294048281272986,-1.2145839626659836,-0.15772963452021888
1959,-0.8082960598412529,-0.5273124740469376,-0.6504000844938506,-1.3703901566683743,-1.1932228206335858,-0.10346409549158686,-0.8339003591504702,0.06577745929437422,-0.6186448388090402,-1.6481250349628287,0.4271357665353948,-1.5558259678018478,-0.6967143083263695,-0.1650331707943231,0.6176002999940449,0.22707260148197206,-0.040243878955246275,-0.2833236710173388,-0.26719882017476293,-0.7447315173764094,-0.3729946570918781,-0.0475788914964594,0.2807453124505015,-0.11598046850863641,0.01917510582553518,0.024891851519078547,-0.2491013947295104,0.10348542853746051,-0.28667381521911794,-0.47777894025344975,-0.920846209987802,-0.7801955073446563,-0.6617802402959855,-0.3413092197566682,-0.41556862977897063,-0.35854021849260465,0.5279686319315501,0.6166399338128847,0.3755846020637672,0.3337163028137841,-0.08512725247124882,-0.4183799440093308,-0.9886937680588552,-0.7151706927224445,-0.7247019650399694,-0.3800244202319359,-0.42605386865068584,-0.28410238896978973,0.6381069258059258,0.5079453875637348,0.3070202592409751,0.5304857210831893,0.07944680466823449,-0.6504336107258828,-0.4725152951645741,-0.2544206836274582,-0.26129820107178064,-0.2362761209943663,-0.48711629753289426,-0.4344563910894566,-0.08827563547034785,-0.04269019120550429,0.48524761608296285,0.3493078545640312,-0.5955220110552968,-0.49289771641545427,-0.8161212173773512,-0.7631012071279298,-0.4335115137643779,-0.5261087689564632,-0.7141200603115091,-0.6857810196531257
