Year,y,net_0,net_1,net_2
2001,-4077.2148408953985,3758.090769875193,2794.958714744642,1476.2054033217614
2002,-4739.258881064118,3781.9092475995026,2797.3660949793343,1496.8174338618642
2003,-21426.03332821589,3761.6154245524817,2795.416243665498,1474.0512616192245
2004,-9313.886373213698,3764.294330843798,2796.4838463698447,1474.2872068990714
2005,5470.54399821918,3759.719785960767,2795.3088144863136,1473.490751874823
2006,-9843.145071194615,3778.8446948722267,2797.1236027614477,1482.4908024130143
2007,-6251.1767778027415,3771.5731972718704,2796.4976319460156,1474.3181847442056
2008,-16832.477354922474,3770.663911019326,2797.557831793511,1507.3931756295224
2009,-15994.8076169865,3774.2599755298174,2796.5982612224943,1479.624650985082
2010,-17807.463318062506,3766.721572726729,2796.2011729105775,1499.2846961164362
2011,-1178.014354645852,3767.8989134373755,2793.72635829971,1462.6896050606763
2012,452.086314699465,3762.114221917772,2796.0053263719024,1472.2703568517907
2013,-2621.5770062386578,3778.0588547375405,2797.146622028929,1502.4894232664628
2014,-712.2153603734118,3796.636892243066,2796.452199084927,1469.7683109381471
2015,-8710.316058001303,3754.844178347761,2795.6730272974105,1471.482430811818
