Year,y,net_0,net_1,net_2
2001,3495.115561017837,11330.421171788428,10367.289116657877,9048.535805234997
2002,2833.0715208491174,11354.239649512738,10369.69649689257,9069.1478357751
2003,-13853.702926302654,11333.945826465717,10367.746645578733,9046.38166353246
2004,-1741.5559713004616,11336.624732757035,10368.81424828308,9046.617608812307
2005,13042.874400132418,11332.050187874003,10367.63921639955,9045.821153788058
2006,-2270.8146692813793,11351.175096785464,10369.454004674684,9054.82120432625
2007,1321.153624110494,11343.903599185105,10368.828033859252,9046.648586657442
2008,-9260.146953009236,11342.994312932562,10369.888233706746,9079.723577542758
2009,-8422.477215073264,11346.590377443054,10368.92866313573,9051.955052898318
2010,-10235.132916149269,11339.051974639964,10368.531574823814,9071.615098029672
2011,6394.3160472673835,11340.22931535061,10366.056760212945,9035.020006973913
2012,8024.4167166127,11334.444623831007,10368.335728285138,9044.600758765027
2013,4950.753395674578,11350.389256650777,10369.477023942163,9074.819825179698
2014,6860.115041539823,11368.967294156302,10368.782600998162,9042.098712851383
2015,-1137.9856560880673,11327.174580260998,10368.003429210647,9043.812832725054
