,Arquitetura,FA,Alpha,TA,FV,ACURACIA
98,8,logistic,0.01,0.003,0.1,0.66667
99,8,logistic,0.01,0.001,0.1,0.66667
100,"(7, 5)",logistic,0.01,0.001,0.1,0.66667
101,"(7, 5)",logistic,0.01,0.003,0.1,0.66667
102,"(9, 3)",logistic,0.0001,0.001,0.1,0.66667
103,"(3, 9)",tanh,0.0001,0.001,0.1,0.66667
104,"(8, 4)",tanh,0.0001,0.001,0.1,0.66667
105,5,logistic,0.01,0.003,0.1,0.66667
106,"(4, 8)",logistic,0.0001,0.001,0.1,0.66667
107,7,logistic,0.0001,0.003,0.1,0.66667
108,"(8, 4)",logistic,0.0001,0.001,0.1,0.66667
109,7,logistic,0.01,0.001,0.1,0.66667
110,7,tanh,0.0001,0.001,0.1,0.66667
111,5,logistic,0.01,0.001,0.1,0.66667
112,"(7, 5)",tanh,0.01,0.001,0.1,0.66667
113,5,logistic,0.0001,0.003,0.1,0.66667
114,"(3, 9)",logistic,0.01,0.001,0.1,0.6
115,"(5, 7)",logistic,0.0001,0.003,0.1,0.6
116,"(4, 8)",logistic,0.0001,0.003,0.1,0.6
117,"(4, 8)",logistic,0.01,0.001,0.1,0.6
118,"(4, 8)",logistic,0.01,0.003,0.1,0.6
119,"(7, 5)",logistic,0.0001,0.003,0.1,0.6
120,"(8, 4)",logistic,0.0001,0.003,0.1,0.6
121,"(5, 7)",logistic,0.01,0.003,0.1,0.6
122,"(3, 9)",logistic,0.0001,0.003,0.1,0.6
123,"(9, 3)",logistic,0.01,0.003,0.1,0.6
124,6,logistic,0.01,0.001,0.1,0.6
125,"(8, 4)",logistic,0.01,0.003,0.1,0.6
126,"(8, 4)",logistic,0.01,0.001,0.1,0.6
127,"(3, 9)",logistic,0.0001,0.001,0.1,0.6
128,"(7, 5)",logistic,0.0001,0.001,0.1,0.6
129,"(6, 6)",logistic,0.0001,0.003,0.1,0.6
130,"(6, 6)",logistic,0.01,0.003,0.1,0.53333
131,"(6, 6)",logistic,0.01,0.001,0.1,0.53333
132,"(9, 3)",logistic,0.01,0.001,0.1,0.53333
133,"(5, 7)",logistic,0.0001,0.001,0.1,0.53333
134,"(3, 9)",logistic,0.01,0.003,0.1,0.53333
135,"(6, 6)",logistic,0.0001,0.001,0.1,0.53333
136,"(5, 7)",logistic,0.01,0.001,0.1,0.53333
