,Arquitetura,FA,Alpha,TA,FV,ACURACIA
1,"(9, 3)",tanh,0.01,0.003,0.1,0.86667
2,5,tanh,0.01,0.003,0.1,0.86667
3,7,tanh,0.01,0.001,0.1,0.86667
4,"(7, 5)",tanh,0.0001,0.003,0.1,0.86667
5,5,tanh,0.0001,0.003,0.1,0.8
6,10,tanh,0.01,0.001,0.1,0.8
7,"(9, 3)",tanh,0.0001,0.001,0.1,0.8
8,"(5, 7)",tanh,0.01,0.001,0.1,0.8
9,5,tanh,0.01,0.001,0.1,0.8
10,12,tanh,0.01,0.003,0.1,0.8
11,9,tanh,0.01,0.001,0.1,0.8
12,5,tanh,0.0001,0.001,0.1,0.8
13,"(6, 6)",tanh,0.01,0.001,0.1,0.8
14,"(8, 4)",tanh,0.01,0.001,0.1,0.8
15,8,logistic,0.0001,0.001,0.1,0.8
16,6,tanh,0.01,0.003,0.1,0.8
17,8,tanh,0.01,0.003,0.1,0.8
18,10,tanh,0.0001,0.003,0.1,0.8
19,11,tanh,0.0001,0.001,0.1,0.8
20,11,tanh,0.01,0.003,0.1,0.8
21,3,tanh,0.0001,0.003,0.1,0.8
22,12,tanh,0.0001,0.001,0.1,0.8
23,"(3, 9)",tanh,0.01,0.003,0.1,0.8
24,"(4, 8)",tanh,0.01,0.001,0.1,0.8
25,4,tanh,0.01,0.003,0.1,0.8
26,5,logistic,0.0001,0.001,0.1,0.8
27,11,tanh,0.0001,0.003,0.1,0.8
28,"(4, 8)",tanh,0.0001,0.001,0.1,0.8
29,"(4, 8)",tanh,0.0001,0.003,0.1,0.8
30,6,logistic,0.0001,0.001,0.1,0.73333
31,6,logistic,0.0001,0.003,0.1,0.73333
32,6,logistic,0.01,0.003,0.1,0.73333
33,4,tanh,0.01,0.001,0.1,0.73333
34,6,tanh,0.0001,0.001,0.1,0.73333
35,6,tanh,0.0001,0.003,0.1,0.73333
36,6,tanh,0.01,0.001,0.1,0.73333
37,4,tanh,0.0001,0.003,0.1,0.73333
38,4,logistic,0.01,0.003,0.1,0.73333
39,7,logistic,0.01,0.003,0.1,0.73333
40,7,logistic,0.0001,0.001,0.1,0.73333
41,8,tanh,0.01,0.001,0.1,0.73333
42,7,tanh,0.0001,0.003,0.1,0.73333
43,7,tanh,0.01,0.003,0.1,0.73333
44,12,tanh,0.01,0.001,0.1,0.73333
45,12,tanh,0.0001,0.003,0.1,0.73333
46,12,logistic,0.01,0.001,0.1,0.73333
47,12,logistic,0.0001,0.003,0.1,0.73333
48,12,logistic,0.0001,0.001,0.1,0.73333
49,11,tanh,0.01,0.001,0.1,0.73333
50,11,logistic,0.01,0.001,0.1,0.73333
51,11,logistic,0.0001,0.001,0.1,0.73333
52,10,tanh,0.01,0.003,0.1,0.73333
53,10,tanh,0.0001,0.001,0.1,0.73333
54,10,logistic,0.01,0.001,0.1,0.73333
55,9,tanh,0.01,0.003,0.1,0.73333
56,9,tanh,0.0001,0.003,0.1,0.73333
57,9,tanh,0.0001,0.001,0.1,0.73333
58,9,logistic,0.0001,0.001,0.1,0.73333
59,4,logistic,0.0001,0.001,0.1,0.73333
60,8,tanh,0.0001,0.003,0.1,0.73333
61,8,tanh,0.0001,0.001,0.1,0.73333
62,8,logistic,0.0001,0.003,0.1,0.73333
63,4,logistic,0.0001,0.003,0.1,0.73333
64,4,tanh,0.0001,0.001,0.1,0.73333
65,3,tanh,0.01,0.003,0.1,0.73333
66,"(3, 9)",tanh,0.0001,0.003,0.1,0.73333
67,"(5, 7)",tanh,0.0001,0.003,0.1,0.73333
68,"(5, 7)",tanh,0.01,0.003,0.1,0.73333
69,"(4, 8)",tanh,0.01,0.003,0.1,0.73333
70,"(6, 6)",tanh,0.0001,0.001,0.1,0.73333
71,"(6, 6)",tanh,0.0001,0.003,0.1,0.73333
72,"(6, 6)",tanh,0.01,0.003,0.1,0.73333
73,3,tanh,0.01,0.001,0.1,0.73333
74,"(7, 5)",tanh,0.0001,0.001,0.1,0.73333
75,"(7, 5)",tanh,0.01,0.003,0.1,0.73333
76,"(3, 9)",tanh,0.01,0.001,0.1,0.73333
77,"(8, 4)",tanh,0.0001,0.003,0.1,0.73333
78,"(8, 4)",tanh,0.01,0.003,0.1,0.73333
79,"(5, 7)",tanh,0.0001,0.001,0.1,0.73333
80,"(9, 3)",tanh,0.0001,0.003,0.1,0.73333
81,"(9, 3)",tanh,0.01,0.001,0.1,0.73333
82,3,tanh,0.0001,0.001,0.1,0.73333
83,3,logistic,0.01,0.001,0.1,0.73333
84,12,logistic,0.01,0.003,0.1,0.66667
85,9,logistic,0.01,0.003,0.1,0.66667
86,3,logistic,0.0001,0.001,0.1,0.66667
87,3,logistic,0.0001,0.003,0.1,0.66667
88,3,logistic,0.01,0.003,0.1,0.66667
89,9,logistic,0.0001,0.003,0.1,0.66667
90,9,logistic,0.01,0.001,0.1,0.66667
91,11,logistic,0.0001,0.003,0.1,0.66667
92,11,logistic,0.01,0.003,0.1,0.66667
93,"(9, 3)",logistic,0.0001,0.003,0.1,0.66667
94,10,logistic,0.0001,0.001,0.1,0.66667
95,10,logistic,0.0001,0.003,0.1,0.66667
96,10,logistic,0.01,0.003,0.1,0.66667
97,4,logistic,0.01,0.001,0.1,0.66667
