,Arquitetura,FA,Alpha,TA,FV,ACURACIA
1,7,logistic,0.0001,0.003,0.1,0.93333
2,7,logistic,0.0001,0.001,0.1,0.86667
3,"(5, 7)",tanh,0.01,0.003,0.1,0.86667
4,"(9, 3)",tanh,0.01,0.003,0.1,0.86667
5,10,tanh,0.01,0.003,0.1,0.86667
6,8,logistic,0.01,0.001,0.1,0.86667
7,"(9, 3)",tanh,0.0001,0.001,0.1,0.86667
8,"(4, 8)",tanh,0.01,0.001,0.1,0.86667
9,4,tanh,0.01,0.003,0.1,0.86667
10,"(8, 4)",tanh,0.01,0.003,0.1,0.86667
11,7,tanh,0.0001,0.001,0.1,0.86667
12,"(3, 9)",tanh,0.0001,0.003,0.1,0.86667
13,6,tanh,0.0001,0.001,0.1,0.86667
14,"(8, 4)",tanh,0.01,0.001,0.1,0.8
15,9,tanh,0.0001,0.003,0.1,0.8
16,9,logistic,0.01,0.001,0.1,0.8
17,"(8, 4)",tanh,0.0001,0.001,0.1,0.8
18,"(9, 3)",tanh,0.0001,0.003,0.1,0.8
19,6,tanh,0.01,0.003,0.1,0.8
20,"(9, 3)",tanh,0.01,0.001,0.1,0.8
21,9,tanh,0.01,0.003,0.1,0.8
22,3,tanh,0.0001,0.001,0.1,0.8
23,4,logistic,0.0001,0.001,0.1,0.8
24,8,tanh,0.0001,0.001,0.1,0.8
25,3,tanh,0.01,0.001,0.1,0.8
26,3,tanh,0.01,0.003,0.1,0.8
27,"(7, 5)",tanh,0.01,0.001,0.1,0.8
28,4,logistic,0.01,0.001,0.1,0.8
29,8,logistic,0.0001,0.003,0.1,0.8
30,4,tanh,0.0001,0.003,0.1,0.8
31,4,tanh,0.01,0.001,0.1,0.8
32,5,logistic,0.01,0.001,0.1,0.8
33,7,tanh,0.01,0.001,0.1,0.8
34,5,tanh,0.01,0.003,0.1,0.8
35,6,logistic,0.01,0.001,0.1,0.8
36,6,logistic,0.01,0.003,0.1,0.8
37,6,tanh,0.0001,0.003,0.1,0.8
38,"(7, 5)",tanh,0.01,0.003,0.1,0.8
39,12,tanh,0.01,0.003,0.1,0.8
40,"(7, 5)",tanh,0.0001,0.003,0.1,0.8
41,"(5, 7)",tanh,0.01,0.001,0.1,0.8
42,11,tanh,0.0001,0.001,0.1,0.8
43,11,tanh,0.0001,0.003,0.1,0.8
44,11,tanh,0.01,0.001,0.1,0.8
45,11,tanh,0.01,0.003,0.1,0.8
46,"(4, 8)",tanh,0.0001,0.003,0.1,0.8
47,"(4, 8)",tanh,0.0001,0.001,0.1,0.8
48,12,logistic,0.0001,0.003,0.1,0.8
49,12,logistic,0.01,0.001,0.1,0.8
50,12,logistic,0.01,0.003,0.1,0.8
51,12,tanh,0.0001,0.001,0.1,0.8
52,"(3, 9)",tanh,0.01,0.003,0.1,0.8
53,"(3, 9)",tanh,0.01,0.001,0.1,0.8
54,"(3, 9)",tanh,0.0001,0.001,0.1,0.8
55,12,tanh,0.0001,0.003,0.1,0.8
56,12,tanh,0.01,0.001,0.1,0.8
57,"(5, 7)",tanh,0.0001,0.003,0.1,0.8
58,9,tanh,0.01,0.001,0.1,0.8
59,"(7, 5)",tanh,0.0001,0.001,0.1,0.8
60,11,logistic,0.0001,0.001,0.1,0.8
61,"(6, 6)",tanh,0.0001,0.001,0.1,0.8
62,"(6, 6)",tanh,0.0001,0.003,0.1,0.8
63,10,tanh,0.0001,0.003,0.1,0.8
64,10,tanh,0.01,0.001,0.1,0.8
65,"(6, 6)",tanh,0.01,0.003,0.1,0.8
66,8,tanh,0.01,0.001,0.1,0.73333
67,9,tanh,0.0001,0.001,0.1,0.73333
68,10,logistic,0.0001,0.001,0.1,0.73333
69,10,logistic,0.01,0.001,0.1,0.73333
70,10,logistic,0.01,0.003,0.1,0.73333
