,Arquitetura,FA,Alpha,TA,FV,MSE,MAE
81,"(8, 4)",logistic,0.01,0.003,0.1,80095.83544,282.57537
82,10,logistic,0.0001,0.001,0.2,80103.56853,282.51379
83,12,logistic,0.01,0.003,0.2,80106.96018,282.36607
84,6,logistic,0.0001,0.003,0.2,80114.00765,282.45894
85,"(3, 9)",logistic,0.01,0.001,0.1,80132.64052,282.57555
86,4,tanh,0.01,0.003,0.1,80136.43611,277.35221
87,"(4, 8)",logistic,0.0001,0.001,0.2,80153.22488,282.76131
88,5,logistic,0.01,0.001,0.2,80159.88949,282.61446
89,"(6, 6)",tanh,0.0001,0.003,0.2,80175.01153,280.15661
90,"(5, 7)",tanh,0.0001,0.003,0.1,80180.35133,279.82801
91,3,logistic,0.01,0.001,0.2,80204.9196,282.60137
92,"(8, 4)",logistic,0.0001,0.001,0.2,80210.89206,282.74625
93,"(3, 9)",tanh,0.0001,0.003,0.2,80245.32436,281.76771
94,"(5, 7)",logistic,0.01,0.001,0.1,80281.05934,282.82942
95,10,logistic,0.0001,0.003,0.2,80281.89193,282.72283
96,"(4, 8)",tanh,0.01,0.001,0.1,80298.99375,280.49859
97,4,logistic,0.01,0.001,0.2,80304.22388,282.94771
98,"(7, 5)",logistic,0.01,0.003,0.2,80328.63067,283.1069
99,"(3, 9)",tanh,0.0001,0.001,0.1,80332.04736,280.95126
100,4,logistic,0.01,0.001,0.1,80342.67753,282.88592
101,"(7, 5)",tanh,0.01,0.001,0.2,80355.44125,280.37948
102,11,logistic,0.0001,0.003,0.1,80359.14457,282.89544
103,"(8, 4)",logistic,0.01,0.003,0.2,80365.14085,283.1106
104,10,logistic,0.01,0.001,0.2,80371.40902,282.95918
105,"(9, 3)",logistic,0.01,0.003,0.1,80378.99765,283.02334
106,7,logistic,0.01,0.003,0.2,80381.69472,282.93261
107,8,logistic,0.01,0.003,0.1,80386.68324,282.71559
108,"(8, 4)",logistic,0.0001,0.003,0.2,80437.6099,283.1903
109,"(6, 6)",logistic,0.0001,0.001,0.2,80454.27316,283.33043
110,11,logistic,0.01,0.001,0.2,80475.0849,283.10333
