,Arquitetura,FA,Alpha,TA,FV,ACURACIA
1,8,tanh,0.0001,0.001,0.1,0.93333
2,12,tanh,0.01,0.003,0.1,0.86667
3,9,tanh,0.0001,0.003,0.1,0.86667
4,"(8, 4)",tanh,0.01,0.003,0.1,0.86667
5,"(6, 6)",logistic,0.01,0.003,0.1,0.86667
6,6,tanh,0.01,0.003,0.1,0.86667
7,7,logistic,0.0001,0.001,0.1,0.86667
8,"(5, 7)",tanh,0.01,0.003,0.1,0.86667
9,"(5, 7)",logistic,0.0001,0.003,0.1,0.86667
10,"(4, 8)",tanh,0.01,0.003,0.1,0.86667
11,"(4, 8)",tanh,0.01,0.001,0.1,0.86667
12,8,logistic,0.01,0.001,0.1,0.86667
13,11,logistic,0.0001,0.001,0.1,0.86667
14,11,tanh,0.0001,0.003,0.1,0.86667
15,9,logistic,0.01,0.003,0.1,0.8
16,12,tanh,0.0001,0.003,0.1,0.8
17,12,tanh,0.01,0.001,0.1,0.8
18,"(9, 3)",logistic,0.0001,0.003,0.1,0.8
19,"(9, 3)",tanh,0.0001,0.001,0.1,0.8
20,"(9, 3)",tanh,0.01,0.001,0.1,0.8
21,"(9, 3)",tanh,0.01,0.003,0.1,0.8
22,4,logistic,0.0001,0.003,0.1,0.8
23,4,logistic,0.01,0.001,0.1,0.8
24,5,tanh,0.01,0.001,0.1,0.8
25,5,tanh,0.01,0.003,0.1,0.8
26,6,logistic,0.01,0.003,0.1,0.8
27,6,tanh,0.0001,0.001,0.1,0.8
28,6,tanh,0.01,0.001,0.1,0.8
29,9,logistic,0.01,0.001,0.1,0.8
30,12,logistic,0.01,0.001,0.1,0.8
31,11,tanh,0.01,0.003,0.1,0.8
32,11,tanh,0.01,0.001,0.1,0.8
33,7,logistic,0.0001,0.003,0.1,0.8
34,7,logistic,0.01,0.001,0.1,0.8
35,"(8, 4)",logistic,0.01,0.003,0.1,0.8
36,8,logistic,0.01,0.003,0.1,0.8
37,11,logistic,0.01,0.003,0.1,0.8
38,8,tanh,0.0001,0.003,0.1,0.8
39,10,logistic,0.0001,0.001,0.1,0.8
40,"(8, 4)",tanh,0.0001,0.001,0.1,0.8
41,"(3, 9)",logistic,0.0001,0.001,0.1,0.8
42,4,tanh,0.0001,0.001,0.1,0.8
43,"(3, 9)",tanh,0.0001,0.003,0.1,0.8
44,"(5, 7)",tanh,0.0001,0.003,0.1,0.8
45,"(5, 7)",logistic,0.01,0.001,0.1,0.8
46,"(6, 6)",tanh,0.01,0.003,0.1,0.8
47,"(4, 8)",logistic,0.0001,0.003,0.1,0.8
48,"(5, 7)",tanh,0.0001,0.001,0.1,0.8
49,"(4, 8)",logistic,0.01,0.003,0.1,0.8
50,"(3, 9)",tanh,0.01,0.001,0.1,0.8
51,"(4, 8)",logistic,0.0001,0.001,0.1,0.8
52,"(7, 5)",tanh,0.01,0.003,0.1,0.8
53,"(3, 9)",tanh,0.0001,0.001,0.1,0.8
54,"(6, 6)",logistic,0.0001,0.003,0.1,0.8
55,"(7, 5)",tanh,0.0001,0.003,0.1,0.8
56,"(5, 7)",logistic,0.0001,0.001,0.1,0.73333
57,"(4, 8)",tanh,0.0001,0.001,0.1,0.73333
58,"(4, 8)",tanh,0.0001,0.003,0.1,0.73333
59,9,logistic,0.0001,0.001,0.1,0.73333
60,8,tanh,0.01,0.003,0.1,0.73333
61,8,tanh,0.01,0.001,0.1,0.73333
62,7,tanh,0.01,0.003,0.1,0.73333
63,7,tanh,0.0001,0.001,0.1,0.73333
64,7,tanh,0.0001,0.003,0.1,0.73333
65,"(5, 7)",logistic,0.01,0.003,0.1,0.73333
66,7,tanh,0.01,0.001,0.1,0.73333
67,8,logistic,0.0001,0.003,0.1,0.73333
68,8,logistic,0.0001,0.001,0.1,0.73333
69,9,tanh,0.0001,0.001,0.1,0.73333
70,10,logistic,0.0001,0.003,0.1,0.73333
71,9,tanh,0.01,0.001,0.1,0.73333
72,11,logistic,0.01,0.001,0.1,0.73333
73,"(3, 9)",logistic,0.01,0.001,0.1,0.73333
74,"(3, 9)",logistic,0.01,0.003,0.1,0.73333
75,12,tanh,0.0001,0.001,0.1,0.73333
76,12,logistic,0.01,0.003,0.1,0.73333
77,12,logistic,0.0001,0.001,0.1,0.73333
78,"(3, 9)",tanh,0.01,0.003,0.1,0.73333
79,11,tanh,0.0001,0.001,0.1,0.73333
80,11,logistic,0.0001,0.003,0.1,0.73333
81,9,tanh,0.01,0.003,0.1,0.73333
82,10,tanh,0.01,0.003,0.1,0.73333
83,10,tanh,0.01,0.001,0.1,0.73333
84,10,tanh,0.0001,0.003,0.1,0.73333
85,10,tanh,0.0001,0.001,0.1,0.73333
86,10,logistic,0.01,0.003,0.1,0.73333
87,10,logistic,0.01,0.001,0.1,0.73333
88,"(4, 8)",logistic,0.01,0.001,0.1,0.73333
89,7,logistic,0.01,0.003,0.1,0.73333
90,"(8, 4)",logistic,0.0001,0.003,0.1,0.73333
91,"(5, 7)",tanh,0.01,0.001,0.1,0.73333
92,4,tanh,0.01,0.001,0.1,0.73333
93,"(7, 5)",logistic,0.0001,0.001,0.1,0.73333
94,"(8, 4)",logistic,0.01,0.001,0.1,0.73333
95,4,logistic,0.0001,0.001,0.1,0.73333
96,3,tanh,0.01,0.001,0.1,0.73333
97,3,tanh,0.0001,0.003,0.1,0.73333
98,3,tanh,0.0001,0.001,0.1,0.73333
99,3,logistic,0.01,0.003,0.1,0.73333
100,3,logistic,0.01,0.001,0.1,0.73333
101,3,logistic,0.0001,0.003,0.1,0.73333
102,3,logistic,0.0001,0.001,0.1,0.73333
103,"(7, 5)",tanh,0.0001,0.001,0.1,0.73333
104,"(9, 3)",logistic,0.01,0.001,0.1,0.73333
105,"(7, 5)",tanh,0.01,0.001,0.1,0.73333
106,"(8, 4)",tanh,0.01,0.001,0.1,0.73333
107,"(8, 4)",tanh,0.0001,0.003,0.1,0.73333
108,4,logistic,0.01,0.003,0.1,0.73333
109,"(7, 5)",logistic,0.0001,0.003,0.1,0.73333
110,6,logistic,0.0001,0.003,0.1,0.73333
111,5,logistic,0.01,0.003,0.1,0.73333
112,"(6, 6)",tanh,0.0001,0.001,0.1,0.73333
113,6,tanh,0.0001,0.003,0.1,0.73333
114,6,logistic,0.0001,0.001,0.1,0.73333
115,"(6, 6)",tanh,0.01,0.001,0.1,0.73333
116,5,tanh,0.0001,0.003,0.1,0.73333
117,5,tanh,0.0001,0.001,0.1,0.73333
118,5,logistic,0.01,0.001,0.1,0.73333
119,"(6, 6)",logistic,0.01,0.001,0.1,0.73333
120,5,logistic,0.0001,0.003,0.1,0.73333
121,5,logistic,0.0001,0.001,0.1,0.73333
122,4,tanh,0.01,0.003,0.1,0.73333
123,"(6, 6)",tanh,0.0001,0.003,0.1,0.73333
124,"(9, 3)",logistic,0.01,0.003,0.1,0.66667
125,"(8, 4)",logistic,0.0001,0.001,0.1,0.66667
126,"(9, 3)",logistic,0.0001,0.001,0.1,0.66667
127,12,logistic,0.0001,0.003,0.1,0.66667
128,4,tanh,0.0001,0.003,0.1,0.66667
129,6,logistic,0.01,0.001,0.1,0.66667
130,"(9, 3)",tanh,0.0001,0.003,0.1,0.66667
131,"(7, 5)",logistic,0.01,0.001,0.1,0.66667
132,"(3, 9)",logistic,0.0001,0.003,0.1,0.66667
133,3,tanh,0.01,0.003,0.1,0.66667
134,9,logistic,0.0001,0.003,0.1,0.66667
135,"(6, 6)",logistic,0.0001,0.001,0.1,0.66667
136,"(7, 5)",logistic,0.01,0.003,0.1,0.6
