,Arquitetura,FA,Alpha,TA,FV,ACURACIA
114,5,logistic,0.0001,0.003,0.1,0.66667
115,8,logistic,0.0001,0.001,0.1,0.66667
116,7,logistic,0.0001,0.003,0.1,0.66667
117,7,logistic,0.0001,0.001,0.1,0.66667
118,6,logistic,0.01,0.003,0.1,0.66667
119,4,tanh,0.01,0.001,0.1,0.66667
120,4,logistic,0.0001,0.001,0.1,0.66667
121,4,logistic,0.0001,0.003,0.1,0.66667
122,"(8, 4)",logistic,0.0001,0.003,0.1,0.6
123,"(5, 7)",logistic,0.01,0.001,0.1,0.6
124,"(9, 3)",logistic,0.01,0.001,0.1,0.6
125,"(4, 8)",logistic,0.0001,0.001,0.1,0.6
126,"(4, 8)",logistic,0.01,0.003,0.1,0.6
127,"(9, 3)",logistic,0.0001,0.001,0.1,0.6
128,"(5, 7)",logistic,0.01,0.003,0.1,0.6
129,"(7, 5)",logistic,0.01,0.001,0.1,0.6
130,"(8, 4)",logistic,0.01,0.003,0.1,0.6
131,"(9, 3)",logistic,0.01,0.003,0.1,0.6
132,"(6, 6)",logistic,0.01,0.003,0.1,0.6
133,"(3, 9)",logistic,0.0001,0.003,0.1,0.6
134,"(3, 9)",logistic,0.0001,0.001,0.1,0.6
135,"(6, 6)",logistic,0.01,0.001,0.1,0.53333
136,"(4, 8)",logistic,0.01,0.001,0.1,0.53333
