,Arquitetura,FA,Alpha,TA,FV,ACURACIA
1,5,tanh,0.01,0.003,0.1,0.86667
2,10,tanh,0.0001,0.001,0.1,0.86667
3,"(3, 9)",tanh,0.01,0.001,0.1,0.86667
4,"(6, 6)",tanh,0.01,0.001,0.1,0.86667
5,"(7, 5)",tanh,0.0001,0.003,0.1,0.86667
6,"(7, 5)",tanh,0.01,0.003,0.1,0.8
7,6,tanh,0.0001,0.001,0.1,0.8
8,11,tanh,0.0001,0.003,0.1,0.8
9,"(6, 6)",tanh,0.0001,0.003,0.1,0.8
10,"(7, 5)",logistic,0.0001,0.001,0.1,0.8
11,10,tanh,0.01,0.001,0.1,0.8
12,10,tanh,0.01,0.003,0.1,0.8
13,11,tanh,0.01,0.003,0.1,0.8
14,9,tanh,0.0001,0.001,0.1,0.8
15,4,logistic,0.01,0.003,0.1,0.8
16,9,tanh,0.0001,0.003,0.1,0.8
17,3,tanh,0.01,0.003,0.1,0.8
18,"(9, 3)",tanh,0.01,0.003,0.1,0.8
19,"(5, 7)",tanh,0.0001,0.003,0.1,0.8
20,4,tanh,0.0001,0.001,0.1,0.8
21,3,logistic,0.01,0.001,0.1,0.8
22,8,tanh,0.0001,0.003,0.1,0.8
23,12,tanh,0.0001,0.001,0.1,0.8
24,7,tanh,0.01,0.003,0.1,0.8
25,12,tanh,0.0001,0.003,0.1,0.8
26,8,tanh,0.01,0.001,0.1,0.8
27,"(3, 9)",tanh,0.0001,0.003,0.1,0.8
28,7,tanh,0.01,0.001,0.1,0.8
29,"(3, 9)",tanh,0.0001,0.001,0.1,0.8
30,12,tanh,0.01,0.001,0.1,0.8
31,6,tanh,0.01,0.003,0.1,0.8
32,3,tanh,0.01,0.001,0.1,0.73333
33,9,tanh,0.01,0.003,0.1,0.73333
34,4,logistic,0.01,0.001,0.1,0.73333
35,3,tanh,0.0001,0.001,0.1,0.73333
36,3,logistic,0.01,0.003,0.1,0.73333
37,4,tanh,0.0001,0.003,0.1,0.73333
38,4,tanh,0.01,0.003,0.1,0.73333
39,5,logistic,0.0001,0.001,0.1,0.73333
40,6,tanh,0.0001,0.003,0.1,0.73333
41,6,tanh,0.01,0.001,0.1,0.73333
42,7,logistic,0.01,0.001,0.1,0.73333
43,9,logistic,0.0001,0.003,0.1,0.73333
44,8,tanh,0.01,0.003,0.1,0.73333
45,6,logistic,0.01,0.001,0.1,0.73333
46,6,logistic,0.0001,0.003,0.1,0.73333
47,6,logistic,0.0001,0.001,0.1,0.73333
48,3,logistic,0.0001,0.003,0.1,0.73333
49,7,logistic,0.01,0.003,0.1,0.73333
50,7,tanh,0.0001,0.003,0.1,0.73333
51,5,tanh,0.01,0.001,0.1,0.73333
52,7,tanh,0.0001,0.001,0.1,0.73333
53,5,tanh,0.0001,0.003,0.1,0.73333
54,5,tanh,0.0001,0.001,0.1,0.73333
55,5,logistic,0.01,0.003,0.1,0.73333
56,5,logistic,0.01,0.001,0.1,0.73333
57,9,logistic,0.01,0.001,0.1,0.73333
58,10,logistic,0.01,0.003,0.1,0.73333
59,"(6, 6)",tanh,0.01,0.003,0.1,0.73333
60,"(5, 7)",logistic,0.0001,0.001,0.1,0.73333
61,11,logistic,0.01,0.003,0.1,0.73333
62,11,tanh,0.0001,0.001,0.1,0.73333
63,"(5, 7)",tanh,0.01,0.003,0.1,0.73333
64,"(5, 7)",tanh,0.01,0.001,0.1,0.73333
65,11,tanh,0.01,0.001,0.1,0.73333
66,12,logistic,0.0001,0.001,0.1,0.73333
67,12,logistic,0.0001,0.003,0.1,0.73333
68,"(4, 8)",tanh,0.01,0.003,0.1,0.73333
69,"(9, 3)",tanh,0.01,0.001,0.1,0.73333
70,"(4, 8)",tanh,0.01,0.001,0.1,0.73333
71,"(4, 8)",tanh,0.0001,0.003,0.1,0.73333
72,12,logistic,0.01,0.001,0.1,0.73333
73,12,logistic,0.01,0.003,0.1,0.73333
74,"(4, 8)",logistic,0.0001,0.003,0.1,0.73333
75,"(3, 9)",tanh,0.01,0.003,0.1,0.73333
76,"(3, 9)",logistic,0.01,0.003,0.1,0.73333
77,"(6, 6)",tanh,0.0001,0.001,0.1,0.73333
78,8,tanh,0.0001,0.001,0.1,0.73333
79,10,logistic,0.01,0.001,0.1,0.73333
80,"(9, 3)",tanh,0.0001,0.003,0.1,0.73333
81,"(7, 5)",logistic,0.01,0.003,0.1,0.73333
82,"(7, 5)",tanh,0.0001,0.001,0.1,0.73333
83,"(7, 5)",tanh,0.01,0.001,0.1,0.73333
84,"(8, 4)",logistic,0.0001,0.001,0.1,0.73333
85,10,tanh,0.0001,0.003,0.1,0.73333
86,"(9, 3)",tanh,0.0001,0.001,0.1,0.73333
87,"(8, 4)",tanh,0.0001,0.001,0.1,0.73333
88,11,logistic,0.0001,0.001,0.1,0.73333
89,"(8, 4)",tanh,0.0001,0.003,0.1,0.73333
90,"(8, 4)",tanh,0.01,0.001,0.1,0.73333
91,"(8, 4)",tanh,0.01,0.003,0.1,0.73333
92,11,logistic,0.0001,0.003,0.1,0.66667
93,10,logistic,0.0001,0.003,0.1,0.66667
94,9,logistic,0.0001,0.001,0.1,0.66667
95,9,tanh,0.01,0.001,0.1,0.66667
96,8,logistic,0.01,0.003,0.1,0.66667
97,9,logistic,0.01,0.003,0.1,0.66667
98,11,logistic,0.01,0.001,0.1,0.66667
99,10,logistic,0.0001,0.001,0.1,0.66667
100,12,tanh,0.01,0.003,0.1,0.66667
101,8,logistic,0.01,0.001,0.1,0.66667
102,3,logistic,0.0001,0.001,0.1,0.66667
103,"(3, 9)",logistic,0.01,0.001,0.1,0.66667
104,"(4, 8)",tanh,0.0001,0.001,0.1,0.66667
105,"(5, 7)",logistic,0.0001,0.003,0.1,0.66667
106,"(5, 7)",tanh,0.0001,0.001,0.1,0.66667
107,"(6, 6)",logistic,0.0001,0.001,0.1,0.66667
108,"(6, 6)",logistic,0.0001,0.003,0.1,0.66667
109,"(7, 5)",logistic,0.0001,0.003,0.1,0.66667
110,8,logistic,0.0001,0.003,0.1,0.66667
111,"(9, 3)",logistic,0.0001,0.003,0.1,0.66667
112,"(8, 4)",logistic,0.01,0.001,0.1,0.66667
113,3,tanh,0.0001,0.003,0.1,0.66667
