,Arquitetura,FA,Alpha,TA,FV,ACURACIA
1,4,tanh,0.0001,0.001,0.1,0.86667
2,10,tanh,0.01,0.003,0.1,0.86667
3,5,tanh,0.0001,0.003,0.1,0.86667
4,5,tanh,0.01,0.001,0.1,0.86667
5,6,tanh,0.01,0.003,0.1,0.86667
6,"(6, 6)",tanh,0.0001,0.001,0.1,0.86667
7,"(5, 7)",tanh,0.01,0.003,0.1,0.86667
8,10,logistic,0.01,0.001,0.1,0.86667
9,10,tanh,0.0001,0.003,0.1,0.86667
10,"(4, 8)",tanh,0.01,0.001,0.1,0.86667
11,10,tanh,0.01,0.001,0.1,0.86667
12,"(9, 3)",tanh,0.01,0.001,0.1,0.86667
13,11,tanh,0.01,0.003,0.1,0.86667
14,"(3, 9)",tanh,0.01,0.003,0.1,0.86667
15,5,logistic,0.0001,0.003,0.1,0.8
16,6,tanh,0.0001,0.003,0.1,0.8
17,6,tanh,0.0001,0.001,0.1,0.8
18,6,logistic,0.01,0.001,0.1,0.8
19,6,logistic,0.0001,0.003,0.1,0.8
20,5,tanh,0.01,0.003,0.1,0.8
21,12,tanh,0.0001,0.001,0.1,0.8
22,12,tanh,0.01,0.001,0.1,0.8
23,5,tanh,0.0001,0.001,0.1,0.8
24,11,logistic,0.0001,0.001,0.1,0.8
25,12,logistic,0.01,0.003,0.1,0.8
26,4,tanh,0.01,0.003,0.1,0.8
27,4,tanh,0.01,0.001,0.1,0.8
28,4,tanh,0.0001,0.003,0.1,0.8
29,3,tanh,0.01,0.001,0.1,0.8
30,3,tanh,0.0001,0.003,0.1,0.8
31,3,tanh,0.0001,0.001,0.1,0.8
32,3,logistic,0.01,0.003,0.1,0.8
33,3,logistic,0.0001,0.003,0.1,0.8
34,6,tanh,0.01,0.001,0.1,0.8
35,7,logistic,0.0001,0.003,0.1,0.8
36,7,logistic,0.0001,0.001,0.1,0.8
37,11,logistic,0.01,0.001,0.1,0.8
38,11,tanh,0.0001,0.003,0.1,0.8
39,11,tanh,0.01,0.001,0.1,0.8
40,10,tanh,0.0001,0.001,0.1,0.8
41,10,logistic,0.01,0.003,0.1,0.8
42,9,tanh,0.01,0.003,0.1,0.8
43,9,tanh,0.01,0.001,0.1,0.8
44,9,tanh,0.0001,0.003,0.1,0.8
45,9,tanh,0.0001,0.001,0.1,0.8
46,9,logistic,0.0001,0.003,0.1,0.8
47,9,logistic,0.0001,0.001,0.1,0.8
48,8,tanh,0.01,0.003,0.1,0.8
49,"(9, 3)",tanh,0.01,0.003,0.1,0.8
50,12,logistic,0.01,0.001,0.1,0.8
