,Arquitetura,FA,Alpha,TA,FV,ACURACIA
1,"(8, 4)",tanh,0.0001,0.003,0.1,1.0
2,9,tanh,0.0001,0.003,0.1,0.93333
3,"(9, 3)",tanh,0.01,0.001,0.1,0.93333
4,9,tanh,0.01,0.003,0.1,0.93333
5,11,tanh,0.01,0.003,0.1,0.93333
6,11,tanh,0.0001,0.003,0.1,0.93333
7,6,tanh,0.01,0.001,0.1,0.93333
8,"(4, 8)",tanh,0.01,0.001,0.1,0.93333
9,"(8, 4)",tanh,0.0001,0.001,0.1,0.86667
10,8,tanh,0.0001,0.003,0.1,0.86667
11,8,tanh,0.0001,0.001,0.1,0.86667
12,"(6, 6)",tanh,0.01,0.003,0.1,0.86667
13,7,tanh,0.01,0.003,0.1,0.86667
14,"(7, 5)",tanh,0.0001,0.003,0.1,0.86667
15,6,tanh,0.01,0.003,0.1,0.86667
16,12,tanh,0.01,0.003,0.1,0.86667
17,8,tanh,0.01,0.001,0.1,0.86667
18,"(8, 4)",tanh,0.01,0.001,0.1,0.86667
19,"(8, 4)",tanh,0.01,0.003,0.1,0.86667
20,5,tanh,0.01,0.003,0.1,0.86667
21,"(9, 3)",tanh,0.0001,0.001,0.1,0.86667
22,5,tanh,0.0001,0.003,0.1,0.86667
23,5,tanh,0.0001,0.001,0.1,0.86667
24,4,tanh,0.01,0.003,0.1,0.86667
25,3,tanh,0.01,0.001,0.1,0.86667
26,"(6, 6)",tanh,0.0001,0.001,0.1,0.86667
27,8,logistic,0.0001,0.003,0.1,0.86667
28,8,tanh,0.01,0.003,0.1,0.86667
29,10,tanh,0.0001,0.001,0.1,0.86667
30,9,tanh,0.0001,0.001,0.1,0.86667
31,10,tanh,0.01,0.001,0.1,0.86667
32,10,tanh,0.0001,0.003,0.1,0.86667
33,"(4, 8)",tanh,0.0001,0.003,0.1,0.86667
34,4,tanh,0.0001,0.003,0.1,0.86667
35,9,tanh,0.01,0.001,0.1,0.86667
36,"(5, 7)",tanh,0.01,0.003,0.1,0.86667
37,"(5, 7)",tanh,0.01,0.001,0.1,0.86667
38,5,logistic,0.01,0.003,0.1,0.8
39,12,logistic,0.0001,0.001,0.1,0.8
40,12,logistic,0.0001,0.003,0.1,0.8
41,12,logistic,0.01,0.001,0.1,0.8
42,12,tanh,0.0001,0.001,0.1,0.8
43,5,logistic,0.0001,0.003,0.1,0.8
44,5,logistic,0.01,0.001,0.1,0.8
45,11,tanh,0.01,0.001,0.1,0.8
46,5,logistic,0.0001,0.001,0.1,0.8
47,12,tanh,0.0001,0.003,0.1,0.8
48,4,tanh,0.01,0.001,0.1,0.8
49,12,tanh,0.01,0.001,0.1,0.8
50,5,tanh,0.01,0.001,0.1,0.8
51,8,logistic,0.0001,0.001,0.1,0.8
52,6,logistic,0.0001,0.003,0.1,0.8
53,4,logistic,0.0001,0.001,0.1,0.8
54,11,tanh,0.0001,0.001,0.1,0.8
55,11,logistic,0.01,0.001,0.1,0.8
56,11,logistic,0.0001,0.003,0.1,0.8
57,6,tanh,0.0001,0.001,0.1,0.8
58,6,tanh,0.0001,0.003,0.1,0.8
59,10,tanh,0.01,0.003,0.1,0.8
60,7,logistic,0.0001,0.001,0.1,0.8
61,7,tanh,0.0001,0.001,0.1,0.8
62,7,tanh,0.0001,0.003,0.1,0.8
63,7,tanh,0.01,0.001,0.1,0.8
64,6,logistic,0.01,0.001,0.1,0.8
65,4,tanh,0.0001,0.001,0.1,0.8
66,"(6, 6)",tanh,0.01,0.001,0.1,0.8
67,3,logistic,0.0001,0.001,0.1,0.8
68,"(5, 7)",tanh,0.0001,0.003,0.1,0.8
69,"(5, 7)",tanh,0.0001,0.001,0.1,0.8
70,"(7, 5)",tanh,0.01,0.001,0.1,0.8
71,"(7, 5)",tanh,0.0001,0.001,0.1,0.8
72,"(4, 8)",tanh,0.01,0.003,0.1,0.8
73,"(4, 8)",tanh,0.0001,0.001,0.1,0.8
74,"(9, 3)",tanh,0.0001,0.003,0.1,0.8
75,"(7, 5)",tanh,0.01,0.003,0.1,0.8
76,"(9, 3)",tanh,0.01,0.003,0.1,0.8
77,"(6, 6)",tanh,0.0001,0.003,0.1,0.8
78,"(3, 9)",tanh,0.01,0.003,0.1,0.8
79,"(3, 9)",tanh,0.01,0.001,0.1,0.8
80,3,tanh,0.0001,0.001,0.1,0.8
81,3,tanh,0.0001,0.003,0.1,0.8
82,"(3, 9)",tanh,0.0001,0.003,0.1,0.8
83,"(3, 9)",tanh,0.0001,0.001,0.1,0.8
84,9,logistic,0.0001,0.001,0.1,0.73333
85,9,logistic,0.0001,0.003,0.1,0.73333
86,9,logistic,0.01,0.001,0.1,0.73333
87,4,logistic,0.01,0.001,0.1,0.73333
88,9,logistic,0.01,0.003,0.1,0.73333
89,10,logistic,0.01,0.003,0.1,0.73333
90,"(6, 6)",logistic,0.0001,0.003,0.1,0.73333
91,10,logistic,0.0001,0.001,0.1,0.73333
92,10,logistic,0.0001,0.003,0.1,0.73333
93,10,logistic,0.01,0.001,0.1,0.73333
94,8,logistic,0.01,0.001,0.1,0.73333
