,Arquitetura,FA,Alpha,TA,FV,ACURACIA
117,"(3, 9)",logistic,0.0001,0.003,0.1,0.73333
118,"(5, 7)",logistic,0.01,0.003,0.1,0.73333
119,"(7, 5)",logistic,0.0001,0.001,0.1,0.73333
120,3,logistic,0.0001,0.001,0.1,0.73333
121,"(9, 3)",logistic,0.0001,0.001,0.1,0.66667
122,"(5, 7)",logistic,0.0001,0.003,0.1,0.66667
123,"(5, 7)",logistic,0.01,0.001,0.1,0.66667
124,"(4, 8)",logistic,0.0001,0.003,0.1,0.66667
125,"(6, 6)",logistic,0.0001,0.001,0.1,0.66667
126,"(8, 4)",logistic,0.0001,0.003,0.1,0.66667
127,"(3, 9)",logistic,0.01,0.001,0.1,0.66667
128,"(5, 7)",logistic,0.0001,0.001,0.1,0.6
129,"(7, 5)",logistic,0.0001,0.003,0.1,0.6
130,"(9, 3)",logistic,0.0001,0.003,0.1,0.6
131,"(4, 8)",logistic,0.01,0.001,0.1,0.6
132,"(9, 3)",logistic,0.01,0.001,0.1,0.6
133,"(8, 4)",logistic,0.01,0.003,0.1,0.6
134,"(9, 3)",logistic,0.01,0.003,0.1,0.6
135,"(6, 6)",logistic,0.01,0.003,0.1,0.6
136,"(6, 6)",logistic,0.01,0.001,0.1,0.6
