,Arquitetura,FA,Alpha,TA,FV,ACURACIA
1,8,tanh,0.01,0.003,0.1,0.93333
2,"(4, 8)",tanh,0.0001,0.003,0.1,0.93333
3,12,tanh,0.0001,0.003,0.1,0.93333
4,"(9, 3)",tanh,0.01,0.001,0.1,0.93333
5,"(3, 9)",tanh,0.01,0.003,0.1,0.93333
6,"(4, 8)",tanh,0.01,0.003,0.1,0.93333
7,5,tanh,0.0001,0.003,0.1,0.93333
8,"(4, 8)",tanh,0.0001,0.001,0.1,0.93333
9,7,tanh,0.0001,0.001,0.1,0.86667
10,7,logistic,0.01,0.001,0.1,0.86667
11,6,tanh,0.0001,0.001,0.1,0.86667
12,6,logistic,0.0001,0.003,0.1,0.86667
13,5,tanh,0.01,0.003,0.1,0.86667
14,4,tanh,0.0001,0.001,0.1,0.86667
15,7,tanh,0.0001,0.003,0.1,0.86667
16,4,logistic,0.01,0.001,0.1,0.86667
17,3,tanh,0.01,0.001,0.1,0.86667
18,3,logistic,0.01,0.001,0.1,0.86667
19,3,logistic,0.0001,0.003,0.1,0.86667
20,"(8, 4)",tanh,0.01,0.003,0.1,0.86667
21,5,logistic,0.0001,0.003,0.1,0.86667
22,9,tanh,0.0001,0.003,0.1,0.86667
23,7,tanh,0.01,0.003,0.1,0.86667
24,9,logistic,0.0001,0.001,0.1,0.86667
25,"(7, 5)",tanh,0.01,0.001,0.1,0.86667
26,9,tanh,0.01,0.001,0.1,0.86667
27,9,tanh,0.01,0.003,0.1,0.86667
28,10,logistic,0.0001,0.003,0.1,0.86667
29,10,logistic,0.01,0.003,0.1,0.86667
30,10,tanh,0.0001,0.003,0.1,0.86667
31,10,tanh,0.01,0.003,0.1,0.86667
32,11,logistic,0.01,0.003,0.1,0.86667
33,11,tanh,0.0001,0.001,0.1,0.86667
34,11,tanh,0.0001,0.003,0.1,0.86667
35,11,tanh,0.01,0.003,0.1,0.86667
36,12,tanh,0.0001,0.001,0.1,0.86667
37,"(7, 5)",tanh,0.01,0.003,0.1,0.86667
38,12,tanh,0.01,0.003,0.1,0.86667
39,"(7, 5)",tanh,0.0001,0.003,0.1,0.86667
40,"(3, 9)",tanh,0.01,0.001,0.1,0.86667
41,"(6, 6)",tanh,0.0001,0.001,0.1,0.86667
42,"(7, 5)",tanh,0.0001,0.001,0.1,0.86667
43,"(5, 7)",tanh,0.01,0.003,0.1,0.86667
44,"(5, 7)",tanh,0.01,0.001,0.1,0.86667
45,"(6, 6)",tanh,0.01,0.001,0.1,0.86667
46,"(5, 7)",tanh,0.0001,0.001,0.1,0.86667
47,"(3, 9)",tanh,0.0001,0.003,0.1,0.86667
48,"(3, 9)",tanh,0.0001,0.001,0.1,0.86667
49,12,logistic,0.01,0.003,0.1,0.8
50,8,logistic,0.0001,0.003,0.1,0.8
51,8,logistic,0.0001,0.001,0.1,0.8
52,"(5, 7)",tanh,0.0001,0.003,0.1,0.8
53,7,tanh,0.01,0.001,0.1,0.8
54,12,logistic,0.0001,0.003,0.1,0.8
55,7,logistic,0.01,0.003,0.1,0.8
56,"(4, 8)",logistic,0.0001,0.001,0.1,0.8
57,7,logistic,0.0001,0.003,0.1,0.8
58,"(3, 9)",logistic,0.01,0.003,0.1,0.8
59,6,tanh,0.01,0.001,0.1,0.8
60,6,tanh,0.0001,0.003,0.1,0.8
61,12,tanh,0.01,0.001,0.1,0.8
62,"(6, 6)",logistic,0.0001,0.003,0.1,0.8
63,8,logistic,0.01,0.001,0.1,0.8
64,8,logistic,0.01,0.003,0.1,0.8
65,8,tanh,0.0001,0.001,0.1,0.8
66,8,tanh,0.0001,0.003,0.1,0.8
67,8,tanh,0.01,0.001,0.1,0.8
68,6,logistic,0.0001,0.001,0.1,0.8
69,9,logistic,0.0001,0.003,0.1,0.8
70,9,logistic,0.01,0.001,0.1,0.8
71,9,logistic,0.01,0.003,0.1,0.8
72,9,tanh,0.0001,0.001,0.1,0.8
73,10,logistic,0.0001,0.001,0.1,0.8
74,"(4, 8)",tanh,0.01,0.001,0.1,0.8
75,10,logistic,0.01,0.001,0.1,0.8
76,"(4, 8)",logistic,0.01,0.003,0.1,0.8
77,10,tanh,0.0001,0.001,0.1,0.8
78,10,tanh,0.01,0.001,0.1,0.8
79,11,logistic,0.0001,0.001,0.1,0.8
80,6,logistic,0.01,0.003,0.1,0.8
81,6,tanh,0.01,0.003,0.1,0.8
82,"(9, 3)",tanh,0.01,0.003,0.1,0.8
83,4,tanh,0.0001,0.003,0.1,0.8
84,"(8, 4)",tanh,0.01,0.001,0.1,0.8
85,"(8, 4)",tanh,0.0001,0.003,0.1,0.8
86,"(8, 4)",tanh,0.0001,0.001,0.1,0.8
87,3,logistic,0.01,0.003,0.1,0.8
88,3,tanh,0.0001,0.001,0.1,0.8
89,3,tanh,0.0001,0.003,0.1,0.8
90,"(6, 6)",tanh,0.01,0.003,0.1,0.8
91,3,tanh,0.01,0.003,0.1,0.8
92,4,logistic,0.0001,0.001,0.1,0.8
93,4,logistic,0.0001,0.003,0.1,0.8
94,"(9, 3)",tanh,0.0001,0.003,0.1,0.8
95,4,logistic,0.01,0.003,0.1,0.8
96,5,logistic,0.01,0.003,0.1,0.8
97,5,logistic,0.01,0.001,0.1,0.8
98,"(8, 4)",logistic,0.0001,0.001,0.1,0.8
99,5,tanh,0.01,0.001,0.1,0.8
100,5,tanh,0.0001,0.001,0.1,0.8
101,4,tanh,0.01,0.001,0.1,0.8
102,"(9, 3)",tanh,0.0001,0.001,0.1,0.8
103,"(6, 6)",tanh,0.0001,0.003,0.1,0.8
104,5,logistic,0.0001,0.001,0.1,0.8
105,4,tanh,0.01,0.003,0.1,0.8
106,"(8, 4)",logistic,0.01,0.001,0.1,0.73333
107,12,logistic,0.01,0.001,0.1,0.73333
108,11,tanh,0.01,0.001,0.1,0.73333
109,"(7, 5)",logistic,0.01,0.003,0.1,0.73333
110,11,logistic,0.01,0.001,0.1,0.73333
111,11,logistic,0.0001,0.003,0.1,0.73333
112,12,logistic,0.0001,0.001,0.1,0.73333
113,"(3, 9)",logistic,0.0001,0.001,0.1,0.73333
114,"(7, 5)",logistic,0.01,0.001,0.1,0.73333
115,6,logistic,0.01,0.001,0.1,0.73333
116,7,logistic,0.0001,0.001,0.1,0.73333
