,Arquitetura,FA,Alpha,TA,FV,ACURACIA
1,8,tanh,0.0001,0.003,0.1,0.86667
2,"(9, 3)",tanh,0.01,0.003,0.1,0.86667
3,4,tanh,0.01,0.001,0.1,0.86667
4,4,tanh,0.01,0.003,0.1,0.86667
5,4,logistic,0.01,0.001,0.1,0.86667
6,8,logistic,0.01,0.003,0.1,0.86667
7,6,logistic,0.01,0.001,0.1,0.86667
8,3,logistic,0.0001,0.001,0.1,0.86667
9,6,tanh,0.0001,0.001,0.1,0.86667
10,"(4, 8)",tanh,0.0001,0.003,0.1,0.86667
11,"(4, 8)",tanh,0.0001,0.001,0.1,0.86667
12,"(4, 8)",tanh,0.01,0.001,0.1,0.86667
13,"(9, 3)",tanh,0.01,0.001,0.1,0.86667
14,"(8, 4)",tanh,0.0001,0.001,0.1,0.86667
15,"(3, 9)",tanh,0.0001,0.001,0.1,0.86667
16,7,logistic,0.01,0.001,0.1,0.86667
17,9,tanh,0.01,0.003,0.1,0.86667
18,"(6, 6)",tanh,0.01,0.003,0.1,0.86667
19,"(3, 9)",tanh,0.01,0.003,0.1,0.86667
20,"(9, 3)",tanh,0.0001,0.003,0.1,0.86667
21,3,logistic,0.0001,0.003,0.1,0.8
22,3,logistic,0.01,0.001,0.1,0.8
23,3,tanh,0.0001,0.003,0.1,0.8
24,3,tanh,0.01,0.001,0.1,0.8
25,3,tanh,0.01,0.003,0.1,0.8
26,4,logistic,0.01,0.003,0.1,0.8
27,"(9, 3)",tanh,0.0001,0.001,0.1,0.8
28,9,logistic,0.01,0.003,0.1,0.8
29,3,logistic,0.01,0.003,0.1,0.8
30,4,tanh,0.0001,0.001,0.1,0.8
31,8,tanh,0.01,0.003,0.1,0.8
32,8,tanh,0.01,0.001,0.1,0.8
33,7,tanh,0.0001,0.001,0.1,0.8
34,7,tanh,0.01,0.003,0.1,0.8
35,7,logistic,0.0001,0.003,0.1,0.8
36,7,logistic,0.0001,0.001,0.1,0.8
37,6,tanh,0.01,0.003,0.1,0.8
38,6,tanh,0.01,0.001,0.1,0.8
39,6,tanh,0.0001,0.003,0.1,0.8
40,6,logistic,0.01,0.003,0.1,0.8
41,8,logistic,0.0001,0.001,0.1,0.8
42,8,logistic,0.0001,0.003,0.1,0.8
43,5,tanh,0.01,0.003,0.1,0.8
44,5,tanh,0.0001,0.003,0.1,0.8
45,5,tanh,0.0001,0.001,0.1,0.8
46,9,tanh,0.0001,0.001,0.1,0.8
47,5,logistic,0.0001,0.001,0.1,0.8
48,"(9, 3)",logistic,0.01,0.001,0.1,0.8
49,"(8, 4)",tanh,0.01,0.003,0.1,0.8
50,9,tanh,0.0001,0.003,0.1,0.8
51,"(6, 6)",tanh,0.01,0.001,0.1,0.8
52,"(6, 6)",tanh,0.0001,0.001,0.1,0.8
53,11,logistic,0.0001,0.001,0.1,0.8
54,11,logistic,0.01,0.001,0.1,0.8
55,11,logistic,0.01,0.003,0.1,0.8
56,"(5, 7)",tanh,0.01,0.003,0.1,0.8
57,11,tanh,0.0001,0.001,0.1,0.8
58,"(5, 7)",tanh,0.0001,0.003,0.1,0.8
59,"(5, 7)",tanh,0.0001,0.001,0.1,0.8
60,11,tanh,0.0001,0.003,0.1,0.8
61,11,tanh,0.01,0.001,0.1,0.8
62,11,tanh,0.01,0.003,0.1,0.8
63,"(4, 8)",tanh,0.01,0.003,0.1,0.8
64,"(3, 9)",tanh,0.01,0.001,0.1,0.8
65,"(3, 9)",tanh,0.0001,0.003,0.1,0.8
