,Arquitetura,FA,Alpha,TA,FV,ACURACIA
1,8,tanh,0.01,0.001,0.1,0.93333
2,12,tanh,0.0001,0.003,0.1,0.93333
3,"(6, 6)",tanh,0.01,0.001,0.1,0.93333
4,"(4, 8)",tanh,0.01,0.003,0.1,0.86667
5,5,tanh,0.0001,0.001,0.1,0.86667
6,6,tanh,0.01,0.003,0.1,0.86667
7,7,logistic,0.0001,0.003,0.1,0.86667
8,7,tanh,0.0001,0.001,0.1,0.86667
9,"(7, 5)",tanh,0.01,0.001,0.1,0.86667
10,"(7, 5)",tanh,0.0001,0.001,0.1,0.86667
11,9,logistic,0.0001,0.003,0.1,0.86667
12,12,tanh,0.01,0.003,0.1,0.86667
13,4,logistic,0.0001,0.001,0.1,0.86667
14,11,logistic,0.01,0.003,0.1,0.86667
15,9,logistic,0.01,0.003,0.1,0.8
16,12,logistic,0.01,0.001,0.1,0.8
17,7,tanh,0.0001,0.003,0.1,0.8
18,"(8, 4)",tanh,0.01,0.003,0.1,0.8
19,7,logistic,0.0001,0.001,0.1,0.8
20,10,tanh,0.01,0.003,0.1,0.8
21,12,logistic,0.01,0.003,0.1,0.8
22,11,tanh,0.01,0.001,0.1,0.8
23,8,logistic,0.01,0.001,0.1,0.8
24,6,tanh,0.0001,0.001,0.1,0.8
25,8,tanh,0.01,0.003,0.1,0.8
26,"(8, 4)",tanh,0.0001,0.001,0.1,0.8
27,6,logistic,0.0001,0.003,0.1,0.8
28,10,tanh,0.01,0.001,0.1,0.8
29,"(5, 7)",tanh,0.01,0.003,0.1,0.8
30,"(5, 7)",tanh,0.01,0.001,0.1,0.8
31,4,tanh,0.01,0.001,0.1,0.8
32,3,tanh,0.0001,0.003,0.1,0.8
33,10,logistic,0.01,0.001,0.1,0.8
34,5,logistic,0.01,0.003,0.1,0.8
35,6,logistic,0.0001,0.001,0.1,0.73333
36,5,logistic,0.0001,0.001,0.1,0.73333
37,4,tanh,0.0001,0.003,0.1,0.73333
38,12,tanh,0.01,0.001,0.1,0.73333
39,5,tanh,0.01,0.003,0.1,0.73333
40,6,tanh,0.01,0.001,0.1,0.73333
41,6,tanh,0.0001,0.003,0.1,0.73333
42,6,logistic,0.01,0.003,0.1,0.73333
43,5,tanh,0.0001,0.003,0.1,0.73333
44,7,logistic,0.01,0.001,0.1,0.73333
45,11,logistic,0.0001,0.001,0.1,0.73333
46,7,logistic,0.01,0.003,0.1,0.73333
47,12,logistic,0.0001,0.003,0.1,0.73333
48,11,logistic,0.0001,0.003,0.1,0.73333
49,10,tanh,0.0001,0.003,0.1,0.73333
50,10,tanh,0.0001,0.001,0.1,0.73333
51,10,logistic,0.0001,0.003,0.1,0.73333
52,10,logistic,0.0001,0.001,0.1,0.73333
53,9,tanh,0.01,0.003,0.1,0.73333
54,9,tanh,0.01,0.001,0.1,0.73333
55,9,tanh,0.0001,0.003,0.1,0.73333
56,9,tanh,0.0001,0.001,0.1,0.73333
57,9,logistic,0.01,0.001,0.1,0.73333
58,11,tanh,0.0001,0.003,0.1,0.73333
59,4,logistic,0.01,0.003,0.1,0.73333
60,8,tanh,0.0001,0.003,0.1,0.73333
61,8,tanh,0.0001,0.001,0.1,0.73333
62,8,logistic,0.0001,0.001,0.1,0.73333
63,7,tanh,0.01,0.003,0.1,0.73333
64,7,tanh,0.01,0.001,0.1,0.73333
65,12,logistic,0.0001,0.001,0.1,0.73333
66,4,tanh,0.0001,0.001,0.1,0.73333
67,"(9, 3)",tanh,0.0001,0.003,0.1,0.73333
68,"(9, 3)",tanh,0.01,0.003,0.1,0.73333
69,"(6, 6)",tanh,0.01,0.003,0.1,0.73333
70,"(6, 6)",tanh,0.0001,0.003,0.1,0.73333
71,"(6, 6)",tanh,0.0001,0.001,0.1,0.73333
72,"(6, 6)",logistic,0.01,0.001,0.1,0.73333
73,"(5, 7)",logistic,0.0001,0.003,0.1,0.73333
74,"(4, 8)",tanh,0.01,0.001,0.1,0.73333
75,"(8, 4)",tanh,0.0001,0.003,0.1,0.73333
76,"(8, 4)",tanh,0.01,0.001,0.1,0.73333
77,"(9, 3)",logistic,0.0001,0.001,0.1,0.73333
78,"(4, 8)",tanh,0.0001,0.003,0.1,0.73333
79,"(9, 3)",tanh,0.0001,0.001,0.1,0.73333
80,"(9, 3)",tanh,0.01,0.001,0.1,0.73333
81,"(7, 5)",logistic,0.01,0.001,0.1,0.73333
82,3,tanh,0.01,0.003,0.1,0.73333
83,"(3, 9)",tanh,0.0001,0.001,0.1,0.73333
84,3,logistic,0.0001,0.003,0.1,0.73333
85,3,logistic,0.01,0.001,0.1,0.73333
86,3,logistic,0.01,0.003,0.1,0.73333
87,"(3, 9)",tanh,0.01,0.003,0.1,0.73333
88,"(3, 9)",tanh,0.0001,0.003,0.1,0.73333
89,3,tanh,0.0001,0.001,0.1,0.73333
90,11,tanh,0.0001,0.001,0.1,0.66667
91,"(5, 7)",tanh,0.0001,0.001,0.1,0.66667
92,12,tanh,0.0001,0.001,0.1,0.66667
93,9,logistic,0.0001,0.001,0.1,0.66667
94,"(3, 9)",tanh,0.01,0.001,0.1,0.66667
95,10,logistic,0.01,0.003,0.1,0.66667
96,11,logistic,0.01,0.001,0.1,0.66667
97,"(4, 8)",tanh,0.0001,0.001,0.1,0.66667
98,"(4, 8)",logistic,0.01,0.003,0.1,0.66667
99,11,tanh,0.01,0.003,0.1,0.66667
100,4,logistic,0.0001,0.003,0.1,0.66667
101,4,logistic,0.01,0.001,0.1,0.66667
102,"(3, 9)",logistic,0.0001,0.001,0.1,0.66667
103,3,tanh,0.01,0.001,0.1,0.66667
104,5,tanh,0.01,0.001,0.1,0.66667
105,"(7, 5)",logistic,0.01,0.003,0.1,0.66667
106,8,logistic,0.0001,0.003,0.1,0.66667
107,"(7, 5)",tanh,0.0001,0.003,0.1,0.66667
108,8,logistic,0.01,0.003,0.1,0.66667
109,"(7, 5)",tanh,0.01,0.003,0.1,0.66667
110,3,logistic,0.0001,0.001,0.1,0.66667
