,Arquitetura,FA,Alpha,TA,FV,ACURACIA
1,"(8, 4)",tanh,0.0001,0.001,0.1,1.0
2,12,tanh,0.01,0.001,0.1,0.93333
3,12,tanh,0.0001,0.003,0.1,0.93333
4,5,tanh,0.0001,0.003,0.1,0.93333
5,12,tanh,0.01,0.003,0.1,0.86667
6,3,tanh,0.0001,0.003,0.1,0.86667
7,"(5, 7)",tanh,0.0001,0.003,0.1,0.86667
8,4,tanh,0.01,0.001,0.1,0.86667
9,8,tanh,0.01,0.001,0.1,0.86667
10,8,tanh,0.01,0.003,0.1,0.86667
11,"(7, 5)",tanh,0.01,0.001,0.1,0.86667
12,"(7, 5)",tanh,0.0001,0.003,0.1,0.86667
13,5,tanh,0.01,0.001,0.1,0.86667
14,3,logistic,0.0001,0.001,0.1,0.86667
15,"(9, 3)",tanh,0.01,0.003,0.1,0.86667
16,"(9, 3)",tanh,0.0001,0.001,0.1,0.86667
17,11,tanh,0.0001,0.001,0.1,0.86667
18,"(8, 4)",tanh,0.01,0.001,0.1,0.86667
19,11,tanh,0.01,0.001,0.1,0.86667
20,11,tanh,0.01,0.003,0.1,0.86667
21,6,tanh,0.01,0.003,0.1,0.86667
22,"(3, 9)",tanh,0.01,0.001,0.1,0.86667
23,6,tanh,0.01,0.001,0.1,0.86667
24,"(4, 8)",tanh,0.0001,0.001,0.1,0.86667
25,7,tanh,0.01,0.003,0.1,0.86667
26,5,logistic,0.0001,0.003,0.1,0.8
27,3,tanh,0.0001,0.001,0.1,0.8
28,7,tanh,0.0001,0.001,0.1,0.8
29,5,tanh,0.01,0.003,0.1,0.8
30,"(9, 3)",tanh,0.0001,0.003,0.1,0.8
31,"(9, 3)",tanh,0.01,0.001,0.1,0.8
32,5,tanh,0.0001,0.001,0.1,0.8
33,3,logistic,0.0001,0.003,0.1,0.8
34,6,tanh,0.0001,0.003,0.1,0.8
35,6,tanh,0.0001,0.001,0.1,0.8
36,7,tanh,0.0001,0.003,0.1,0.8
37,4,tanh,0.01,0.003,0.1,0.8
38,3,tanh,0.01,0.001,0.1,0.8
39,7,tanh,0.01,0.001,0.1,0.8
40,9,tanh,0.0001,0.003,0.1,0.8
41,4,logistic,0.0001,0.003,0.1,0.8
42,8,tanh,0.0001,0.003,0.1,0.8
43,8,tanh,0.0001,0.001,0.1,0.8
44,8,logistic,0.01,0.001,0.1,0.8
45,4,tanh,0.0001,0.003,0.1,0.8
46,6,logistic,0.0001,0.003,0.1,0.8
47,5,logistic,0.01,0.003,0.1,0.8
48,"(8, 4)",tanh,0.0001,0.003,0.1,0.8
49,"(8, 4)",tanh,0.01,0.003,0.1,0.8
50,10,tanh,0.01,0.001,0.1,0.8
51,"(3, 9)",tanh,0.0001,0.001,0.1,0.8
52,"(3, 9)",tanh,0.0001,0.003,0.1,0.8
53,"(3, 9)",tanh,0.01,0.003,0.1,0.8
54,12,tanh,0.0001,0.001,0.1,0.8
55,"(4, 8)",tanh,0.01,0.001,0.1,0.8
56,"(4, 8)",tanh,0.01,0.003,0.1,0.8
57,11,tanh,0.0001,0.003,0.1,0.8
58,"(5, 7)",tanh,0.0001,0.001,0.1,0.8
59,"(5, 7)",tanh,0.01,0.003,0.1,0.8
60,"(6, 6)",tanh,0.0001,0.001,0.1,0.8
61,"(6, 6)",tanh,0.0001,0.003,0.1,0.8
62,"(6, 6)",tanh,0.01,0.001,0.1,0.8
63,"(6, 6)",tanh,0.01,0.003,0.1,0.8
64,10,tanh,0.01,0.003,0.1,0.8
65,10,tanh,0.0001,0.003,0.1,0.8
66,10,tanh,0.0001,0.001,0.1,0.8
67,9,tanh,0.01,0.001,0.1,0.8
68,9,tanh,0.01,0.003,0.1,0.8
69,"(7, 5)",tanh,0.01,0.003,0.1,0.8
70,10,logistic,0.01,0.003,0.1,0.8
71,9,tanh,0.0001,0.001,0.1,0.73333
72,10,logistic,0.01,0.001,0.1,0.73333
73,9,logistic,0.01,0.003,0.1,0.73333
74,9,logistic,0.01,0.001,0.1,0.73333
75,7,logistic,0.01,0.001,0.1,0.73333
76,12,logistic,0.01,0.003,0.1,0.73333
77,12,logistic,0.01,0.001,0.1,0.73333
78,12,logistic,0.0001,0.003,0.1,0.73333
79,12,logistic,0.0001,0.001,0.1,0.73333
80,10,logistic,0.0001,0.001,0.1,0.73333
81,11,logistic,0.0001,0.001,0.1,0.73333
82,10,logistic,0.0001,0.003,0.1,0.73333
83,9,logistic,0.0001,0.001,0.1,0.73333
84,11,logistic,0.01,0.003,0.1,0.73333
85,9,logistic,0.0001,0.003,0.1,0.73333
86,8,logistic,0.0001,0.001,0.1,0.73333
87,11,logistic,0.01,0.001,0.1,0.73333
88,8,logistic,0.0001,0.003,0.1,0.73333
89,11,logistic,0.0001,0.003,0.1,0.73333
90,7,logistic,0.01,0.003,0.1,0.73333
91,4,tanh,0.0001,0.001,0.1,0.73333
92,7,logistic,0.0001,0.003,0.1,0.73333
93,3,tanh,0.01,0.003,0.1,0.73333
94,"(5, 7)",tanh,0.01,0.001,0.1,0.73333
95,"(5, 7)",logistic,0.01,0.003,0.1,0.73333
96,"(7, 5)",tanh,0.0001,0.001,0.1,0.73333
97,7,logistic,0.0001,0.001,0.1,0.73333
