,Arquitetura,FA,Alpha,TA,FV,ACURACIA
1,"(6, 6)",logistic,0.0001,0.003,0.1,0.93333
2,12,tanh,0.0001,0.003,0.1,0.93333
3,4,tanh,0.01,0.001,0.1,0.93333
4,4,tanh,0.0001,0.003,0.1,0.93333
5,3,tanh,0.01,0.003,0.1,0.93333
6,"(9, 3)",tanh,0.01,0.003,0.1,0.86667
7,11,logistic,0.0001,0.003,0.1,0.86667
8,"(8, 4)",tanh,0.0001,0.003,0.1,0.86667
9,"(8, 4)",tanh,0.01,0.001,0.1,0.86667
10,"(8, 4)",tanh,0.01,0.003,0.1,0.86667
11,"(9, 3)",tanh,0.0001,0.003,0.1,0.86667
12,4,tanh,0.0001,0.001,0.1,0.86667
13,9,tanh,0.01,0.003,0.1,0.86667
14,3,tanh,0.0001,0.003,0.1,0.86667
15,"(6, 6)",logistic,0.0001,0.001,0.1,0.86667
16,9,tanh,0.0001,0.003,0.1,0.86667
17,6,logistic,0.0001,0.003,0.1,0.86667
18,6,tanh,0.01,0.001,0.1,0.86667
19,3,tanh,0.01,0.001,0.1,0.86667
20,8,logistic,0.01,0.001,0.1,0.86667
21,12,logistic,0.0001,0.003,0.1,0.86667
22,12,tanh,0.0001,0.001,0.1,0.86667
23,"(3, 9)",tanh,0.0001,0.001,0.1,0.86667
24,"(3, 9)",tanh,0.0001,0.003,0.1,0.86667
25,"(3, 9)",tanh,0.01,0.003,0.1,0.86667
26,"(3, 9)",tanh,0.01,0.001,0.1,0.86667
27,12,logistic,0.01,0.003,0.1,0.86667
28,9,tanh,0.01,0.001,0.1,0.8
29,4,logistic,0.01,0.001,0.1,0.8
30,9,logistic,0.01,0.003,0.1,0.8
31,5,tanh,0.01,0.003,0.1,0.8
32,12,logistic,0.01,0.001,0.1,0.8
33,4,tanh,0.01,0.003,0.1,0.8
34,5,logistic,0.0001,0.001,0.1,0.8
35,5,logistic,0.0001,0.003,0.1,0.8
36,9,logistic,0.0001,0.003,0.1,0.8
37,5,tanh,0.0001,0.001,0.1,0.8
38,5,tanh,0.0001,0.003,0.1,0.8
39,3,tanh,0.0001,0.001,0.1,0.8
40,5,tanh,0.01,0.001,0.1,0.8
41,"(5, 7)",tanh,0.0001,0.001,0.1,0.8
42,"(5, 7)",tanh,0.0001,0.003,0.1,0.8
43,6,logistic,0.01,0.001,0.1,0.8
44,8,logistic,0.0001,0.003,0.1,0.8
45,8,logistic,0.0001,0.001,0.1,0.8
46,7,tanh,0.01,0.003,0.1,0.8
47,7,tanh,0.01,0.001,0.1,0.8
48,7,tanh,0.0001,0.003,0.1,0.8
49,7,tanh,0.0001,0.001,0.1,0.8
50,7,logistic,0.01,0.003,0.1,0.8
51,7,logistic,0.01,0.001,0.1,0.8
52,7,logistic,0.0001,0.003,0.1,0.8
53,8,tanh,0.0001,0.001,0.1,0.8
54,8,tanh,0.0001,0.003,0.1,0.8
55,12,tanh,0.01,0.001,0.1,0.8
56,6,tanh,0.0001,0.003,0.1,0.8
57,8,tanh,0.01,0.001,0.1,0.8
58,8,tanh,0.01,0.003,0.1,0.8
59,9,logistic,0.0001,0.001,0.1,0.8
60,3,logistic,0.01,0.003,0.1,0.8
61,"(8, 4)",logistic,0.0001,0.001,0.1,0.8
62,"(8, 4)",logistic,0.0001,0.003,0.1,0.8
63,"(7, 5)",tanh,0.01,0.003,0.1,0.8
64,"(7, 5)",tanh,0.01,0.001,0.1,0.8
65,"(7, 5)",tanh,0.0001,0.003,0.1,0.8
66,"(7, 5)",tanh,0.0001,0.001,0.1,0.8
67,"(7, 5)",logistic,0.01,0.003,0.1,0.8
68,10,tanh,0.01,0.003,0.1,0.8
69,11,logistic,0.0001,0.001,0.1,0.8
70,11,tanh,0.0001,0.003,0.1,0.8
71,"(6, 6)",tanh,0.01,0.001,0.1,0.8
72,"(6, 6)",tanh,0.0001,0.003,0.1,0.8
73,"(6, 6)",tanh,0.0001,0.001,0.1,0.8
74,11,logistic,0.01,0.001,0.1,0.8
75,"(6, 6)",logistic,0.01,0.001,0.1,0.8
76,"(5, 7)",tanh,0.01,0.003,0.1,0.8
77,"(5, 7)",tanh,0.01,0.001,0.1,0.8
78,10,logistic,0.0001,0.003,0.1,0.8
79,10,tanh,0.0001,0.001,0.1,0.8
80,"(8, 4)",logistic,0.01,0.001,0.1,0.8
