,Arquitetura,FA,Alpha,TA,FV,ACURACIA
81,12,logistic,0.0001,0.001,0.1,0.8
82,"(8, 4)",tanh,0.0001,0.001,0.1,0.8
83,"(4, 8)",tanh,0.0001,0.001,0.1,0.8
84,11,tanh,0.01,0.001,0.1,0.8
85,11,tanh,0.01,0.003,0.1,0.8
86,"(9, 3)",tanh,0.01,0.001,0.1,0.8
87,"(4, 8)",tanh,0.01,0.001,0.1,0.8
88,"(9, 3)",logistic,0.0001,0.001,0.1,0.8
89,8,logistic,0.01,0.003,0.1,0.8
90,10,tanh,0.0001,0.003,0.1,0.8
91,"(9, 3)",tanh,0.0001,0.001,0.1,0.8
92,11,logistic,0.01,0.003,0.1,0.73333
93,11,tanh,0.0001,0.001,0.1,0.73333
94,10,logistic,0.01,0.003,0.1,0.73333
95,10,logistic,0.01,0.001,0.1,0.73333
96,9,tanh,0.0001,0.001,0.1,0.73333
97,10,tanh,0.01,0.001,0.1,0.73333
98,9,logistic,0.01,0.001,0.1,0.73333
99,10,logistic,0.0001,0.001,0.1,0.73333
100,12,tanh,0.01,0.003,0.1,0.73333
101,7,logistic,0.0001,0.001,0.1,0.73333
102,3,logistic,0.0001,0.003,0.1,0.73333
103,"(4, 8)",tanh,0.0001,0.003,0.1,0.73333
104,"(5, 7)",logistic,0.01,0.003,0.1,0.73333
105,"(6, 6)",tanh,0.01,0.003,0.1,0.73333
106,"(4, 8)",logistic,0.0001,0.001,0.1,0.73333
107,6,tanh,0.01,0.003,0.1,0.73333
108,"(3, 9)",logistic,0.01,0.003,0.1,0.73333
109,"(9, 3)",logistic,0.0001,0.003,0.1,0.73333
110,"(9, 3)",logistic,0.01,0.001,0.1,0.73333
111,"(9, 3)",logistic,0.01,0.003,0.1,0.73333
112,"(5, 7)",logistic,0.0001,0.001,0.1,0.73333
113,3,logistic,0.0001,0.001,0.1,0.73333
114,3,logistic,0.01,0.001,0.1,0.73333
115,4,logistic,0.0001,0.001,0.1,0.73333
116,4,logistic,0.0001,0.003,0.1,0.73333
117,4,logistic,0.01,0.003,0.1,0.73333
118,5,logistic,0.01,0.001,0.1,0.73333
119,5,logistic,0.01,0.003,0.1,0.73333
120,6,logistic,0.0001,0.001,0.1,0.73333
121,6,logistic,0.01,0.003,0.1,0.73333
122,6,tanh,0.0001,0.001,0.1,0.73333
123,"(4, 8)",tanh,0.01,0.003,0.1,0.73333
124,"(3, 9)",logistic,0.01,0.001,0.1,0.66667
125,"(4, 8)",logistic,0.0001,0.003,0.1,0.66667
126,"(4, 8)",logistic,0.01,0.001,0.1,0.66667
127,"(7, 5)",logistic,0.01,0.001,0.1,0.66667
128,"(5, 7)",logistic,0.0001,0.003,0.1,0.66667
129,"(5, 7)",logistic,0.01,0.001,0.1,0.66667
130,"(6, 6)",logistic,0.01,0.003,0.1,0.66667
131,"(7, 5)",logistic,0.0001,0.001,0.1,0.66667
132,"(7, 5)",logistic,0.0001,0.003,0.1,0.66667
133,"(8, 4)",logistic,0.01,0.003,0.1,0.66667
134,"(3, 9)",logistic,0.0001,0.003,0.1,0.66667
135,"(3, 9)",logistic,0.0001,0.001,0.1,0.66667
136,"(4, 8)",logistic,0.01,0.003,0.1,0.6
