,Arquitetura,FA,Alpha,TA,FV,MAPE Teste,Acurácia
529,"(1, 3)",tanh,0.0001,0.001,0.0462,37.56,62.44
530,"(6, 1)",logistic,0.0001,0.001,0.1,37.562,62.438
531,"(1, 3)",tanh,0.01,0.003,0.1,37.565,62.435
532,"(2, 2)",tanh,0.01,0.003,0.0462,37.565,62.435
533,"(7, 5)",logistic,0.0001,0.001,0.1,37.572,62.428
534,"(4, 6)",logistic,0.0001,0.003,0.1,37.573,62.427
535,"(5, 6)",logistic,0.01,0.001,0.1,37.607,62.393
536,"(5, 7)",tanh,0.01,0.003,0.1,37.61,62.39
537,"(7, 7)",logistic,0.01,0.003,0.1,37.619,62.381
538,"(5, 1)",tanh,0.0001,0.003,0.0462,37.628,62.372
539,"(2, 1)",logistic,0.0001,0.003,0.0462,37.634,62.366
540,"(2, 3)",tanh,0.01,0.003,0.1,37.636,62.364
541,"(2, 3)",tanh,0.01,0.003,0.0462,37.644,62.356
542,"(4, 1)",logistic,0.01,0.001,0.0462,37.65,62.35
543,"(7, 3)",tanh,0.01,0.003,0.1,37.661,62.339
544,"(3,)",tanh,0.01,0.001,0.0462,37.667,62.333
545,"(2, 1)",logistic,0.0001,0.003,0.1,37.674,62.326
546,"(4, 7)",tanh,0.01,0.001,0.1,37.675,62.325
547,"(1, 4)",tanh,0.01,0.001,0.0462,37.683,62.317
548,"(6, 5)",tanh,0.01,0.001,0.0462,37.713,62.287
549,"(2, 1)",tanh,0.01,0.003,0.0462,37.72,62.28
550,"(1, 5)",logistic,0.0001,0.001,0.1,37.728,62.272
551,"(1, 6)",tanh,0.0001,0.003,0.0462,37.729,62.271
552,"(6, 1)",tanh,0.01,0.001,0.1,37.745,62.255
553,"(4, 1)",tanh,0.0001,0.003,0.0462,37.747,62.253
554,"(4, 2)",logistic,0.0001,0.001,0.0462,37.753,62.247
555,"(3, 7)",tanh,0.01,0.001,0.1,37.762,62.238
556,"(4, 6)",logistic,0.01,0.003,0.1,37.776,62.224
557,"(2,)",tanh,0.01,0.001,0.1,37.778,62.222
558,"(5, 2)",tanh,0.01,0.001,0.0462,37.8,62.2
559,"(7, 2)",tanh,0.01,0.001,0.0462,37.816,62.184
560,"(4, 3)",tanh,0.01,0.001,0.0462,37.825,62.175
561,"(1,)",tanh,0.0001,0.003,0.1,37.829,62.171
562,"(6, 1)",tanh,0.0001,0.001,0.1,37.849,62.151
563,"(6, 3)",logistic,0.0001,0.001,0.0462,37.861,62.139
564,"(2, 7)",logistic,0.0001,0.003,0.1,37.866,62.134
565,"(3, 5)",tanh,0.0001,0.001,0.0462,37.872,62.128
566,"(7, 3)",logistic,0.0001,0.001,0.1,37.895,62.105
567,"(5, 1)",logistic,0.01,0.003,0.0462,37.897,62.103
568,"(1, 6)",logistic,0.01,0.001,0.1,37.916,62.084
569,"(1, 7)",tanh,0.01,0.001,0.1,37.931,62.069
570,"(1, 2)",tanh,0.01,0.001,0.0462,37.937,62.063
571,"(6, 3)",tanh,0.01,0.003,0.0462,37.938,62.062
572,"(4, 4)",logistic,0.01,0.003,0.0462,37.943,62.057
573,"(1, 7)",logistic,0.01,0.003,0.1,37.948,62.052
574,"(3, 7)",tanh,0.01,0.003,0.0462,37.953,62.047
575,"(3, 1)",logistic,0.0001,0.001,0.1,37.983,62.017
576,"(3, 3)",tanh,0.01,0.003,0.1,37.986,62.014
577,"(4, 4)",logistic,0.0001,0.001,0.0462,37.988,62.012
578,"(5, 6)",logistic,0.0001,0.001,0.0462,38.001,61.999
579,"(3, 2)",tanh,0.01,0.003,0.0462,38.019,61.981
580,"(6, 6)",tanh,0.01,0.001,0.1,38.04,61.96
581,"(6, 1)",logistic,0.0001,0.003,0.0462,38.04,61.96
582,"(7, 3)",tanh,0.01,0.001,0.1,38.046,61.954
583,"(6, 3)",tanh,0.0001,0.003,0.1,38.061,61.939
584,"(3, 3)",tanh,0.0001,0.001,0.0462,38.083,61.917
585,"(1, 7)",tanh,0.01,0.003,0.1,38.094,61.906
586,"(6, 6)",logistic,0.0001,0.003,0.1,38.119,61.881
587,"(1, 5)",logistic,0.0001,0.001,0.0462,38.123,61.877
588,"(1, 4)",tanh,0.01,0.001,0.1,38.129,61.871
589,"(5, 5)",tanh,0.01,0.001,0.1,38.143,61.857
590,"(5, 2)",logistic,0.0001,0.001,0.1,38.148,61.852
591,"(5, 7)",logistic,0.0001,0.003,0.1,38.156,61.844
592,"(5, 2)",tanh,0.01,0.003,0.1,38.174,61.826
593,"(7,)",tanh,0.0001,0.003,0.1,38.174,61.826
594,"(5, 6)",tanh,0.01,0.001,0.0462,38.212,61.788
595,"(3, 7)",tanh,0.0001,0.001,0.0462,38.215,61.785
596,"(3, 4)",tanh,0.0001,0.003,0.0462,38.225,61.775
597,"(5, 6)",logistic,0.01,0.003,0.1,38.227,61.773
598,"(6, 5)",logistic,0.0001,0.003,0.0462,38.232,61.768
599,"(1, 5)",tanh,0.0001,0.001,0.1,38.237,61.763
600,"(3, 5)",tanh,0.01,0.003,0.0462,38.256,61.744
601,"(3, 3)",logistic,0.0001,0.001,0.0462,38.274,61.726
602,"(4, 7)",logistic,0.0001,0.003,0.1,38.28,61.72
603,"(2, 5)",tanh,0.01,0.003,0.0462,38.297,61.703
604,"(7, 4)",tanh,0.01,0.003,0.0462,38.314,61.686
605,"(5, 3)",tanh,0.01,0.003,0.0462,38.366,61.634
606,"(5, 4)",tanh,0.0001,0.003,0.1,38.382,61.618
607,"(3, 6)",logistic,0.0001,0.001,0.0462,38.398,61.602
608,"(5, 4)",logistic,0.0001,0.001,0.0462,38.405,61.595
609,"(3, 7)",logistic,0.01,0.003,0.0462,38.409,61.591
610,"(7, 3)",logistic,0.0001,0.003,0.0462,38.412,61.588
611,"(2, 3)",logistic,0.0001,0.001,0.0462,38.464,61.536
612,"(2,)",logistic,0.01,0.001,0.0462,38.471,61.529
613,"(3, 7)",logistic,0.0001,0.003,0.1,38.491,61.509
614,"(2, 5)",logistic,0.01,0.001,0.0462,38.492,61.508
615,"(5, 1)",tanh,0.0001,0.001,0.1,38.517,61.483
616,"(5, 5)",tanh,0.01,0.001,0.0462,38.556,61.444
617,"(1, 5)",logistic,0.0001,0.003,0.1,38.569,61.431
618,"(7, 7)",tanh,0.01,0.003,0.0462,38.586,61.414
619,"(1, 6)",tanh,0.0001,0.001,0.0462,38.619,61.381
620,"(5, 6)",tanh,0.01,0.003,0.1,38.631,61.369
621,"(5, 1)",logistic,0.0001,0.003,0.1,38.655,61.345
622,"(2, 6)",tanh,0.01,0.003,0.1,38.719,61.281
623,"(5, 6)",logistic,0.0001,0.003,0.0462,38.734,61.266
624,"(6, 4)",logistic,0.01,0.003,0.1,38.758,61.242
625,"(3, 5)",logistic,0.0001,0.003,0.0462,38.763,61.237
626,"(6, 2)",tanh,0.01,0.003,0.1,38.77,61.23
627,"(5, 6)",logistic,0.01,0.001,0.0462,38.819,61.181
628,"(7, 7)",tanh,0.0001,0.001,0.1,38.827,61.173
629,"(5, 5)",logistic,0.0001,0.003,0.0462,38.862,61.138
630,"(7, 2)",tanh,0.01,0.003,0.1,38.864,61.136
631,"(6, 3)",tanh,0.01,0.001,0.0462,38.874,61.126
632,"(4, 3)",tanh,0.01,0.003,0.1,38.881,61.119
633,"(3, 1)",tanh,0.0001,0.003,0.0462,38.897,61.103
634,"(1, 1)",logistic,0.0001,0.003,0.1,38.913,61.087
635,"(4,)",tanh,0.0001,0.001,0.0462,38.925,61.075
636,"(2, 7)",logistic,0.01,0.001,0.0462,38.951,61.049
637,"(4, 3)",tanh,0.01,0.001,0.1,38.96,61.04
638,"(4, 6)",tanh,0.01,0.003,0.0462,38.964,61.036
639,"(3, 3)",logistic,0.01,0.003,0.0462,38.99,61.01
640,"(5, 1)",logistic,0.01,0.003,0.1,39.013,60.987
641,"(3, 4)",logistic,0.0001,0.003,0.1,39.033,60.967
642,"(4, 6)",tanh,0.0001,0.001,0.1,39.065,60.935
643,"(5, 3)",logistic,0.0001,0.001,0.0462,39.131,60.869
644,"(6, 7)",tanh,0.01,0.003,0.1,39.14,60.86
645,"(2, 6)",logistic,0.0001,0.003,0.0462,39.145,60.855
646,"(1, 6)",logistic,0.01,0.003,0.0462,39.158,60.842
647,"(4, 2)",logistic,0.01,0.001,0.0462,39.165,60.835
648,"(2,)",tanh,0.0001,0.001,0.1,39.236,60.764
649,"(3, 7)",tanh,0.01,0.001,0.0462,39.255,60.745
650,"(2, 5)",tanh,0.0001,0.001,0.0462,39.257,60.743
651,"(2,)",logistic,0.0001,0.001,0.1,39.3,60.7
652,"(1, 6)",tanh,0.01,0.001,0.1,39.304,60.696
653,"(6, 7)",tanh,0.0001,0.001,0.1,39.341,60.659
654,"(1,)",logistic,0.01,0.003,0.0462,39.35,60.65
655,"(5, 7)",tanh,0.01,0.001,0.0462,39.354,60.646
656,"(3, 5)",tanh,0.0001,0.001,0.1,39.359,60.641
657,"(6, 5)",tanh,0.01,0.003,0.1,39.365,60.635
658,"(3,)",tanh,0.0001,0.003,0.0462,39.368,60.632
659,"(4, 4)",tanh,0.01,0.003,0.1,39.38,60.62
660,"(2, 3)",tanh,0.0001,0.001,0.0462,39.386,60.614
661,"(3, 6)",tanh,0.0001,0.001,0.0462,39.392,60.608
662,"(5, 7)",tanh,0.0001,0.003,0.0462,39.398,60.602
663,"(6, 5)",logistic,0.01,0.001,0.0462,39.408,60.592
664,"(1, 2)",tanh,0.0001,0.003,0.1,39.478,60.522
665,"(3, 1)",logistic,0.01,0.001,0.0462,39.479,60.521
666,"(5, 5)",logistic,0.0001,0.001,0.1,39.487,60.513
667,"(4, 3)",logistic,0.0001,0.003,0.1,39.492,60.508
668,"(2, 3)",logistic,0.0001,0.001,0.1,39.569,60.431
669,"(6, 4)",tanh,0.01,0.001,0.1,39.586,60.414
670,"(6, 4)",logistic,0.01,0.003,0.0462,39.645,60.355
671,"(1, 3)",logistic,0.0001,0.001,0.1,39.687,60.313
672,"(2, 5)",logistic,0.0001,0.001,0.1,39.732,60.268
673,"(1, 1)",logistic,0.0001,0.003,0.0462,39.743,60.257
674,"(4, 5)",tanh,0.0001,0.003,0.0462,39.752,60.248
675,"(5,)",logistic,0.01,0.003,0.1,39.761,60.239
676,"(3, 5)",tanh,0.01,0.001,0.0462,39.792,60.208
677,"(6, 6)",tanh,0.01,0.001,0.0462,39.941,60.059
678,"(7, 5)",logistic,0.01,0.003,0.1,39.947,60.053
679,"(5, 5)",logistic,0.0001,0.003,0.1,39.963,60.037
680,"(5, 7)",tanh,0.01,0.001,0.1,40.037,59.963
681,"(3, 6)",logistic,0.01,0.003,0.1,40.059,59.941
682,"(1, 1)",tanh,0.01,0.001,0.1,40.077,59.923
683,"(4,)",logistic,0.0001,0.003,0.1,40.093,59.907
684,"(6, 3)",tanh,0.01,0.001,0.1,40.095,59.905
685,"(5, 4)",tanh,0.01,0.003,0.0462,40.126,59.874
686,"(4,)",tanh,0.0001,0.003,0.1,40.17,59.83
687,"(7, 2)",logistic,0.01,0.003,0.0462,40.175,59.825
688,"(3, 2)",tanh,0.01,0.001,0.1,40.176,59.824
689,"(4, 1)",logistic,0.01,0.001,0.1,40.18,59.82
690,"(1,)",logistic,0.0001,0.001,0.0462,40.205,59.795
691,"(1,)",logistic,0.01,0.003,0.1,40.222,59.778
692,"(2, 6)",logistic,0.0001,0.003,0.1,40.27,59.73
693,"(6, 6)",logistic,0.0001,0.001,0.0462,40.289,59.711
694,"(1, 7)",logistic,0.01,0.003,0.0462,40.292,59.708
695,"(4, 6)",tanh,0.01,0.001,0.0462,40.364,59.636
696,"(5,)",logistic,0.0001,0.001,0.1,40.369,59.631
697,"(6, 2)",tanh,0.01,0.001,0.0462,40.381,59.619
698,"(2,)",tanh,0.0001,0.001,0.0462,40.381,59.619
699,"(2, 2)",logistic,0.0001,0.003,0.0462,40.412,59.588
700,"(2, 6)",tanh,0.0001,0.003,0.0462,40.428,59.572
701,"(7, 5)",tanh,0.01,0.003,0.0462,40.513,59.487
702,"(4,)",logistic,0.01,0.001,0.1,40.568,59.432
703,"(2, 6)",logistic,0.01,0.001,0.1,40.582,59.418
704,"(4,)",logistic,0.01,0.003,0.0462,40.595,59.405
705,"(3, 7)",logistic,0.0001,0.003,0.0462,40.676,59.324
706,"(7, 7)",tanh,0.01,0.001,0.1,40.689,59.311
707,"(4, 3)",tanh,0.0001,0.003,0.1,40.731,59.269
708,"(4, 4)",tanh,0.0001,0.001,0.1,40.853,59.147
709,"(2, 5)",tanh,0.0001,0.003,0.0462,40.853,59.147
710,"(3,)",logistic,0.0001,0.003,0.1,40.874,59.126
711,"(5, 1)",logistic,0.0001,0.003,0.0462,40.909,59.091
712,"(2, 2)",tanh,0.0001,0.001,0.1,40.941,59.059
713,"(1, 3)",logistic,0.0001,0.003,0.0462,40.985,59.015
714,"(5, 4)",logistic,0.0001,0.003,0.0462,40.989,59.011
715,"(5, 7)",logistic,0.0001,0.001,0.0462,40.993,59.007
716,"(3, 4)",logistic,0.0001,0.003,0.0462,41.037,58.963
717,"(2, 1)",logistic,0.0001,0.001,0.0462,41.042,58.958
718,"(3, 5)",tanh,0.0001,0.003,0.1,41.063,58.937
719,"(4, 5)",logistic,0.0001,0.001,0.1,41.064,58.936
720,"(2, 5)",logistic,0.0001,0.003,0.1,41.16,58.84
721,"(3, 4)",tanh,0.01,0.001,0.1,41.175,58.825
722,"(1, 7)",logistic,0.01,0.001,0.0462,41.183,58.817
723,"(5, 4)",tanh,0.01,0.001,0.1,41.22,58.78
724,"(7,)",tanh,0.0001,0.001,0.1,41.244,58.756
725,"(4, 5)",tanh,0.0001,0.001,0.1,41.244,58.756
726,"(7, 7)",logistic,0.0001,0.001,0.0462,41.36,58.64
727,"(2, 7)",logistic,0.01,0.003,0.0462,41.366,58.634
728,"(4,)",logistic,0.0001,0.003,0.0462,41.427,58.573
729,"(6, 6)",tanh,0.0001,0.003,0.1,41.449,58.551
730,"(6, 4)",logistic,0.0001,0.001,0.0462,41.459,58.541
731,"(3, 1)",logistic,0.0001,0.001,0.0462,41.482,58.518
732,"(6, 6)",logistic,0.01,0.003,0.1,41.525,58.475
733,"(7, 1)",logistic,0.01,0.003,0.1,41.582,58.418
734,"(7,)",logistic,0.01,0.003,0.0462,41.588,58.412
735,"(7,)",tanh,0.01,0.001,0.1,41.685,58.315
736,"(4, 4)",logistic,0.0001,0.003,0.0462,41.731,58.269
737,"(2, 3)",logistic,0.0001,0.003,0.0462,41.806,58.194
738,"(7,)",logistic,0.0001,0.001,0.1,41.816,58.184
739,"(4, 4)",logistic,0.0001,0.003,0.1,41.926,58.074
740,"(1, 4)",logistic,0.0001,0.003,0.1,41.952,58.048
741,"(2, 6)",tanh,0.0001,0.001,0.1,41.958,58.042
742,"(3, 7)",tanh,0.0001,0.001,0.1,42.012,57.988
743,"(1, 7)",logistic,0.0001,0.001,0.1,42.013,57.987
744,"(6, 5)",tanh,0.01,0.001,0.1,42.049,57.951
745,"(2, 5)",logistic,0.01,0.003,0.1,42.056,57.944
746,"(4, 7)",tanh,0.0001,0.003,0.1,42.082,57.918
747,"(5, 6)",logistic,0.0001,0.003,0.1,42.096,57.904
748,"(7, 6)",tanh,0.01,0.001,0.0462,42.105,57.895
749,"(6, 5)",tanh,0.0001,0.001,0.0462,42.222,57.778
750,"(5,)",tanh,0.0001,0.003,0.1,42.272,57.728
751,"(2, 7)",tanh,0.0001,0.001,0.1,42.285,57.715
752,"(5,)",tanh,0.01,0.003,0.1,42.314,57.686
753,"(6, 6)",logistic,0.0001,0.001,0.1,42.328,57.672
754,"(7, 1)",tanh,0.0001,0.003,0.0462,42.348,57.652
755,"(1, 3)",tanh,0.0001,0.001,0.1,42.359,57.641
756,"(4,)",tanh,0.0001,0.001,0.1,42.413,57.587
757,"(5, 6)",tanh,0.0001,0.001,0.0462,42.415,57.585
758,"(7,)",logistic,0.01,0.001,0.1,42.456,57.544
759,"(6, 3)",logistic,0.0001,0.003,0.1,42.527,57.473
760,"(1, 1)",tanh,0.0001,0.003,0.0462,42.57,57.43
761,"(2, 6)",logistic,0.0001,0.001,0.0462,42.572,57.428
762,"(4, 5)",logistic,0.0001,0.001,0.0462,42.6,57.4
763,"(2,)",logistic,0.0001,0.003,0.1,42.634,57.366
764,"(2, 3)",logistic,0.0001,0.003,0.1,42.647,57.353
765,"(1, 5)",tanh,0.0001,0.003,0.1,42.726,57.274
766,"(1, 6)",logistic,0.0001,0.003,0.1,42.726,57.274
767,"(7, 4)",tanh,0.01,0.003,0.1,42.966,57.034
768,"(6, 4)",tanh,0.0001,0.001,0.0462,42.991,57.009
769,"(5, 5)",logistic,0.01,0.003,0.0462,43.033,56.967
770,"(6, 4)",logistic,0.0001,0.003,0.1,43.077,56.923
771,"(3, 1)",logistic,0.01,0.003,0.0462,43.173,56.827
772,"(3, 4)",tanh,0.0001,0.003,0.1,43.198,56.802
773,"(2, 5)",logistic,0.0001,0.001,0.0462,43.248,56.752
774,"(3,)",tanh,0.0001,0.001,0.0462,43.357,56.643
775,"(2, 6)",tanh,0.01,0.001,0.1,43.394,56.606
776,"(2, 5)",logistic,0.0001,0.003,0.0462,43.435,56.565
777,"(3, 6)",tanh,0.0001,0.001,0.1,43.478,56.522
778,"(7, 3)",tanh,0.0001,0.003,0.0462,43.48,56.52
779,"(4, 5)",tanh,0.01,0.003,0.0462,43.487,56.513
780,"(3, 5)",tanh,0.01,0.003,0.1,43.51,56.49
781,"(3, 5)",logistic,0.01,0.003,0.0462,43.532,56.468
782,"(5, 2)",tanh,0.01,0.003,0.0462,43.614,56.386
783,"(3,)",logistic,0.0001,0.001,0.1,43.664,56.336
784,"(7, 4)",logistic,0.01,0.001,0.1,43.697,56.303
785,"(7, 2)",logistic,0.0001,0.001,0.1,43.746,56.254
786,"(7, 6)",tanh,0.0001,0.003,0.0462,43.753,56.247
787,"(1, 6)",logistic,0.0001,0.003,0.0462,43.825,56.175
788,"(1, 5)",logistic,0.01,0.003,0.1,43.83,56.17
789,"(4, 2)",logistic,0.0001,0.003,0.0462,43.871,56.129
790,"(2, 3)",tanh,0.0001,0.003,0.1,43.909,56.091
791,"(4, 4)",tanh,0.01,0.003,0.0462,43.936,56.064
792,"(7, 1)",logistic,0.01,0.001,0.0462,43.939,56.061
793,"(3, 4)",logistic,0.0001,0.001,0.0462,43.96,56.04
794,"(5, 4)",logistic,0.01,0.001,0.1,44.061,55.939
795,"(3, 5)",logistic,0.01,0.003,0.1,44.076,55.924
796,"(7, 5)",logistic,0.01,0.003,0.0462,44.365,55.635
797,"(2, 6)",tanh,0.01,0.003,0.0462,44.416,55.584
798,"(5, 2)",logistic,0.01,0.001,0.1,44.471,55.529
799,"(5, 5)",tanh,0.0001,0.001,0.1,44.487,55.513
800,"(3, 1)",tanh,0.0001,0.001,0.1,44.567,55.433
801,"(2, 7)",logistic,0.0001,0.001,0.0462,44.59,55.41
802,"(5, 1)",logistic,0.0001,0.001,0.1,44.679,55.321
803,"(7, 2)",tanh,0.0001,0.003,0.0462,44.875,55.125
804,"(5, 4)",tanh,0.0001,0.001,0.1,45.189,54.811
805,"(7, 6)",tanh,0.0001,0.001,0.1,45.196,54.804
806,"(4, 3)",logistic,0.0001,0.001,0.1,45.437,54.563
807,"(4, 7)",tanh,0.0001,0.001,0.0462,45.671,54.329
808,"(6, 1)",logistic,0.01,0.001,0.0462,45.677,54.323
809,"(1,)",logistic,0.01,0.001,0.1,45.787,54.213
810,"(6,)",logistic,0.0001,0.003,0.1,45.802,54.198
811,"(4, 6)",logistic,0.0001,0.001,0.0462,45.891,54.109
812,"(5,)",logistic,0.01,0.001,0.1,45.937,54.063
813,"(4, 1)",tanh,0.0001,0.001,0.1,45.965,54.035
814,"(7, 7)",logistic,0.0001,0.003,0.0462,46.084,53.916
815,"(5, 1)",logistic,0.0001,0.001,0.0462,46.136,53.864
816,"(4, 5)",tanh,0.01,0.001,0.1,46.19,53.81
817,"(6, 4)",tanh,0.0001,0.003,0.0462,46.235,53.765
818,"(7, 7)",logistic,0.0001,0.003,0.1,46.408,53.592
819,"(5, 7)",tanh,0.0001,0.001,0.0462,46.456,53.544
820,"(5,)",tanh,0.0001,0.001,0.1,46.558,53.442
821,"(7, 1)",logistic,0.0001,0.003,0.0462,46.638,53.362
822,"(6, 6)",tanh,0.0001,0.001,0.1,46.686,53.314
823,"(2, 6)",tanh,0.0001,0.001,0.0462,46.812,53.188
824,"(3, 7)",logistic,0.0001,0.001,0.1,46.879,53.121
825,"(6, 7)",tanh,0.0001,0.003,0.0462,47.014,52.986
826,"(1, 4)",tanh,0.0001,0.003,0.1,47.173,52.827
827,"(3, 6)",logistic,0.01,0.003,0.0462,47.242,52.758
828,"(5, 6)",tanh,0.0001,0.003,0.0462,47.249,52.751
829,"(7, 6)",tanh,0.0001,0.003,0.1,47.526,52.474
830,"(2, 6)",logistic,0.0001,0.001,0.1,47.779,52.221
831,"(4, 7)",logistic,0.0001,0.001,0.1,47.821,52.179
832,"(4,)",logistic,0.0001,0.001,0.0462,47.904,52.096
833,"(3, 5)",logistic,0.0001,0.001,0.1,48.007,51.993
834,"(7,)",logistic,0.0001,0.001,0.0462,48.137,51.863
835,"(6, 3)",tanh,0.0001,0.001,0.0462,48.812,51.188
836,"(4, 2)",tanh,0.0001,0.001,0.1,49.231,50.769
837,"(7, 1)",logistic,0.0001,0.003,0.1,49.503,50.497
838,"(4, 7)",logistic,0.01,0.003,0.0462,49.799,50.201
839,"(6, 4)",logistic,0.0001,0.003,0.0462,50.006,49.994
840,"(3, 7)",tanh,0.0001,0.003,0.1,50.066,49.934
841,"(4, 5)",tanh,0.0001,0.003,0.1,50.196,49.804
842,"(5, 7)",logistic,0.0001,0.001,0.1,50.219,49.781
843,"(7,)",tanh,0.0001,0.003,0.0462,50.32,49.68
844,"(3,)",tanh,0.0001,0.001,0.1,50.402,49.598
845,"(6, 7)",tanh,0.0001,0.001,0.0462,50.425,49.575
846,"(7, 7)",logistic,0.0001,0.001,0.1,50.504,49.496
847,"(5, 7)",tanh,0.0001,0.003,0.1,50.838,49.162
848,"(5, 7)",logistic,0.0001,0.003,0.0462,50.841,49.159
849,"(6, 5)",tanh,0.0001,0.001,0.1,50.91,49.09
850,"(7, 6)",logistic,0.0001,0.001,0.0462,51.246,48.754
851,"(6, 4)",tanh,0.0001,0.001,0.1,51.428,48.572
852,"(4, 6)",logistic,0.0001,0.003,0.0462,51.636,48.364
853,"(7, 5)",tanh,0.01,0.003,0.1,51.685,48.315
854,"(5, 4)",logistic,0.0001,0.001,0.1,51.693,48.307
855,"(7, 6)",logistic,0.01,0.001,0.0462,51.813,48.187
856,"(7, 7)",tanh,0.0001,0.003,0.1,51.855,48.145
857,"(5, 5)",tanh,0.0001,0.003,0.0462,52.271,47.729
858,"(2, 1)",tanh,0.0001,0.001,0.1,52.588,47.412
859,"(5, 3)",tanh,0.0001,0.001,0.1,52.713,47.287
860,"(6, 3)",logistic,0.01,0.003,0.1,53.063,46.937
861,"(3, 5)",tanh,0.0001,0.003,0.0462,53.949,46.051
862,"(7, 4)",logistic,0.0001,0.003,0.1,54.213,45.787
863,"(6, 5)",logistic,0.0001,0.001,0.1,54.225,45.775
864,"(4, 2)",tanh,0.0001,0.003,0.1,54.427,45.573
865,"(5, 2)",logistic,0.0001,0.003,0.1,54.775,45.225
866,"(4, 2)",logistic,0.0001,0.001,0.1,54.889,45.111
867,"(5, 6)",tanh,0.0001,0.001,0.1,55.132,44.868
868,"(6, 1)",logistic,0.0001,0.003,0.1,55.465,44.535
869,"(3, 7)",logistic,0.01,0.001,0.1,55.523,44.477
870,"(6, 2)",tanh,0.0001,0.001,0.0462,55.678,44.322
871,"(6, 6)",tanh,0.0001,0.001,0.0462,55.874,44.126
872,"(6, 5)",logistic,0.0001,0.003,0.1,56.638,43.362
873,"(7,)",tanh,0.0001,0.001,0.0462,57.275,42.725
874,"(7, 6)",logistic,0.0001,0.001,0.1,57.415,42.585
875,"(7, 3)",tanh,0.0001,0.001,0.1,57.562,42.438
876,"(6,)",logistic,0.01,0.001,0.1,59.777,40.223
877,"(3, 3)",logistic,0.0001,0.001,0.1,59.936,40.064
878,"(6,)",logistic,0.0001,0.003,0.0462,60.007,39.993
879,"(6,)",tanh,0.0001,0.001,0.1,60.667,39.333
880,"(6, 2)",logistic,0.0001,0.003,0.1,60.886,39.114
881,"(6, 4)",logistic,0.0001,0.001,0.1,60.957,39.043
882,"(7, 7)",tanh,0.0001,0.003,0.0462,61.386,38.614
883,"(6, 5)",tanh,0.0001,0.003,0.1,61.929,38.071
884,"(4, 6)",tanh,0.0001,0.003,0.1,63.297,36.703
885,"(5,)",tanh,0.0001,0.001,0.0462,64.196,35.804
886,"(3,)",logistic,0.0001,0.001,0.0462,66.452,33.548
887,"(4, 3)",logistic,0.0001,0.001,0.0462,66.479,33.521
888,"(5, 2)",tanh,0.0001,0.001,0.0462,66.936,33.064
889,"(3, 1)",tanh,0.0001,0.003,0.1,67.89,32.11
890,"(4, 4)",tanh,0.0001,0.003,0.1,68.141,31.859
891,"(1, 1)",logistic,0.0001,0.001,0.1,68.542,31.458
892,"(7, 5)",tanh,0.0001,0.003,0.1,69.692,30.308
893,"(6, 3)",tanh,0.0001,0.003,0.0462,71.099,28.901
894,"(7, 4)",logistic,0.0001,0.001,0.1,76.427,23.573
895,"(3, 2)",logistic,0.0001,0.003,0.1,83.548,16.452
896,"(5, 3)",tanh,0.0001,0.003,0.0462,88.469,11.531
