,Arquitetura,FA,Alpha,TA,FV,MAPE Teste,Acurácia
226,"(7, 2)",tanh,0.01,0.003,0.0462,35.83,64.17
227,"(1, 2)",logistic,0.01,0.001,0.1,35.835,64.165
228,"(4, 6)",logistic,0.01,0.001,0.0462,35.84,64.16
229,"(6,)",tanh,0.01,0.001,0.1,35.883,64.117
230,"(4, 4)",logistic,0.01,0.003,0.1,35.89,64.11
231,"(6,)",tanh,0.0001,0.003,0.1,35.898,64.102
232,"(2,)",tanh,0.01,0.001,0.0462,35.912,64.088
233,"(2, 4)",logistic,0.0001,0.003,0.1,35.919,64.081
234,"(1, 4)",tanh,0.0001,0.001,0.1,35.922,64.078
235,"(4, 7)",logistic,0.0001,0.001,0.0462,35.937,64.063
236,"(7, 4)",tanh,0.0001,0.003,0.0462,35.974,64.026
237,"(1,)",logistic,0.0001,0.003,0.1,35.978,64.022
238,"(6, 2)",logistic,0.01,0.001,0.1,35.982,64.018
239,"(2,)",logistic,0.01,0.001,0.1,35.996,64.004
240,"(3, 6)",logistic,0.01,0.001,0.0462,36.008,63.992
241,"(5, 7)",tanh,0.01,0.003,0.0462,36.024,63.976
242,"(3, 1)",tanh,0.01,0.001,0.1,36.025,63.975
243,"(4, 1)",logistic,0.0001,0.001,0.0462,36.029,63.971
244,"(4, 3)",tanh,0.01,0.003,0.0462,36.031,63.969
245,"(6, 2)",tanh,0.0001,0.003,0.0462,36.042,63.958
246,"(7, 2)",logistic,0.0001,0.003,0.0462,36.049,63.951
247,"(3, 7)",logistic,0.01,0.001,0.0462,36.063,63.937
248,"(6, 5)",logistic,0.0001,0.001,0.0462,36.074,63.926
249,"(1,)",tanh,0.01,0.003,0.1,36.081,63.919
250,"(3,)",logistic,0.01,0.003,0.0462,36.105,63.895
251,"(5, 3)",logistic,0.01,0.001,0.1,36.12,63.88
252,"(3, 6)",tanh,0.01,0.003,0.1,36.124,63.876
253,"(1, 6)",logistic,0.0001,0.001,0.0462,36.176,63.824
254,"(1, 2)",logistic,0.0001,0.001,0.0462,36.221,63.779
255,"(7, 4)",logistic,0.01,0.003,0.1,36.221,63.779
256,"(6, 3)",logistic,0.0001,0.003,0.0462,36.309,63.691
257,"(2, 7)",tanh,0.0001,0.001,0.0462,36.318,63.682
258,"(2, 7)",tanh,0.01,0.003,0.0462,36.334,63.666
259,"(3, 3)",tanh,0.0001,0.001,0.1,36.381,63.619
260,"(3, 2)",logistic,0.0001,0.001,0.1,36.395,63.605
261,"(2, 7)",tanh,0.01,0.001,0.0462,36.4,63.6
262,"(2, 2)",tanh,0.01,0.001,0.0462,36.404,63.596
263,"(7, 1)",logistic,0.0001,0.001,0.1,36.429,63.571
264,"(1, 6)",logistic,0.01,0.003,0.1,36.441,63.559
265,"(5,)",logistic,0.01,0.003,0.0462,36.448,63.552
266,"(1,)",tanh,0.0001,0.001,0.0462,36.465,63.535
267,"(5, 1)",tanh,0.0001,0.003,0.1,36.467,63.533
268,"(2, 4)",tanh,0.0001,0.001,0.0462,36.469,63.531
269,"(2,)",logistic,0.01,0.003,0.1,36.498,63.502
270,"(2,)",logistic,0.0001,0.003,0.0462,36.506,63.494
271,"(3, 5)",logistic,0.0001,0.001,0.0462,36.57,63.43
272,"(6, 7)",tanh,0.01,0.001,0.1,36.592,63.408
273,"(3, 3)",tanh,0.0001,0.003,0.0462,36.604,63.396
274,"(1, 4)",logistic,0.01,0.001,0.1,36.623,63.377
275,"(7, 4)",tanh,0.01,0.001,0.1,36.634,63.366
276,"(7, 7)",tanh,0.01,0.001,0.0462,36.635,63.365
277,"(7, 3)",logistic,0.0001,0.003,0.1,36.656,63.344
278,"(6, 3)",logistic,0.01,0.003,0.0462,36.663,63.337
279,"(2, 1)",tanh,0.01,0.003,0.1,36.667,63.333
