Year,rainfall_06,rainfall_01,rainfall_02,rainfall_03,rainfall_04,rainfall_05,rainfall_12,nino12_01,nino12_02,nino12_03,nino12_04,nino12_05,nino12_12,nino3_01,nino3_02,nino3_03,nino3_04,nino3_05,nino3_12,nino34_01,nino34_02,nino34_03,nino34_04,nino34_05,nino34_12,nino4_01,nino4_02,nino4_03,nino4_04,nino4_05,nino4_12,tsa_01,tsa_02,tsa_03,tsa_04,tsa_05,tsa_12
1985,0.75,-0.17,0.34,-0.42,-1.82,1.06,1.98,-0.55,-1.06,-0.54,-1.01,-1.07,-0.05,-0.97,-0.78,-1.05,-1.24,-0.95,-0.51,-0.85,-0.57,-0.84,-1.36,-1.18,-0.22,-0.48,-0.7,-1.09,-1.31,-1.45,0.08,0.69,1.23,0.13,0.22,0.38,0.62
1986,-0.22,-0.2,0.12,-0.18,-0.41,-0.37,0.26,0.24,0.19,-0.44,-0.51,-0.7,0.75,-0.69,-0.42,-0.18,-0.13,-0.47,0.83,-0.4,-0.54,-0.26,-0.04,-0.26,1.01,0.03,-0.06,0.02,-0.24,-0.05,0.74,0.36,1.1,0.74,0.56,0.43,-0.06
1987,-1.73,0.08,0.07,-0.45,-0.28,-0.72,-0.35,1.5,1.61,2.11,1.49,1.38,0.79,1.19,1.7,2.21,1.87,1.57,1.06,1.22,1.51,1.99,1.71,1.41,0.96,0.69,1.0,1.21,1.06,1.19,1.27,-0.14,0.04,0.18,-0.07,0.48,0.87
1988,2.33,-0.17,2.43,-0.57,-0.67,0.57,2.23,0.53,-0.07,-0.49,-0.34,-0.49,-0.54,0.99,0.39,0.27,-0.36,-1.34,-1.22,0.98,0.49,0.33,-0.21,-1.44,-1.61,1.18,0.94,0.6,-0.03,-0.77,-1.83,1.55,1.61,1.72,1.38,1.51,0.37
1989,1.43,0.09,1.24,-0.71,0.55,3.15,-0.05,-0.14,0.15,0.07,-0.03,-0.69,-0.12,-1.2,-1.03,-1.39,-1.02,-0.69,-0.21,-1.71,-1.52,-1.53,-1.46,-1.04,0.01,-1.93,-1.78,-1.51,-1.27,-0.86,0.17,0.94,0.44,0.66,0.59,0.6,-0.74
1990,-0.49,-0.58,-0.84,-0.23,-0.86,0.04,-0.68,-0.17,0.46,0.02,-0.3,-0.16,-0.03,-0.09,0.28,-0.2,0.22,0.55,0.09,0.16,0.35,0.28,0.4,0.45,0.41,0.54,0.81,0.91,0.67,0.43,0.94,-1.14,0.17,0.59,0.74,-0.33,0.45
1991,0.49,-0.07,-0.53,-0.13,0.26,0.82,-1.03,-0.12,0.13,0.23,0.03,-0.02,0.97,0.28,0.16,0.04,0.43,0.74,1.16,0.6,0.57,0.39,0.81,0.87,1.58,1.05,1.03,0.98,1.18,1.46,1.22,0.13,-0.02,0.13,0.64,0.98,-0.31
1992,-1.07,-0.55,-0.17,0.27,-1.05,-1.22,0.49,0.89,1.41,1.69,1.96,1.79,0.2,1.49,1.74,1.91,2.16,1.93,-0.02,1.88,2.17,2.27,2.35,2.11,0.14,1.14,1.46,1.4,1.38,1.28,0.52,-0.95,-0.88,-1.22,-1.68,-1.77,-1.01
1993,-1.06,1.75,3.08,-0.94,0.55,-1.44,0.32,0.32,0.77,0.78,1.18,1.02,0.39,0.14,0.76,0.98,1.76,1.81,0.23,0.35,0.64,0.92,1.64,1.88,0.3,0.82,0.54,0.56,0.67,0.71,0.53,-0.89,-0.53,-0.44,0.35,-0.12,1.15
1994,0.23,1.0,1.08,-0.63,-0.63,-0.66,-0.03,0.28,0.08,-0.53,-0.6,-0.4,1.02,0.41,0.19,-0.2,-0.03,0.31,0.89,0.34,0.35,0.47,0.88,0.99,1.25,0.54,0.26,0.62,0.77,0.91,1.46,0.69,0.15,0.38,0.3,0.07,0.4
1995,-0.14,0.02,-1.37,-0.21,1.7,-0.23,-0.76,1.18,0.49,-0.07,-0.65,-0.57,-0.48,1.0,0.83,0.25,-0.12,-0.36,-0.7,1.16,1.05,0.95,0.88,0.37,-0.73,1.36,1.46,1.61,1.36,1.32,-0.34,0.91,1.47,1.64,1.43,1.22,-0.11
1996,1.44,3.3,-0.22,0.17,1.16,-1.13,-0.98,-0.47,-0.15,0.08,-1.09,-0.72,-0.86,-0.57,-0.66,-0.41,-0.68,-0.5,-0.69,-0.65,-0.76,-0.67,-0.23,-0.07,-0.42,-0.29,-0.39,-0.26,-0.4,-0.29,0.16,0.3,0.99,0.96,1.53,1.65,-0.26
1997,-2.11,-0.74,0.58,2.18,-0.08,0.12,0.44,-0.56,0.4,1.02,1.08,1.85,4.29,-0.63,-0.69,-0.32,0.22,1.22,2.97,-0.36,-0.26,-0.25,0.61,1.27,2.2,0.34,0.58,0.83,1.72,1.65,1.09,-0.81,-1.1,-1.4,-1.5,-1.48,2.48
1998,1.08,0.21,-1.01,-1.13,0.93,0.33,-0.4,4.32,4.2,3.57,2.81,2.53,0.26,3.27,3.48,3.67,3.14,2.35,-0.67,2.41,2.47,2.32,1.81,1.46,-1.31,1.15,1.21,0.85,0.27,0.32,-1.59,1.8,1.83,1.52,1.25,1.1,0.17
1999,0.72,1.46,-0.19,-0.9,1.08,2.05,-0.31,-0.28,-0.24,-0.09,-0.76,-0.36,-0.47,-0.88,-0.71,-0.37,-0.77,-0.69,-1.17,-1.39,-1.27,-1.05,-1.16,-1.29,-1.39,-1.83,-1.85,-1.6,-1.41,-1.21,-1.34,0.16,-0.04,0.61,1.01,1.08,0.8
2000,-1.32,0.76,0.58,0.2,2.28,-0.68,-0.38,-0.73,-0.58,-0.53,-0.0,-0.04,-0.58,-1.42,-1.13,-0.5,0.02,-0.24,-0.37,-1.52,-1.54,-1.3,-1.09,-0.99,-0.68,-1.34,-1.66,-2.0,-1.89,-1.67,-0.84,0.38,0.88,0.79,0.8,0.5,-0.13
2001,1.02,0.74,-0.57,-1.07,-1.37,-0.09,-0.14,-0.31,-0.22,0.59,0.58,-0.17,-0.64,-0.18,-0.02,0.41,0.24,0.23,-0.44,-0.54,-0.47,-0.35,-0.33,-0.07,-0.3,-0.9,-0.84,-0.65,-0.42,-0.12,0.39,0.24,0.28,0.51,0.82,0.93,-0.08
2002,0.92,1.11,-0.38,-1.29,0.61,0.23,1.03,-0.26,0.67,1.12,0.67,0.76,0.84,-0.34,-0.18,0.46,0.46,0.77,1.16,0.03,0.17,0.33,0.54,0.98,1.31,0.82,0.97,0.94,1.38,1.87,1.41,0.19,-0.34,0.51,0.64,0.98,0.77
2003,-0.06,-2.06,0.55,-1.15,0.75,-0.21,-1.6,0.25,0.19,0.44,-0.28,-1.0,0.33,0.91,0.87,0.73,-0.24,-0.68,0.78,0.92,1.01,0.93,0.3,-0.38,0.46,1.14,1.26,1.41,1.22,0.63,0.91,1.35,1.37,1.36,0.93,0.69,1.3
2004,0.13,-1.21,-1.2,1.05,-0.96,1.83,-1.0,0.41,0.73,-0.46,0.04,-0.47,0.71,0.66,0.72,0.64,0.5,0.02,0.75,0.43,0.43,0.41,0.59,0.59,0.8,0.96,0.91,0.71,0.61,0.84,1.46,0.94,0.42,-0.24,-0.86,-0.48,0.97
2005,-1.22,-1.37,0.46,0.13,0.91,-0.15,0.8,0.54,-0.55,-0.66,0.01,0.02,-0.43,0.64,0.35,0.62,0.78,0.86,-0.79,0.87,0.75,1.09,0.99,1.08,-0.56,1.58,1.35,1.49,1.24,1.08,-0.08,1.49,1.15,1.31,0.59,-0.33,-0.16
2006,-0.54,-1.28,0.6,-0.57,-0.69,1.42,1.1,0.16,0.75,0.22,-0.74,-0.07,0.94,-0.57,0.08,-0.05,0.07,0.42,1.2,-0.61,-0.46,-0.56,0.03,0.3,1.13,-0.33,-0.64,-0.53,-0.08,0.45,1.39,-0.09,0.44,0.81,0.64,0.38,0.7
2007,-0.27,1.49,-1.32,0.15,0.26,-0.75,1.2,1.12,0.72,0.08,-0.52,-0.84,-1.13,1.14,0.47,-0.04,-0.29,-0.56,-0.98,0.92,0.46,0.28,0.08,-0.14,-1.04,1.23,1.07,1.14,0.85,0.63,-0.82,0.47,0.39,-0.12,0.45,0.48,0.4
2008,1.8,1.3,0.16,2.36,0.28,0.24,2.77,-0.12,0.82,0.77,0.27,0.18,0.15,-1.08,-1.13,-0.71,-0.2,0.05,-0.24,-1.31,-1.55,-1.43,-1.12,-0.94,-0.58,-1.27,-1.72,-1.6,-1.41,-1.45,-0.62,0.33,0.8,1.29,1.51,1.77,0.92
2009,1.05,0.3,1.62,-0.91,-1.01,-1.26,0.45,0.36,-0.05,-0.19,0.65,0.55,0.4,-0.27,-0.21,-0.34,0.34,0.83,1.07,-0.72,-0.63,-0.35,0.22,0.65,1.44,-0.75,-0.67,-0.36,0.21,0.56,1.74,1.05,0.77,1.14,1.19,1.7,1.65
2010,0.11,0.13,0.65,-1.18,-0.16,-0.75,0.78,0.41,0.67,0.56,0.62,0.46,-0.52,1.13,1.39,1.39,1.07,0.42,-0.81,1.45,1.55,1.63,1.18,0.31,-1.15,1.73,1.53,1.74,1.68,1.04,-1.28,1.99,1.66,2.02,1.61,1.29,0.92
2011,0.15,-0.66,1.95,0.02,2.07,-0.18,-0.36,0.3,0.59,-0.4,0.03,0.23,-0.72,-0.96,-0.64,-0.68,0.04,0.0,-0.52,-1.28,-1.06,-0.93,-0.62,-0.29,-0.69,-1.21,-0.81,-0.44,-0.4,-0.29,-0.86,1.05,1.42,1.59,1.11,0.53,-1.31
2012,-0.57,0.93,0.07,-0.45,-1.29,-0.72,0.49,-0.34,0.63,0.51,0.79,1.03,-0.36,-0.2,0.12,0.36,0.48,0.48,-0.26,-0.59,-0.51,-0.42,-0.43,-0.26,-0.14,-0.81,-0.62,-0.6,-0.44,-0.25,0.41,-1.09,-1.56,-0.42,-1.05,-0.29,0.35
2013,-1.65,0.35,0.56,1.08,1.07,-0.02,-1.46,0.07,0.09,-0.23,-0.79,-0.7,0.08,-0.49,-0.41,-0.02,0.05,-0.26,0.07,-0.37,-0.38,-0.35,0.08,0.07,-0.08,0.4,0.06,-0.4,-0.1,-0.12,0.14,0.88,0.5,0.44,0.74,0.96,0.17
2014,1.98,-0.36,-0.33,2.11,-0.66,1.71,-0.6,0.36,-0.19,0.01,0.14,0.78,0.61,-0.15,-0.48,0.0,0.43,0.89,0.81,-0.4,-0.65,-0.46,0.1,0.38,0.74,-0.03,0.25,0.47,0.91,0.89,1.22,0.11,0.42,0.33,0.43,0.96,-0.41
2015,-0.77,0.22,-0.62,0.53,-1.6,0.41,-1.17,0.32,-0.05,0.54,0.87,1.23,2.12,0.72,0.48,0.75,1.41,1.64,2.41,0.69,0.63,0.9,1.57,1.79,2.28,1.32,1.41,1.78,2.33,2.35,1.95,0.99,0.96,0.36,0.77,0.91,1.65
