Year,RAINFALL
1970,132.0
1971,146.39999999999995
1972,125.49999999999997
1973,87.39999999999999
1974,172.09999999999994
1975,97.80000000000001
1976,61.7
1977,78.39999999999999
1978,89.3
1983,99.39999999999999
1984,94.19999999999999
1985,150.9
1986,102.80000000000001
1987,28.199999999999996
1988,229.09999999999997
1989,184.5
1990,89.30000000000001
1991,137.90000000000003
1992,61.0
1993,61.5
1994,125.20000000000002
1995,107.0
1996,185.10000000000002
1997,9.5
1998,167.2
1999,149.3
2000,48.20000000000001
2001,164.1
2002,159.10000000000005
2003,110.70000000000003
2004,120.20000000000002
2005,53.5
2006,86.99999999999999
2007,100.20000000000002
2008,202.7
2009,165.8
2010,119.10000000000001
