Year,RAINFALL
1970,68.4
1971,36.10000000000001
1972,73.7
1973,143.3
1974,66.0
1975,203.2
1976,32.599999999999994
1977,17.400000000000006
1978,108.5
1983,134.1
1984,93.0
1985,103.39999999999999
1986,183.89999999999998
1987,20.7
1988,82.3
1989,157.5
1990,114.10000000000001
1991,173.89999999999998
1992,90.3
1993,34.599999999999994
1994,33.0
1995,76.9
1996,16.9
1997,0.0
1998,91.99999999999999
1999,25.300000000000004
2000,40.800000000000004
2001,30.599999999999998
2002,3.4000000000000004
2003,93.0
2004,59.60000000000001
2005,52.400000000000006
2006,71.6
2007,121.9
2008,80.2
2009,25.099999999999998
2010,100.6
