Year,RAINFALL
1970,326.19999999999993
1971,367.59999999999997
1972,362.0999999999999
1973,274.69999999999993
1974,196.90000000000003
1975,358.7
1976,528.8000000000001
1977,262.4
1978,203.49999999999997
1983,107.50000000000001
1984,331.20000000000005
1985,318.09999999999997
1986,294.9
1987,289.0999999999999
1988,533.0
1989,416.99999999999994
1990,189.99999999999997
1991,223.79999999999998
1992,245.6
1993,617.4
1994,399.5
1995,132.0
1996,257.6
1997,344.5
1998,171.7
1999,260.8
2000,337.8
2001,219.5
2002,239.9
2003,340.90000000000003
2004,148.29999999999998
2005,331.5
2006,346.40000000000003
2007,137.7
2008,291.79999999999995
2009,457.89999999999986
2010,352.5
