Year,RAINFALL
1970,143.4
1971,94.3
1972,169.10000000000005
1973,220.89999999999998
1974,285.1
1975,213.6
1976,176.29999999999998
1977,227.30000000000004
1978,125.99999999999999
1983,372.1000000000001
1984,148.1
1985,391.3999999999999
1986,246.89999999999998
1987,195.20000000000002
1988,412.09999999999997
1989,220.1
1990,167.30000000000004
1991,137.9
1992,265.59999999999997
1993,251.29999999999995
1994,222.50000000000006
1995,160.5
1996,142.2
1997,261.5
1998,191.0
1999,198.3
2000,192.29999999999998
2001,213.0
2002,311.2
2003,89.9
2004,140.0
2005,291.79999999999995
2006,317.3999999999999
2007,327.9
2008,458.09999999999997
2009,262.40000000000003
2010,290.09999999999997
