rainfall_10,7478.6
rainfall_04,21009.6
rainfall_05,15857.4
rainfall_06,7505.4000000000015
rainfall_07,4681.410000000003
rainfall_08,3601.0
rainfall_09,4685.8
nino12_04,1677.9200000000003
nino12_05,1600.9300000000005
nino12_06,1515.2900000000006
nino12_07,1442.1899999999998
nino12_08,1379.9499999999996
nino12_09,1361.2799999999995
nino3_04,1808.3500000000006
nino3_05,1785.8300000000002
nino3_06,1745.8399999999995
nino3_07,1694.56
nino3_08,1654.01
nino3_09,1642.5999999999995
nino34_04,1825.1100000000001
nino34_05,1834.0699999999995
nino34_06,1821.1
nino34_07,1794.0499999999993
nino34_08,1768.1299999999999
nino34_09,1761.87
nino4_04,1878.1799999999998
nino4_05,1897.7399999999998
nino4_06,1898.15
nino4_07,1891.4
nino4_08,1883.6599999999994
nino4_09,1884.4499999999998
tsa_04,4.450000000000001
tsa_05,5.239999999999999
tsa_06,4.55
tsa_07,3.5100000000000002
tsa_08,2.7499999999999996
tsa_09,1.95
