,Norm,Year,from
0,348.3999999999999,2001,y
1,380.79999999999995,2002,y
2,105.79999999999998,2003,y
3,179.59999999999994,2004,y
4,165.69999999999996,2005,y
5,173.3,2006,y
6,414.3999999999999,2007,y
7,397.39999999999986,2008,y
8,310.7999999999999,2009,y
9,295.79999999999995,2010,y
10,226.79999999999995,2011,y
11,365.19999999999993,2012,y
12,314.59999999999997,2013,y
13,253.29999999999995,2014,y
14,303.6999999999999,2015,y
0,388.4780893534126,2001,net_0
1,385.79978581718126,2002,net_0
2,445.9295806007769,2003,net_0
3,325.2688978164313,2004,net_0
4,338.8958615918895,2005,net_0
5,399.00140149031984,2006,net_0
6,374.48984749289025,2007,net_0
7,470.2818693984612,2008,net_0
8,488.2011865485895,2009,net_0
9,518.4510004531934,2010,net_0
10,400.18390827117577,2011,net_0
11,279.26314595771396,2012,net_0
12,396.0272959875115,2013,net_0
13,407.39984611047845,2014,net_0
14,397.67872940159214,2015,net_0
0,277.1550451835404,2001,net_1
1,282.0339251586411,2002,net_1
2,259.84829333058707,2003,net_1
3,271.7649529189968,2004,net_1
4,273.0762249459102,2005,net_1
5,274.66492977314164,2006,net_1
6,276.501082676853,2007,net_1
7,268.83921398864567,2008,net_1
8,267.72966478463604,2009,net_1
9,260.6205822051245,2010,net_1
10,269.63793426784486,2011,net_1
11,290.33301544250514,2012,net_1
12,275.19143269361086,2013,net_1
13,277.04072665366226,2014,net_1
14,273.3799680405019,2015,net_1
0,266.98054451307297,2001,net_2
1,275.51241664207646,2002,net_2
2,267.2158129750443,2003,net_2
3,268.3263657103392,2004,net_2
4,317.91806267768004,2005,net_2
5,255.7648147373318,2006,net_2
6,263.7683205404866,2007,net_2
7,243.79321863295752,2008,net_2
8,248.19978838558833,2009,net_2
9,263.6728024956988,2010,net_2
10,295.87531741711166,2011,net_2
11,259.0496232481231,2012,net_2
12,270.90410819742755,2013,net_2
13,245.69027703507456,2014,net_2
14,276.87915498895046,2015,net_2
0,286.3600973533194,2001,net_3
1,291.0303672480724,2002,net_3
2,322.5900672124037,2003,net_3
3,306.1685003639955,2004,net_3
4,299.0942063120684,2005,net_3
5,296.3673704804063,2006,net_3
6,284.7954653096973,2007,net_3
7,302.97354553641105,2008,net_3
8,305.94527545956595,2009,net_3
9,309.6771478241044,2010,net_3
10,287.5646771102611,2011,net_3
11,282.5809071594136,2012,net_3
12,288.0519356792073,2013,net_3
13,273.1040820878328,2014,net_3
14,306.45819754090917,2015,net_3
0,285.7931412202298,2001,net_4
1,285.7935837440779,2002,net_4
2,285.7818659984043,2003,net_4
3,285.78798336232325,2004,net_4
4,285.79255023478214,2005,net_4
5,285.79004071407377,2006,net_4
6,285.791712484295,2007,net_4
7,285.7878297396338,2008,net_4
8,285.78572213769195,2009,net_4
9,285.7843798390701,2010,net_4
10,285.79319804743267,2011,net_4
11,285.7966001761614,2012,net_4
12,285.79298291220573,2013,net_4
13,285.7949216785487,2014,net_4
14,285.78800145394376,2015,net_4
