Year,y,net_0,net_1,net_2
2001,66.02666666666664,2.292637416403845,-12.848705460171399,2.740081930474229
2002,98.42666666666666,3.793590645076864,81.86099696398034,1.1281480507999595
2003,-176.57333333333332,2.289294520985619,-18.355230542295725,3.3081075143528156
2004,-102.77333333333334,2.8720997057540187,-18.694076178784186,3.6649297592556285
2005,-116.67333333333333,2.8378684792633617,-62.10820186477859,3.47527067060657
2006,-109.07333333333328,3.2128386983999437,-15.504377567132225,2.006457451094516
2007,132.02666666666664,2.8353898150089547,6.269801340851732,2.556537708989179
2008,115.0266666666666,3.1624994397293684,72.57031161563121,1.3185353558855328
2009,28.426666666666637,3.2058255442861943,17.925418979326334,2.502425485220263
2010,13.426666666666689,2.7482507083336265,49.911781555206794,1.7860459319473136
2011,-55.57333333333332,1.8091176763979522,-63.24406201736035,1.7106224772398
2012,82.82666666666667,2.9692492891007234,4.503555793458327,3.098241526208589
2013,32.22666666666666,3.525085022854194,17.396425900986177,1.5913144496564966
2014,-29.07333333333333,3.2389829403741,-88.60322966443802,1.3863305491985578
2015,21.326666666666565,2.905174791592791,47.649069987820695,3.890553759345093
