Year,RAINFALL
1970,403.2
1971,418.8999999999999
1972,341.19999999999993
1973,191.7
1974,524.5
1975,232.00000000000003
1976,211.10000000000002
1977,266.7
1978,229.39999999999995
1983,192.4
1984,333.30000000000007
1985,145.3
1986,279.5
1987,291.19999999999993
1988,254.7
1989,370.8
1990,236.39999999999998
1991,342.9
1992,218.6
1993,370.3
1994,258.70000000000005
1995,480.5
1996,428.4999999999999
1997,310.79999999999995
1998,407.19999999999993
1999,421.2
2000,535.4000000000002
2001,188.20000000000002
2002,376.70000000000005
2003,390.1
2004,227.2
2005,404.8
2006,252.1
2007,343.1
2008,345.4000000000001
2009,222.1
2010,303.40000000000003
