Year,RAINFALL
1970,386.69999999999993
1971,287.79999999999995
1972,197.7
1974,313.1000000000001
1975,329.5
1976,294.29999999999995
1977,196.7
1978,295.4
1983,32.6
1984,268.00000000000006
1985,269.7
1986,267.09999999999997
1987,291.50000000000006
1988,269.69999999999993
1989,291.99999999999994
1990,234.30000000000004
1991,278.5
1992,236.50000000000003
1993,436.49999999999994
1994,371.1
1995,286.0
1996,571.3
1997,220.60000000000002
1998,302.59999999999997
1999,411.59999999999997
2000,350.2
2001,348.4
2002,380.8
2003,105.8
2004,179.59999999999997
2005,165.70000000000002
2006,173.3
2007,414.3999999999999
2008,397.4000000000001
2009,310.79999999999995
2010,295.8
