Year,RAINFALL
1970,382.8999999999999
1971,352.3999999999999
1972,163.7
1973,291.30000000000007
1974,247.50000000000003
1975,396.09999999999997
1976,457.40000000000003
1977,332.09999999999997
1978,404.1
1983,418.20000000000005
1984,223.39999999999998
1985,280.90000000000003
1986,304.40000000000003
1987,277.59999999999997
1988,265.6
1989,252.2
1990,299.2
1991,309.20000000000005
1992,347.7999999999999
1993,229.3
1994,259.49999999999994
1995,301.4
1996,338.1000000000001
1997,534.8999999999999
1998,210.79999999999995
1999,233.19999999999996
2000,340.7
2001,216.79999999999995
2002,195.29999999999998
2003,209.19999999999993
2004,424.2
2005,334.0
2006,265.3
2007,336.0
2008,553.0
2009,232.50000000000006
2010,206.39999999999998
