,Norm,Year,from
0,0.0035160965080447033,2001,y
1,0.0052414831224527475,2002,y
2,-0.009403002030701942,2003,y
3,-0.005472954742328066,2004,y
4,-0.00621316690097843,2005,y
5,-0.005808446584018516,2006,y
6,0.007030772944801828,2007,y
7,0.0061254774989704455,2008,y
8,0.0015137959925588251,2009,y
9,0.0007150058932958447,2010,y
10,-0.0029594285633138782,2011,y
11,0.004410741419219245,2012,y
12,0.001716156151038782,2013,y
13,-0.0015482327212826084,2014,y
14,0.0011357020122410091,2015,y
0,0.005650361906236918,2001,net_0
1,0.0055077350830660746,2002,net_0
2,0.008709807399322818,2003,net_0
3,0.0022843034807597043,2004,net_0
4,0.0030099757305497923,2005,net_0
5,0.006210756409331282,2006,net_0
6,0.004905450632618165,2007,net_0
7,0.010006631878388357,2008,net_0
8,0.010960883420060082,2009,net_0
9,0.012571766876829767,2010,net_0
10,0.0062737280565885525,2011,net_0
11,-0.0001656257921664947,2012,net_0
12,0.006052377340677491,2013,net_0
13,0.006657996036784027,2014,net_0
14,0.006140320584728139,2015,net_0
0,-0.0002778877939437277,2001,net_1
1,-1.807439263686733e-05,2002,net_1
2,-0.0011995185959797552,2003,net_1
3,-0.0005649246162791541,2004,net_1
4,-0.0004950958754432258,2005,net_1
5,-0.00041049309633364034,2006,net_1
6,-0.0003127130456524671,2007,net_1
7,-0.000720728035652006,2008,net_1
8,-0.0007798144969058743,2009,net_1
9,-0.0011583921488629925,2010,net_1
10,-0.0006781940455783467,2011,net_1
11,0.00042387435080581265,2012,net_1
12,-0.0003824554083267165,2013,net_1
13,-0.00028397556126565776,2014,net_1
14,-0.00047892074366460285,2015,net_1
0,-0.0008197071539779929,2001,net_2
1,-0.0003653621549896055,2002,net_2
2,-0.000807178479438557,2003,net_2
3,-0.0007480385774610229,2004,net_2
4,0.0018928518587497736,2005,net_2
5,-0.001416974747369397,2006,net_2
6,-0.0009907666677058044,2007,net_2
7,-0.0020544942434060284,2008,net_2
8,-0.0018198326240651472,2009,net_2
9,-0.0009958532589376332,2010,net_2
10,0.000719016747101904,2011,net_2
11,-0.0012420499129430704,2012,net_2
12,-0.0006107668989853085,2013,net_2
13,-0.001953470812117046,2014,net_2
14,-0.00029257968433853837,2015,net_2
0,0.00021230584181752138,2001,net_3
1,0.00046101019867183374,2002,net_3
2,0.00214164858981971,2003,net_3
3,0.001267156255626796,2004,net_3
4,0.0008904311857631728,2005,net_3
5,0.0007452198881200203,2006,net_3
6,0.00012898500278852448,2007,net_3
7,0.001097016370035668,2008,net_3
8,0.001255268932722313,2009,net_3
9,0.00145400111248941,2010,net_3
10,0.0002764529340586949,2011,net_3
11,1.1053861142605592e-05,2012,net_3
12,0.00030240075543571526,2013,net_3
13,-0.0004936124081657903,2014,net_3
14,0.0012825834047403353,2015,net_3
0,0.00018211391209562756,2001,net_4
1,0.00018213747767352982,2002,net_4
2,0.0001815134763915472,2003,net_4
3,0.0001818392423736815,2004,net_4
4,0.00018208244054066826,2005,net_4
5,0.00018194880185428385,2006,net_4
6,0.0001820378280876795,2007,net_4
7,0.0001818310615547946,2008,net_4
8,0.00018171882611717032,2009,net_4
9,0.00018164734512720986,2010,net_4
10,0.00018211693829609486,2011,net_4
11,0.00018229811074575546,2012,net_4
12,0.00018210548177014126,2013,net_4
13,0.00018220872626077862,2014,net_4
14,0.000181840205800839,2015,net_4
