Year,1,2,3,4,5,6,7,8,9,10,11,12
1950,-1.73,-1.26,-0.56,-0.76,-1.19,-0.82,-0.67,-0.54,-0.72,-0.51,-0.82,-0.82
1951,-0.61,-0.51,-0.05,0.03,0.09,0.17,0.88,0.8,0.84,0.81,0.96,0.66
1952,0.39,0.17,0.2,0.19,0.09,-0.34,-0.45,-0.43,-0.43,-0.34,-0.68,-0.36
1953,0.22,0.45,0.43,0.43,0.4,0.45,0.28,0.2,0.48,0.32,0.17,0.27
1954,0.06,0.03,-0.27,-1.32,-1.2,-1.1,-1.02,-1.2,-1.33,-1.19,-0.99,-1.18
1955,-0.61,-0.54,-0.7,-0.95,-1.32,-1.13,-0.92,-1.07,-1.34,-2.09,-2.05,-1.85
1956,-0.75,-0.39,-0.29,-0.52,-0.27,-0.35,-0.58,-0.7,-0.74,-0.85,-1.01,-1.0
1957,-0.64,-0.21,0.3,0.44,0.72,0.89,1.32,1.12,0.78,0.75,1.15,1.37
1958,1.34,1.04,0.59,0.38,0.29,0.26,0.07,0.03,-0.18,-0.12,0.13,-0.2
1959,0.02,0.02,-0.14,0.06,-0.2,-0.33,-0.69,-0.64,-0.58,-0.33,-0.44,-0.39
1960,-0.16,-0.3,-0.18,-0.11,-0.27,-0.53,-0.32,-0.08,-0.17,-0.64,-0.64,-0.57
1961,-0.42,-0.08,-0.24,0.05,0.02,-0.03,-0.63,-0.79,-1.15,-1.04,-0.6,-0.48
1962,-0.32,-0.29,-0.52,-0.73,-0.73,-0.61,-0.51,-0.33,-0.69,-0.65,-0.9,-0.97
1963,-0.64,-0.51,-0.17,0.12,-0.04,0.21,0.6,0.64,0.53,0.58,0.64,0.78
1964,0.44,0.02,-0.36,-1.01,-1.37,-1.26,-0.93,-1.36,-0.96,-0.98,-0.98,-1.32
1965,-0.81,-0.38,-0.15,0.09,0.5,0.67,0.8,1.03,1.03,1.21,1.28,1.24
1966,1.02,0.5,0.12,0.01,-0.66,-0.44,-0.31,-0.54,-0.68,-0.51,-0.71,-0.89
1967,-0.49,-0.23,-0.66,-0.82,-0.31,-0.05,-0.4,-0.75,-1.17,-1.11,-1.06,-1.05
1968,-1.2,-1.39,-1.24,-0.77,-0.81,-0.09,0.28,0.2,0.07,0.13,0.22,0.53
1969,0.59,0.47,0.44,0.44,0.77,0.51,0.16,0.39,0.54,0.69,0.68,0.77
1970,0.62,0.24,-0.15,-0.15,-0.52,-1.05,-1.64,-1.6,-1.14,-1.2,-1.27,-1.16
1971,-1.35,-1.4,-1.09,-0.79,-0.78,-0.96,-0.87,-1.05,-0.85,-1.15,-1.06,-1.31
1972,-0.58,-0.39,-0.15,0.18,0.41,0.71,1.29,1.65,1.45,1.81,1.98,2.14
1973,1.7,0.9,0.3,-0.45,-0.87,-0.97,-1.33,-1.34,-1.37,-1.52,-1.58,-1.53
1974,-1.47,-1.09,-0.79,-0.54,-0.57,-0.57,-0.36,-0.19,-0.43,-0.76,-0.82,-0.78
1975,-0.32,-0.64,-0.72,-0.38,-0.73,-1.08,-0.92,-0.89,-1.17,-1.37,-1.3,-1.62
1976,-1.63,-1.0,-0.54,-0.48,-0.15,0.38,0.47,0.74,0.75,0.96,0.8,0.66
1977,0.9,0.62,0.4,-0.34,-0.04,0.08,-0.09,-0.3,0.0,0.32,0.28,0.37
1978,0.3,0.13,-0.22,-0.63,-0.76,-0.68,-0.61,-0.81,-0.59,-0.28,-0.15,0.07
1979,-0.18,-0.15,0.18,0.36,0.28,0.18,-0.02,0.24,0.71,0.58,0.61,0.55
1980,0.61,0.25,0.03,0.11,0.25,0.38,0.03,-0.08,-0.01,-0.23,0.04,0.16
1981,-0.4,-0.61,-0.37,-0.24,-0.23,-0.13,-0.31,-0.49,-0.1,-0.02,-0.18,0.13
1982,0.43,0.19,0.15,0.32,0.68,0.78,0.61,1.02,1.82,2.29,2.51,2.86
1983,2.9,2.31,1.76,1.69,1.89,1.68,1.08,0.94,0.41,-0.19,-0.61,-0.45
1984,-0.26,0.14,0.03,-0.17,-0.57,-0.8,-0.49,-0.22,-0.21,-0.49,-0.78,-1.0
1985,-0.92,-0.56,-0.59,-0.73,-0.66,-0.67,-0.77,-0.68,-0.69,-0.58,-0.52,-0.56
1986,-0.65,-0.3,-0.1,-0.08,-0.33,-0.2,0.05,0.23,0.37,0.59,0.8,0.91
1987,1.13,1.22,1.24,1.1,1.08,1.07,1.3,1.56,1.72,1.34,1.17,1.16
1988,0.94,0.28,0.15,-0.21,-0.93,-1.56,-1.65,-1.26,-0.88,-1.29,-1.37,-1.33
1989,-1.14,-0.74,-0.78,-0.6,-0.48,-0.05,-0.24,-0.22,-0.13,-0.23,-0.36,-0.23
1990,-0.08,0.2,-0.11,0.13,0.38,0.22,0.22,0.24,0.27,0.07,-0.01,0.1
1991,0.27,0.12,0.02,0.25,0.51,0.83,0.98,0.76,0.47,0.77,1.05,1.28
1992,1.41,1.25,1.07,1.27,1.33,0.84,0.23,0.16,0.1,-0.04,-0.11,-0.02
1993,0.13,0.55,0.55,1.03,1.25,0.67,0.4,0.3,0.36,0.36,0.2,0.26
1994,0.39,0.14,-0.11,-0.02,0.21,0.17,-0.03,-0.03,0.08,0.62,0.95,0.98
1995,0.95,0.6,0.14,-0.07,-0.25,-0.09,-0.18,-0.6,-0.78,-0.7,-0.8,-0.76
1996,-0.54,-0.47,-0.23,-0.4,-0.35,-0.4,-0.29,-0.17,-0.27,-0.34,-0.38,-0.75
1997,-0.6,-0.49,-0.18,0.13,0.84,1.57,2.06,2.53,2.76,3.09,3.26,3.26
1998,3.1,2.5,2.06,1.84,1.62,0.66,0.03,-0.3,-0.65,-0.56,-0.44,-0.73
1999,-0.83,-0.51,-0.21,-0.45,-0.48,-0.64,-0.57,-0.62,-0.82,-1.03,-1.23,-1.28
2000,-1.34,-0.81,-0.28,0.01,-0.17,-0.39,-0.45,-0.38,-0.25,-0.3,-0.46,-0.4
2001,-0.17,-0.01,0.23,0.14,0.16,0.05,0.01,-0.07,-0.38,-0.28,-0.52,-0.48
2002,-0.32,-0.13,0.26,0.27,0.53,0.82,0.67,0.7,0.93,1.06,1.32,1.27
2003,0.86,0.63,0.41,-0.14,-0.47,-0.15,0.37,0.4,0.27,0.54,0.8,0.86
2004,0.63,0.52,0.36,0.29,0.01,0.09,0.3,0.41,0.52,0.65,0.75,0.83
2005,0.61,0.25,0.35,0.46,0.59,0.44,0.35,0.36,0.07,-0.05,-0.73,-0.86
2006,-0.54,0.06,-0.03,0.04,0.29,0.28,0.19,0.56,0.96,1.13,1.3,1.32
2007,1.08,0.34,-0.02,-0.17,-0.39,-0.34,-0.47,-0.75,-0.88,-0.92,-1.04,-1.07
2008,-1.02,-0.81,-0.4,-0.12,0.03,0.06,0.36,0.55,0.45,0.37,0.11,-0.26
2009,-0.25,-0.15,-0.19,0.2,0.57,0.78,0.84,0.94,0.88,0.92,1.12,1.18
2010,1.07,1.0,0.78,0.63,0.29,-0.23,-0.56,-0.72,-0.87,-0.89,-0.99,-0.88
2011,-0.91,-0.46,-0.38,0.02,0.0,0.2,0.06,-0.15,-0.39,-0.69,-0.71,-0.57
2012,-0.19,0.09,0.2,0.28,0.33,0.44,0.66,0.65,0.68,0.41,0.25,-0.28
2013,-0.46,-0.29,-0.01,0.03,-0.18,-0.44,-0.33,-0.3,-0.14,0.05,0.03,0.08
2014,-0.14,-0.34,0.0,0.25,0.61,0.66,0.62,0.35,0.47,0.8,1.0,0.89
2015,0.68,0.35,0.42,0.83,1.13,1.42,1.72,2.0,2.23,2.45,2.69,2.65
