Year,1,2,3,4,5,6,7,8,9,10,11,12
1950,-1.61,-1.44,-1.11,-1.27,-1.54,-1.0,-0.78,-0.89,-0.96,-0.81,-0.95,-1.17
1951,-1.12,-0.92,-0.17,-0.02,0.2,-0.08,0.4,0.28,0.59,0.45,0.47,0.3
1952,0.24,0.16,0.17,0.37,0.37,-0.11,-0.25,-0.31,-0.16,-0.11,-0.26,-0.03
1953,0.43,0.55,0.45,0.57,0.55,0.59,0.43,0.34,0.43,0.48,0.34,0.48
1954,0.47,0.41,-0.15,-0.76,-0.67,-0.55,-0.74,-1.05,-1.17,-0.98,-0.72,-0.9
1955,-0.64,-0.78,-0.79,-0.95,-0.82,-0.77,-0.74,-0.91,-1.05,-1.98,-2.14,-1.79
1956,-0.83,-0.58,-0.57,-0.83,-0.44,-0.51,-0.67,-0.86,-0.7,-0.79,-0.86,-0.69
1957,-0.43,-0.17,0.24,0.49,0.63,0.69,0.96,0.92,0.74,0.72,1.08,1.27
1958,1.71,1.55,1.02,0.62,0.54,0.57,0.19,0.06,-0.05,0.12,0.39,0.25
1959,0.53,0.52,0.24,0.2,-0.05,-0.24,-0.62,-0.52,-0.59,-0.36,-0.44,-0.3
1960,-0.2,-0.3,-0.24,-0.03,-0.13,-0.38,-0.32,-0.01,-0.21,-0.36,-0.22,-0.33
1961,-0.17,-0.19,-0.29,-0.29,-0.07,0.13,-0.1,-0.5,-0.73,-0.8,-0.51,-0.45
1962,-0.37,-0.42,-0.38,-0.43,-0.59,-0.4,-0.31,-0.39,-0.68,-0.56,-0.79,-0.78
1963,-0.58,-0.39,-0.04,0.11,-0.2,0.03,0.6,0.69,0.75,0.79,0.77,0.96
1964,0.81,0.51,-0.14,-0.6,-0.78,-0.92,-0.9,-1.06,-1.18,-1.13,-1.23,-1.18
1965,-0.74,-0.37,-0.21,-0.16,0.18,0.5,0.76,1.09,1.23,1.47,1.4,1.3
1966,1.14,0.83,0.91,0.49,-0.13,0.16,0.09,-0.22,-0.24,-0.26,-0.27,-0.44
1967,-0.47,-0.48,-0.68,-0.81,-0.36,-0.02,-0.17,-0.3,-0.72,-0.59,-0.51,-0.62
1968,-0.79,-1.0,-0.92,-0.57,-0.48,0.32,0.38,0.19,0.06,0.06,0.54,0.6
1969,0.88,1.05,0.68,0.55,0.52,0.31,0.08,0.37,0.54,0.73,0.55,0.55
1970,0.47,0.42,0.19,0.24,-0.02,-0.44,-0.78,-1.09,-0.98,-1.06,-1.04,-1.22
1971,-1.56,-1.36,-1.15,-0.96,-0.74,-0.93,-0.87,-0.82,-0.85,-1.0,-0.86,-1.08
1972,-0.75,-0.37,-0.06,0.24,0.49,0.63,0.97,1.19,1.29,1.68,1.92,1.96
1973,1.68,1.22,0.51,-0.11,-0.63,-0.81,-1.19,-1.27,-1.49,-1.78,-2.14,-2.03
1974,-1.81,-1.48,-1.25,-1.01,-1.01,-0.95,-0.71,-0.38,-0.44,-0.75,-0.88,-0.79
1975,-0.31,-0.53,-0.81,-0.63,-0.73,-1.11,-1.03,-1.25,-1.45,-1.61,-1.47,-1.73
1976,-1.74,-1.13,-0.61,-0.59,-0.45,-0.22,-0.02,0.17,0.34,0.83,0.73,0.66
1977,0.85,0.52,0.37,-0.01,0.16,0.34,0.33,0.12,0.39,0.65,0.62,0.76
1978,0.72,0.43,0.0,-0.44,-0.38,-0.44,-0.41,-0.62,-0.57,-0.37,-0.24,-0.03
