Year,1,2,3,4,5,6,7,8,9,10,11,12
1950,-0.99,-1.24,-1.27,-1.04,-0.8,-0.49,-0.82,-1.0,-1.11,-1.14,-1.12,-1.07
1951,-0.78,-0.9,-0.33,-0.03,0.34,0.28,0.1,-0.3,-0.11,-0.07,0.14,0.1
1952,0.2,0.05,-0.03,0.12,0.01,-0.21,-0.41,-0.57,-0.22,-0.4,-0.15,-0.08
1953,0.05,-0.05,-0.08,0.05,0.16,0.37,0.31,0.35,0.09,0.15,0.19,0.38
1954,0.32,0.23,-0.14,-0.27,-0.32,-0.39,-0.64,-0.84,-0.97,-1.09,-0.7,-0.71
1955,-0.49,-0.65,-0.57,-0.67,-0.53,-0.47,-0.51,-0.8,-0.66,-1.24,-1.61,-1.19
1956,-1.13,-1.01,-0.81,-0.73,-0.74,-0.62,-0.7,-1.0,-1.01,-0.76,-0.52,-0.33
1957,-0.16,-0.08,-0.06,0.19,0.3,-0.06,-0.16,0.2,0.32,0.48,0.49,0.56
1958,0.96,1.12,0.92,0.58,0.41,0.36,0.2,0.23,0.18,0.29,0.26,0.44
1959,0.45,0.33,0.17,0.26,0.04,-0.29,-0.23,-0.14,-0.16,-0.17,-0.36,-0.32
1960,-0.51,-0.57,-0.44,-0.38,-0.24,-0.37,-0.44,-0.39,-0.33,-0.2,-0.04,-0.01
1961,-0.13,-0.13,-0.27,-0.43,-0.36,-0.05,-0.32,-0.4,-0.37,-0.61,-0.39,-0.32
1962,-0.42,-0.38,-0.21,-0.25,-0.44,-0.31,-0.4,-0.44,-0.44,-0.47,-0.44,-0.52
1963,-0.48,-0.38,-0.14,-0.12,-0.22,-0.32,-0.03,0.29,0.52,0.57,0.37,0.24
1964,0.4,0.23,-0.18,-0.18,-0.27,-0.55,-0.7,-0.88,-1.26,-1.18,-1.31,-1.15
1965,-0.59,-0.35,-0.28,-0.46,-0.09,0.22,0.27,0.51,0.46,0.67,0.66,0.59
1966,0.57,0.63,0.89,0.34,0.22,0.29,0.35,0.11,0.15,0.09,0.14,-0.04
1967,-0.54,-0.65,-0.32,-0.1,-0.08,-0.18,-0.16,-0.23,-0.32,-0.21,-0.19,-0.16
1968,-0.25,-0.27,-0.24,-0.24,-0.41,0.05,-0.07,0.06,0.05,0.14,0.49,0.58
1969,0.94,1.04,0.68,0.46,0.31,0.16,0.02,0.24,0.47,0.61,0.55,0.39
1970,0.39,0.47,0.28,0.26,0.18,0.06,0.06,-0.32,-0.64,-0.73,-0.73,-1.2
1971,-1.31,-1.02,-0.94,-0.9,-0.86,-0.75,-0.82,-0.86,-1.04,-0.9,-0.66,-0.45
1972,-0.36,-0.08,0.04,0.3,0.4,0.37,0.34,0.24,0.4,0.58,0.72,0.8
1973,0.84,0.67,0.31,-0.01,-0.31,-0.49,-0.61,-0.8,-0.99,-1.29,-1.54,-1.71
1974,-1.63,-1.21,-0.93,-1.0,-0.98,-0.87,-0.77,-0.49,-0.72,-0.89,-0.87,-0.84
1975,-0.42,-0.24,-0.44,-0.58,-0.67,-0.91,-1.04,-1.22,-1.6,-1.69,-1.64,-1.59
1976,-1.24,-0.86,-0.63,-0.4,-0.43,-0.43,-0.31,-0.12,-0.08,0.33,0.32,0.02
1977,0.12,0.06,0.04,0.13,0.01,0.11,0.35,0.32,0.48,0.45,0.46,0.58
1978,0.53,0.32,0.01,-0.31,-0.07,-0.22,-0.3,-0.37,-0.25,-0.33,-0.15,-0.0
1979,0.21,0.14,0.09,0.05,0.01,-0.02,0.01,-0.05,0.11,0.16,0.37,0.33
1980,0.45,0.44,0.31,0.32,0.41,0.34,0.31,0.02,0.03,0.19,0.15,0.09
1981,-0.02,-0.11,-0.09,-0.26,-0.32,-0.32,-0.37,-0.39,-0.2,-0.08,-0.03,0.04
1982,0.12,0.07,0.26,0.49,0.55,0.61,0.35,0.36,0.5,0.77,0.68,0.67
